semana,prec,tmin,tmed,tmax,casos,focos
1,39.41510204081633,18.44102040816326,22.098571428571432,27.393061224489795,0.0,9.549999999999999
2,33.69428571428571,18.381020408163266,21.880408163265304,27.15020408163265,0.0,5.5
3,41.54306122448979,18.185918367346947,21.888163265306122,27.293673469387763,0.1,14.200000000000001
4,41.73122448979592,18.72714285714286,22.257142857142856,27.941224489795918,0.0,18.400000000000002
5,43.00714285714285,18.248979591836726,21.663265306122447,26.901020408163266,0.1,14.500000000000002
6,21.114285714285717,17.526734693877554,21.292244897959183,26.673469387755105,0.0,9.4
7,26.72020408163265,17.518979591836732,21.148979591836735,26.42510204081633,0.0,21.5
8,41.639183673469375,17.44734693877551,20.874897959183677,26.257346938775513,0.0,19.1
9,35.74918367346938,17.489591836734693,20.986326530612242,26.292040816326534,0.2,15.999999999999996
10,45.38816326530613,17.513673469387754,20.882857142857137,26.052244897959184,0.2,9.5
11,23.373877551020417,17.04428571428571,20.46938775510204,25.463469387755094,0.4,18.9
12,26.883469387755095,16.191428571428577,19.64938775510204,24.620408163265317,0.30000000000000004,20.999999999999996
13,24.759387755102047,16.040408163265308,19.361428571428572,24.301836734693886,1.1,25.5
14,23.7104081632653,15.508979591836736,18.891020408163268,23.971224489795915,1.0,9.4
15,16.6269387755102,15.309999999999997,18.678163265306125,23.605102040816327,1.5000000000000002,11.299999999999999
16,23.359387755102034,14.57877551020408,17.84571428571429,22.702653061224485,1.3,27.199999999999996
17,13.753061224489796,12.997755102040816,16.734285714285708,22.25408163265306,2.0,23.900000000000006
18,37.68918367346938,13.13183673469388,16.53,21.436734693877547,1.9,12.699999999999996
19,21.20020408163265,12.202448979591837,15.52142857142858,20.453673469387756,1.5000000000000002,9.2
20,28.122857142857153,11.432448979591838,14.889183673469384,20.19857142857143,2.4,18.3
21,32.370000000000005,10.874489795918368,14.19510204081633,19.29938775510204,0.7000000000000001,14.1
22,36.004081632653055,10.344489795918365,13.779183673469385,18.96734693877551,0.5,19.599999999999998
23,32.317346938775515,10.934693877551018,14.288775510204081,19.294693877551016,0.1,7.399999999999999
24,27.13387755102041,8.69,12.490204081632651,18.21979591836734,0.4,10.299999999999999
25,31.853265306122456,9.807551020408162,13.50571428571429,18.974489795918366,0.1,4.3
26,28.610816326530603,9.685306122448978,13.233061224489788,18.33,0.2,11.299999999999999
27,28.763469387755105,9.936734693877549,13.535714285714283,18.890408163265306,0.0,10.999999999999998
28,39.19775510204081,10.42530612244898,13.818979591836735,18.688979591836738,0.1,5.1000000000000005
29,14.50224489795918,9.446326530612245,13.374693877551023,19.158775510204084,0.0,5.1
30,18.159795918367344,9.592040816326529,13.714285714285714,19.6865306122449,0.0,6.6
31,8.498979591836736,10.747346938775513,14.765714285714283,20.708367346938775,0.0,16.2
32,32.355306122448965,9.847959183673469,13.593469387755105,18.915714285714287,0.0,5.6
33,10.581632653061222,10.495510204081633,14.355714285714285,19.993877551020404,0.0,4.599999999999999
34,18.106122448979583,10.391632653061224,14.761224489795914,20.888571428571424,0.0,3.3000000000000003
35,15.482857142857142,10.890408163265308,14.573061224489791,19.8565306122449,0.0,11.4
36,45.5342857142857,12.509999999999998,15.972244897959177,20.85938775510204,0.0,11.699999999999998
37,31.09693877551021,12.650408163265304,15.942653061224489,20.872040816326525,0.0,2.0
38,18.907755102040824,12.674081632653063,16.19795918367347,21.371632653061226,0.0,5.4
39,34.421020408163265,13.586326530612247,16.74530612244898,21.075306122448982,0.0,6.0
40,46.07530612244897,13.021836734693872,16.244285714285716,20.917346938775513,0.1,15.799999999999999
41,56.32000000000001,14.092857142857142,17.00265306122449,21.15367346938775,0.1,6.3
42,30.6265306122449,13.87408163265306,17.377755102040812,22.1230612244898,0.0,2.6
43,16.497959183673473,14.8665306122449,18.424285714285716,23.30142857142857,0.0,6.300000000000001
44,36.333673469387755,13.975306122448977,17.34918367346938,21.79489795918368,0.0,16.4
45,20.714489795918364,14.714897959183673,18.293061224489797,23.433061224489798,0.1,8.2
46,31.826530612244902,15.23367346938775,19.23183673469388,24.52244897959184,0.0,4.6000000000000005
47,20.66387755102041,15.080816326530615,19.066530612244897,24.50061224489795,0.1,7.999999999999999
48,37.99448979591836,16.06326530612245,19.729387755102042,24.477551020408157,0.0,11.299999999999999
49,40.27122448979592,16.2369387755102,19.852448979591838,25.05040816326531,0.1,11.599999999999998
50,24.7434693877551,17.081020408163262,20.79326530612245,26.19469387755101,0.0,17.099999999999998
51,36.068367346938786,17.43857142857143,20.996734693877553,26.183061224489798,0.0,9.499999999999998
52,36.96081632653062,17.946734693877552,21.278979591836737,26.446326530612243,0.1,11.799999999999999
53,21.87775510204081,17.09040816326531,20.630816326530617,26.061224489795922,0.17,1.6500000000000001
