Semana_v2,tmin,prec,casos,focos,tmed,tmax
1,19.458016394020675,27.47372159090909,1.0,277,23.838319967319435,29.34660519872392
2,19.3620839939489,8.745738636363637,6.0,57,24.348756564127935,30.905647506961564
3,22.319737174294218,8.499289772727273,6.0,343,27.690013804993086,34.89423420212484
4,20.908088933337822,44.32741477272727,23.0,383,24.389817745654625,29.953723114806348
5,19.823350466691053,26.498579545454547,48.0,577,23.95349318640573,29.249598500016432
6,17.29033462412945,4.205255681818182,123.0,38,22.51965787503627,29.450452083117
7,18.4390599758594,2.057528409090909,280.0,336,24.52550597933979,31.729594778704953
8,19.907905330905667,46.26846590909091,436.0,408,24.710013801401313,31.480595963341855
9,20.808011293411244,25.22372159090909,1319.0,466,24.32777323970547,30.215078533469867
10,20.07647365099424,52.74360795454545,2573.0,46,23.780251902419252,28.71182476700127
11,18.35810728042156,36.71590909090909,2730.0,887,21.60235006159003,27.04343497598326
12,16.164272348602093,124.62926136363636,4114.0,619,19.572772125145057,24.3021443757144
13,14.199651209564951,17.542613636363637,4434.0,453,18.285199256686425,24.645381651915503
14,17.645538604104672,90.8075284090909,4128.0,288,20.40746336788326,24.295224945266522
15,14.500597636421015,68.61647727272727,3697.0,276,17.8286878985244,22.07982844191712
16,13.93677634387821,77.859375,3599.0,264,17.493659279563207,22.990713317672924
17,18.114447508539463,18.668323863636363,2773.0,329,21.72143045648352,27.071459265498355
18,13.99655074113375,94.671875,3037.0,333,16.627886699391652,20.76043377294169
19,12.351505722318375,10.809659090909092,1626.0,119,15.544221607121546,20.374750118751027
20,7.788593643284465,22.676136363636363,908.0,118,10.234781429365082,14.387279171448238
21,13.16344342603311,49.75568181818182,347.0,52,16.060430540666957,21.11729004475977
22,9.525283394695874,101.4971590909091,216.0,134,12.297938516387699,15.407061620192103
23,12.197564503008675,28.189630681818183,118.0,72,14.067115993468787,17.76399483928433
24,7.759885058774577,40.98934659090909,65.0,79,12.135595508984158,18.85949400493077
25,13.755254735807318,54.51136363636363,36.0,27,16.33695374293761,22.251811169958735
26,11.460762613005448,3.7357954545454546,28.0,334,15.4450803623571,21.456389433377762
27,17.23590832561642,0.2975852272727273,32.0,249,20.373123859430287,25.332637471038026
28,13.832913733147954,31.598011363636363,29.0,87,17.772291242302238,22.80276977861083
29,13.324756198889254,18.984375,11.0,66,16.841434544557096,22.074269081090947
30,14.333202948817966,6.845170454545454,6.0,101,17.97764103908043,23.688185595846804
31,13.087991978440964,9.155539772727273,5.0,339,16.60084760653508,21.82002671817681
32,10.65721837963377,61.28551136363637,4.0,57,13.478303136763628,17.667289305042914
33,11.006028968018374,87.91051136363636,3.0,35,14.957209133482598,20.103171325349187
34,12.983514951421068,0.0,3.0,30,17.9089949579982,24.64666432219666
35,9.810276477367847,31.232954545454547,3.0,249,14.701335717331277,21.007852664241543
36,12.009926230876475,6.115056818181818,1.0,127,15.9721038805974,21.034513170068916
37,11.39565706562686,4.8678977272727275,0.0,69,15.587524304142248,21.309560486248554
38,10.832853462788966,37.1640625,1.0,56,14.968647080582455,20.24115072751974
39,13.429097791770841,37.50994318181818,1.0,262,15.761750035471733,19.550161925229165
40,12.854892905656396,49.078125,2.0,195,17.45415598386294,23.37917614912059
41,13.725171979371597,124.61931818181819,1.0,46,16.52135562122643,20.55333034868365
42,15.876160360001899,61.37926136363637,0.0,40,18.79631240336926,23.621790721818993
43,16.15700016083655,24.157670454545453,3.0,58,21.113219868053086,27.314319331924636
44,11.031136530560333,43.12215909090909,0.0,356,15.019851812294547,20.504284090810007
45,13.852530479431154,0.5113636363636364,0.0,80,19.195809019076364,25.353479153150086
46,15.789884503785673,26.414772727272727,0.0,33,20.67417091827889,26.348600811772542
47,16.93521465264357,14.013494318181818,2.0,56,21.794398995188928,27.595591845450475
48,17.98064178615421,22.806818181818183,4.0,159,22.400364163634073,28.73242242614946
49,21.087178468704224,8.386363636363637,2.0,269,25.12086421793158,30.619635129903823
50,18.216453750412185,14.252840909090908,2.0,170,22.91429090499878,28.497551438096256
51,16.923433512836315,26.18465909090909,1.0,157,21.511647249197033,27.44878757774057
52,18.64411302355977,15.553977272727273,7.0,135,23.164085806190197,28.83954940213785
