Semana,Município,Casos
2020-01-05,ABELARDO LUZ,0
2020-01-05,PORTO BELO,0
2020-01-05,CAMPO ERÊ,0
2020-01-05,RIQUEZA,0
2020-01-05,CAMBORIÚ,0
2020-01-05,SANTA TEREZINHA DO PROGRESSO,0
2020-01-05,CAIBI,0
2020-01-05,SÃO CARLOS,0
2020-01-05,BRUSQUE,0
2020-01-05,SÃO FRANCISCO DO SUL,0
2020-01-05,BOMBINHAS,0
2020-01-05,CHAPECÓ,0
2020-01-05,SÃO JOSÉ,0
2020-01-05,SÃO JOSÉ DO CEDRO,0
2020-01-05,BLUMENAU,0
2020-01-05,SÃO LOURENÇO DO OESTE,0
2020-01-05,BALNEÁRIO PIÇARRAS,0
2020-01-05,SÃO MIGUEL DO OESTE,0
2020-01-05,BALNEÁRIO CAMBORIÚ,0
2020-01-05,SAUDADES,0
2020-01-05,ARAQUARI,0
2020-01-05,TIJUCAS,0
2020-01-05,ANCHIETA,0
2020-01-05,BOM JESUS,0
2020-01-05,XANXERÊ,0
2020-01-05,PINHALZINHO,0
2020-01-05,PENHA,0
2020-01-05,ITAPEMA,0
2020-01-05,IRATI,0
2020-01-05,ITAPIRANGA,0
2020-01-05,IPUAÇU,0
2020-01-05,JARAGUÁ DO SUL,0
2020-01-05,GUARUJÁ DO SUL,0
2020-01-05,JOINVILLE,0
2020-01-05,GUARACIABA,0
2020-01-05,MARAVILHA,0
2020-01-05,GASPAR,0
2020-01-05,CORDILHEIRA ALTA,0
2020-01-05,MONDAÍ,0
2020-01-05,NAVEGANTES,0
2020-01-05,FLORIANÓPOLIS,0
2020-01-05,NOVA ERECHIM,0
2020-01-05,ENTRE RIOS,0
2020-01-05,NOVA ITABERABA,0
2020-01-05,DIONÍSIO CERQUEIRA,0
2020-01-05,PALMA SOLA,0
2020-01-05,CUNHA PORÃ,0
2020-01-05,PALMITOS,0
2020-01-05,CORONEL FREITAS,0
2020-01-05,FORMOSA DO SUL,0
2020-01-05,ÁGUAS DE CHAPECÓ,0
2020-01-05,ITAJAÍ,0
2020-01-05,XAXIM,0
2020-01-12,PORTO BELO,0
2020-01-12,SÃO JOSÉ DO CEDRO,0
2020-01-12,FORMOSA DO SUL,0
2020-01-12,MONDAÍ,0
2020-01-12,BLUMENAU,0
2020-01-12,SÃO LOURENÇO DO OESTE,0
2020-01-12,GASPAR,0
2020-01-12,MARAVILHA,0
2020-01-12,BALNEÁRIO PIÇARRAS,0
2020-01-12,NAVEGANTES,0
2020-01-12,SÃO MIGUEL DO OESTE,0
2020-01-12,JOINVILLE,0
2020-01-12,BALNEÁRIO CAMBORIÚ,0
2020-01-12,SAUDADES,0
2020-01-12,GUARUJÁ DO SUL,0
2020-01-12,JARAGUÁ DO SUL,1
2020-01-12,ARAQUARI,0
2020-01-12,TIJUCAS,0
2020-01-12,IPUAÇU,0
2020-01-12,ITAPIRANGA,0
2020-01-12,GUARACIABA,0
2020-01-12,BOM JESUS,0
2020-01-12,FLORIANÓPOLIS,0
2020-01-12,SÃO JOSÉ,0
2020-01-12,CHAPECÓ,0
2020-01-12,CAMPO ERÊ,0
2020-01-12,PINHALZINHO,0
2020-01-12,CORDILHEIRA ALTA,0
2020-01-12,RIQUEZA,0
2020-01-12,CAMBORIÚ,0
2020-01-12,PENHA,0
2020-01-12,CORONEL FREITAS,0
2020-01-12,SANTA TEREZINHA DO PROGRESSO,0
2020-01-12,PALMITOS,0
2020-01-12,CUNHA PORÃ,0
2020-01-12,CAIBI,0
2020-01-12,SÃO CARLOS,0
2020-01-12,PALMA SOLA,0
2020-01-12,DIONÍSIO CERQUEIRA,0
2020-01-12,BRUSQUE,0
2020-01-12,SÃO FRANCISCO DO SUL,0
2020-01-12,NOVA ITABERABA,0
2020-01-12,ENTRE RIOS,0
2020-01-12,BOMBINHAS,0
2020-01-12,NOVA ERECHIM,0
2020-01-12,ANCHIETA,0
2020-01-12,XAXIM,0
2020-01-12,ITAJAÍ,0
2020-01-12,ÁGUAS DE CHAPECÓ,0
