Semana,Município,Casos,latitude,longitude
2014-01-05,ITAJAÍ,0,7015015.750369552,722993.9701684854
2014-01-05,MASSARANDUBA,0,7053311.3824043125,700282.1680329704
2014-01-05,MORRO DA FUMAÇA,0,6830890.76928592,671752.7928462406
2014-01-05,RIO DO SUL,0,6991110.270997705,635700.2012537639
2014-01-05,MARAVILHA,0,7038260.582191496,281420.2691625503
2015-01-04,ARAQUARI,0,7071236.105333743,723547.200014149
2015-01-04,CANOINHAS,0,7096567.27270527,546607.483227188
2015-01-04,CORUPÁ,0,7074509.415626977,666845.520797408
2015-01-04,INDAIAL,0,7012886.151274349,676211.613770266
2015-01-04,CORDILHEIRA ALTA,0,7015196.417860932,337073.6104473309
2015-01-04,BOMBINHAS,0,6991940.386394272,745969.9416903339
2015-01-04,MODELO,0,7036864.791645689,296070.38361967873
2015-01-04,CAÇADOR,0,7039803.944475744,491575.7344097221
2015-01-04,GUARACIABA,0,7057497.647931177,243915.11070912887
2015-01-04,MAJOR GERCINO,0,6964657.274736474,692497.6256513083
2015-01-04,GAROPABA,0,6895410.497756283,730116.4479677085
2015-01-04,BOM JESUS DO OESTE,0,7046849.930389385,291509.6088161917
2015-01-04,CHAPECÓ,0,6998633.589274544,336426.51871304295
2015-01-04,ITAPEMA,0,6999331.65383446,734514.6339332699
2015-01-04,SÃO MIGUEL DO OESTE,0,7041310.775818808,250111.76803190366
2015-01-04,PINHALZINHO,0,7030933.786531709,303569.9278753522
2015-01-04,JOINVILLE,0,7095644.935527559,704615.6445780672
2015-01-04,BLUMENAU,0,7024813.03877902,688988.2678477467
2015-01-04,BALNEÁRIO CAMBORIÚ,0,7010815.612565796,735988.8485918017
2015-01-04,TUBARÃO,0,6847879.44757832,692136.3734353437
2016-01-03,FLORIANÓPOLIS,0,6947097.282339648,745999.5833331047
2016-01-03,SÃO JOÃO BATISTA,0,6975316.759597,711826.1002598951
2016-01-03,NOVA ITABERABA,0,7016548.769215416,318040.9690347417
2016-01-03,UNIÃO DO OESTE,0,7035845.933930252,315490.23806049937
2016-01-03,BOM JESUS,0,7041713.948873349,361766.9280517926
2016-01-03,XANXERÊ,0,7026934.589258402,359963.36654449016
2016-01-03,ITAPOÁ,0,7113068.64558074,734822.5677945329
2016-01-03,DESCANSO,0,7026838.836258726,253662.58994841622
2016-01-03,SÃO JOSÉ DO CEDRO,0,7068569.100089363,247420.63485447966
