Focos,Temperatura,Precipitação,Focos_m1,Temperatura_m1,Precipitação_m1,Focos_m2,Temperatura_m2,Precipitação_m2,Focos_m3,Temperatura_m3,Precipitação_m3,Focos_m4,Temperatura_m4,Precipitação_m4,Categoria
2.0,28.492285714285718,8875,4.0,26.936414285714285,3.0625,1.0,27.00745714285714,11625,1.0,24.7584,38625,0.0,25.03531428571429,36875,2
2.0,26.89097142857143,22.6875,2.0,28.492285714285718,8875,4.0,26.936414285714285,3.0625,1.0,27.00745714285714,11625,1.0,24.7584,38625,2
5.0,24.285671428571423,16.6875,2.0,26.89097142857143,22.6875,2.0,28.492285714285718,8875,4.0,26.936414285714285,3.0625,1.0,27.00745714285714,11625,4
3.0,24.61802857142857,65125,5.0,24.285671428571423,16.6875,2.0,26.89097142857143,22.6875,2.0,28.492285714285718,8875,4.0,26.936414285714285,3.0625,3
1.0,23.73314285714286,6.0,3.0,24.61802857142857,65125,5.0,24.285671428571423,16.6875,2.0,26.89097142857143,22.6875,2.0,28.492285714285718,8875,1
3.0,24.172357142857145,52375,1.0,23.73314285714286,6.0,3.0,24.61802857142857,65125,5.0,24.285671428571423,16.6875,2.0,26.89097142857143,22.6875,3
4.0,24.674157142857144,29.1875,3.0,24.172357142857145,52375,1.0,23.73314285714286,6.0,3.0,24.61802857142857,65125,5.0,24.285671428571423,16.6875,3
2.0,22.58452857142857,22625,4.0,24.674157142857144,29.1875,3.0,24.172357142857145,52375,1.0,23.73314285714286,6.0,3.0,24.61802857142857,65125,2
2.0,24.1703,45.25,2.0,22.58452857142857,22625,4.0,24.674157142857144,29.1875,3.0,24.172357142857145,52375,1.0,23.73314285714286,6.0,2
1.0,23.9854,22.75,2.0,24.1703,45.25,2.0,22.58452857142857,22625,4.0,24.674157142857144,29.1875,3.0,24.172357142857145,52375,1
1.0,21.35587142857143,12375,1.0,23.9854,22.75,2.0,24.1703,45.25,2.0,22.58452857142857,22625,4.0,24.674157142857144,29.1875,1
0.0,20.47745714285714,11625,1.0,21.35587142857143,12375,1.0,23.9854,22.75,2.0,24.1703,45.25,2.0,22.58452857142857,22625,1
0.0,19.8415,5375,0.0,20.47745714285714,11625,1.0,21.35587142857143,12375,1.0,23.9854,22.75,2.0,24.1703,45.25,1
0.0,21.575071428571427,9125,0.0,19.8415,5375,0.0,20.47745714285714,11625,1.0,21.35587142857143,12375,1.0,23.9854,22.75,1
2.0,20.210214285714283,8875,0.0,21.575071428571427,9125,0.0,19.8415,5375,0.0,20.47745714285714,11625,1.0,21.35587142857143,12375,2
3.0,19.52584285714286,19625,2.0,20.210214285714283,8875,0.0,21.575071428571427,9125,0.0,19.8415,5375,0.0,20.47745714285714,11625,3
1.0,16.43522857142857,35.0,3.0,19.52584285714286,19625,2.0,20.210214285714283,8875,0.0,21.575071428571427,9125,0.0,19.8415,5375,1
1.0,16.975442857142856,45625,1.0,16.43522857142857,35.0,3.0,19.52584285714286,19625,2.0,20.210214285714283,8875,0.0,21.575071428571427,9125,1
0.0,18.84142857142857,45.5,1.0,16.975442857142856,45625,1.0,16.43522857142857,35.0,3.0,19.52584285714286,19625,2.0,20.210214285714283,8875,1
2.0,16.6333,15.0,0.0,18.84142857142857,45.5,1.0,16.975442857142856,45625,1.0,16.43522857142857,35.0,3.0,19.52584285714286,19625,2
0.0,18.745842857142858,55625,2.0,16.6333,15.0,0.0,18.84142857142857,45.5,1.0,16.975442857142856,45625,1.0,16.43522857142857,35.0,1
2.0,18.685214285714288,41.75,0.0,18.745842857142858,55625,2.0,16.6333,15.0,0.0,18.84142857142857,45.5,1.0,16.975442857142856,45625,2
1.0,17.4342,2875,2.0,18.685214285714288,41.75,0.0,18.745842857142858,55625,2.0,16.6333,15.0,0.0,18.84142857142857,45.5,1
3.0,18.43547142857143,7.5,1.0,17.4342,2875,2.0,18.685214285714288,41.75,0.0,18.745842857142858,55625,2.0,16.6333,15.0,3
0.0,16.773885714285715,22.5,3.0,18.43547142857143,7.5,1.0,17.4342,2875,2.0,18.685214285714288,41.75,0.0,18.745842857142858,55625,1
0.0,17.449214285714284,9.75,0.0,16.773885714285715,22.5,3.0,18.43547142857143,7.5,1.0,17.4342,2875,2.0,18.685214285714288,41.75,1
0.0,17.473185714285712,13.25,0.0,17.449214285714284,9.75,0.0,16.773885714285715,22.5,3.0,18.43547142857143,7.5,1.0,17.4342,2875,1
0.0,16.432157142857143,26.5,0.0,17.473185714285712,13.25,0.0,17.449214285714284,9.75,0.0,16.773885714285715,22.5,3.0,18.43547142857143,7.5,1
