Semana,ano_epi,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2014-01-05,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-23,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-16,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,2014,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,2014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,2014,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,2014,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-20,2014,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,2014,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,2014,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,2014,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-18,2014,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-25,2014,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,2014,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-06-08,2014,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-15,2014,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-22,2014,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,2014,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-06,2014,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-07-13,2014,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-20,2014,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-27,2014,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,2014,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-08-10,2014,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,2014,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,2014,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,2014,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,2014,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,2014,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,2014,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,2014,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,2014,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-19,2014,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-26,2014,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,2014,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,2014,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,2014,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,2014,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,2014,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,2014,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,2014,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,2014,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,2014,53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-01-04,2015,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-01-11,2015,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2015-01-18,2015,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
2015-01-25,2015,4,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
2015-02-01,2015,5,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
2015-02-08,2015,6,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
2015-02-15,2015,7,0,0,0,0,0,0,129,0,0,0,1,0,0,0,0,0,0
2015-02-22,2015,8,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0
2015-03-01,2015,9,0,0,0,0,0,0,177,0,0,0,0,1,0,0,0,0,0
2015-03-08,2015,10,0,0,0,0,0,0,239,0,0,0,0,1,0,0,0,0,0
2015-03-15,2015,11,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0
2015-03-22,2015,12,0,0,1,0,0,0,285,0,0,0,0,0,5,0,0,0,0
2015-03-29,2015,13,0,0,0,0,0,0,259,0,0,0,0,0,1,0,0,0,0
2015-04-05,2015,14,0,0,0,0,0,0,285,1,0,0,0,1,6,0,0,0,0
2015-04-12,2015,15,0,0,0,0,0,0,249,0,0,0,0,0,6,0,0,1,0
2015-04-19,2015,16,0,0,0,0,0,0,198,0,1,0,0,1,4,0,0,0,0
2015-04-26,2015,17,0,0,0,0,1,0,151,0,1,0,0,2,3,0,0,0,0
2015-05-03,2015,18,0,0,0,0,0,0,150,0,0,0,0,1,4,0,0,0,0
2015-05-10,2015,19,0,0,0,0,0,0,94,0,0,0,0,2,3,0,0,0,0
2015-05-17,2015,20,0,0,0,0,0,0,95,0,0,0,0,0,1,0,0,0,0
2015-05-24,2015,21,0,0,0,0,0,0,55,0,0,0,0,1,2,1,0,0,0
2015-05-31,2015,22,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0
2015-06-07,2015,23,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0
2015-06-14,2015,24,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0
2015-06-21,2015,25,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
2015-06-28,2015,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-07-05,2015,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,2015,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-07-19,2015,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,2015,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,2015,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,2015,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-16,2015,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-23,2015,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,2015,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,2015,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,2015,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
