Semana,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2000-06-04,23,20.405172,2.3670635,6.51875,12.4375,46.403645,8.75463,0.9423077,4.0923915,8.895833,17.478516,1.9972222,2.585,33.913193,4.691489,16.656458,1.0514706,21.774038
2000-06-11,24,16.155172,18.501984,27.765625,3.4488637,11.5598955,0.7638889,25.75,7.621377,4.111111,15.777344,24.108334,11.14,9.298611,25.519947,10.204471,24.911764,7.762019
2000-06-18,25,26.974138,14.388889,30.073437,9.272727,22.010416,13.25,26.25,16.797102,13.28125,28.734375,20.230556,46.865,19.996529,32.005318,17.438742,38.514706,28.8125
2000-06-25,26,57.25431,33.06746,32.82969,49.704544,46.5,88.52778,45.221153,53.782608,53.47222,49.466797,25.566668,25.905,42.875,23.966755,57.0,24.80147,38.13221
2000-07-02,27,24.349138,6.84127,11.473437,3.7443182,22.450521,7.3009257,1.5192307,7.3423915,9.586805,19.357422,3.8916667,2.305,29.70139,6.736702,13.600993,1.3970588,19.228365
2000-07-09,28,107.36207,65.07143,76.651566,24.84091,74.19531,34.537037,30.134615,31.07971,19.288195,86.09961,32.219444,15.445,95.28125,46.97872,68.01904,27.42647,81.53125
2000-07-16,29,5.3189654,1.7857143,5.1328125,0.75,3.6119792,1.4074074,0.8269231,3.6358695,1.6736112,4.1992188,0.2638889,0.915,3.1388888,6.4109044,5.8153973,0.32352942,6.0048075
2000-07-23,30,0.0,0.14285715,0.0078125,1.5909091,1.9765625,0.0,1.7692307,0.5036232,0.0,0.140625,0.058333334,0.035,4.1944447,0.11037234,1.2574503,0.13970588,2.0072114
2000-07-30,31,1.0431035,11.1587305,10.692187,4.465909,2.5208333,6.2685184,3.7692308,5.652174,4.90625,6.578125,6.4555554,10.82,4.0277777,14.9375,4.3245034,8.1470585,2.7932692
2000-08-06,32,11.396552,1.0873016,3.634375,4.9602275,15.489583,8.916667,2.2980769,2.6413043,5.6805553,4.3691406,2.0027778,6.165,13.336805,1.6635638,5.277318,5.1985292,7.829327
2000-08-13,33,70.89655,42.974205,56.635937,8.022727,41.260418,20.578703,12.009615,21.286232,5.2881947,55.73633,29.055555,17.15,51.177082,32.14229,30.745861,18.007353,58.26202
2000-08-20,34,12.198276,1.4206349,3.8671875,17.579546,19.244791,38.89352,0.01923077,1.2427536,12.267361,9.521484,1.2194444,0.325,9.774305,2.7460105,18.071192,0.7132353,16.33173
2000-08-27,35,5.461207,4.2083335,1.41875,1.3977273,16.815104,6.990741,1.3942307,1.4855072,0.24305555,2.8359375,1.2388889,19.93,11.753472,5.3364363,5.1854305,6.242647,12.572115
2000-09-03,36,0.0,0.6666667,2.671875,0.011363637,0.5885417,0.0,0.75,1.2427536,0.034722224,0.00390625,0.9611111,8.075,0.034722224,0.68085104,0.65562916,2.6911764,0.0
