SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
1,28.427629838744647,28.44464866239633,26.850581670183995,28.27621806701024,29.831882947333032,27.699738433916444,29.39783967999606,28.10028468742866,28.014522493552786,27.372256882692213,29.63898862493606,29.357365811083195,29.920462590147626,27.512622387640363,25.731480241213553,29.60507525882609,27.731447670440467
2,28.777520347997797,28.979020720768585,27.276431304945177,28.68351091339475,30.092755776722285,28.139253230837475,29.946277278977995,28.520591231348607,28.34728502732667,27.74548383629094,30.171377155782857,29.99056981891313,30.210701714077512,27.882214740289733,26.143283673026595,30.143116786232667,28.09377266639648
3,28.145433340084907,28.349079600010853,26.50112318203104,27.994440669275463,29.77508443960872,27.534637238687836,29.48627913138609,28.062684964940456,27.8127301459863,26.98796897523449,29.684769952947445,29.343962103954222,29.80036711851142,27.289018364179075,25.410616623876873,29.606762831029126,27.647935847464918
4,27.968499470419864,28.151734870064743,26.379348531653637,28.173616843337104,29.421986462291656,27.57834964325069,29.342605066994537,27.871902566330153,27.825204579190967,26.873975489458697,29.421694579087294,29.25340460723301,29.513189307253334,27.081509485157948,25.217506728984453,29.459555855917138,27.431510730342403
5,28.52639338244189,29.0270101937658,27.135979369805785,28.83858891822043,29.87628093253587,28.145812412296333,29.98318524396802,28.59762868164855,28.36549053304116,27.493682141856485,30.362847112812524,30.022606681659216,30.055477566442896,28.011528033704497,25.94242999048125,30.200761305627992,27.909202226037287
6,28.5324824552401,28.634720851922594,26.879941189553534,28.56833245969954,30.127205693141168,28.107467456851992,29.56205418778578,28.28213112404563,28.308001504215007,27.404878206242323,29.839933416721625,29.41027866528041,30.19287533660653,27.58343220161646,25.831792855691234,29.603357990511245,27.959728518946154
7,27.646185493714714,27.970556895900636,26.049790206069744,27.83585907504672,29.12740835419943,27.498561727653904,29.342838893034024,28.003279498092848,27.687330233542184,26.599697511842468,29.473288550967265,29.2192778231063,29.2561089178402,26.90454890170775,24.97788866174965,29.351325409771643,27.118710644868507
8,27.773825333741332,28.138974947248183,26.194563775726834,27.89655958385695,29.21432355997917,27.573374155699977,29.434179475745378,28.042302126005097,27.719833256148544,26.62109121813951,29.540512246334192,29.309526681000328,29.347337326432747,27.12892660561408,25.056493592120972,29.463987868695344,27.32102626646304
9,27.850439935829037,27.962226272859553,26.09982765505773,27.83394999663035,29.197799635067597,27.41743035433068,29.275960672895692,27.920993598442575,27.779695930928867,26.661929766608843,29.303383798046028,29.167025445182368,29.355462128849105,26.990903097801073,24.88161282520299,29.232554713807225,27.394006925053354
10,28.05732861561818,28.427813059760055,26.612587297096017,28.205410946891426,29.39345467268847,27.552869145357775,29.583006854710707,27.991717819213868,28.077335077498525,26.99344885368047,29.724317662094577,29.695637021745956,29.476522101251316,27.643161178697554,25.232028567213746,29.8728075011789,27.723327612658395
11,27.85464716897815,27.92631745348607,26.32273243695101,27.624393422603607,29.276379360873815,27.196493556195705,29.014876473207167,27.61771055757597,27.42521130582358,26.77685868395193,29.16204316182983,28.916071419523092,29.319385932274308,27.18750980200577,24.94618096576085,29.13381861304117,27.551876787355322
12,26.62486020818487,26.899218597981466,25.03891375611922,26.80921674773807,28.052683769299488,26.27310369096361,28.48614922971142,26.897369268759192,26.783383940903875,25.42684532255638,28.38409375653948,28.423353459545865,28.157315714478955,26.231134933664908,23.69346277716188,28.53996132061206,26.349503415511304
13,26.34637591485965,26.16220144829008,24.475744918901093,26.21693861518587,27.837309265136717,25.806058689102702,27.7086566130969,26.161782812757615,26.19148565116927,25.01683699109021,27.621865213072148,27.552262405847923,27.903587083926997,25.543411781588798,23.092044789767556,27.722176473136052,26.04803895557023
14,26.181935813147742,26.00417622293745,24.380813678514674,26.05778258283933,27.53825368032731,25.626726648338053,27.52347510535237,25.94691364650974,25.930665794193395,24.991005900718765,27.430358079522204,27.489455880733193,27.637701665591088,25.502877595310494,22.94918943500266,27.59145303087925,25.79554201105534
15,25.68866005915933,25.639521675760555,23.913791567642498,25.944111177296865,27.052656562460694,25.323011399641,27.514412270815654,25.945403377523053,25.9557377998143,24.51846198329775,27.247247714286242,27.477501507885048,27.091389891871152,25.041603701447706,22.563270729035533,27.466737722706654,25.412994379753048
