SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
1,22.322919836989396,22.417431429840608,20.559653208173263,23.178352342276348,23.849068795097573,22.99538823568376,24.8227738436596,23.455059743628563,23.470984536710315,21.146378257438222,23.921483773962244,24.18532938707871,23.869179198217207,21.365291142737295,19.852440366292395,24.104087173402196,21.841237366334443
2,22.485147400687865,22.695519178325434,20.764660891149564,23.471066552627654,23.926990398234743,23.36114324041929,25.222865726259638,23.922772839949968,23.792810821869136,21.347699622356984,24.2831431372176,24.455728783106224,24.033116234959785,21.571442940700276,20.162367664393216,24.416228962131207,21.988535404642317
3,22.102338244758517,22.295202575553457,20.319303313274773,22.886541880880085,23.736338890804177,22.813634017050802,24.924447718361726,23.519974400369225,23.367599650754386,20.890352982562895,23.936701993801893,24.154253744963366,23.765675673834608,21.197313650936586,19.622577096327504,24.122831388798247,21.737361180261782
4,21.823857728523638,22.059240653560614,20.01858942145252,22.893418931733994,23.41761136849133,22.81181991518234,24.73169097633473,23.279618657297902,23.216902437639327,20.57875726090507,23.728228244467733,24.069832853641152,23.45632306758041,20.943190331181658,19.388378375803985,23.965488000261338,21.47398740130936
5,22.392457985749115,22.708933484254363,20.605717969435762,23.402392483268464,23.876885849665396,23.222374009140978,25.355016679680386,23.914042376015406,23.778397094890796,21.16882230226583,24.44552772607845,24.70144872346657,24.000547337992312,21.572361295750643,20.011978744492133,24.632192364597508,21.98529652855146
6,22.138188632096103,22.45780596997438,20.35057695331252,23.203302691153116,23.79738930059132,23.132614324955103,25.129021872695613,23.655611076691862,23.596268357502737,20.89494806502077,24.13137297771503,24.338464772566308,23.799582591922125,21.27983594818176,19.796252931380266,24.312325677293156,21.80850230990716
7,21.673710235831358,22.031224553142785,19.935732964885478,22.675783118747532,23.247157295532002,22.69608121422727,24.802123008483353,23.461217533260196,23.21935756242905,20.485125019730006,23.804451069059827,24.10423226482463,23.265625846634503,20.857363214451283,19.29273286787753,24.008192833678365,21.339918435705965
8,21.624194557062292,22.171548366526295,20.037667861319054,22.797479861350283,23.08985454017193,22.8314772109298,24.908754567627312,23.424782384381974,23.256173358812724,20.49493461415792,23.886236902113083,24.325426272471958,23.159564749448915,21.08160097350893,19.37003475126718,24.167301519658935,21.29839220255212
9,21.56551844887752,22.0055998002034,19.83535130621801,22.75679615253494,23.08887980920663,22.752566236007475,24.753929694706777,23.28777058937766,23.27100873488036,20.368319832187133,23.693471346372135,24.194501406163216,23.108625682477324,20.89303927102672,19.168555031580915,24.001659061708096,21.23664010250986
10,21.531794291414045,22.142290203749244,19.86445411693976,22.73188602475893,23.018050463977875,22.7610694044744,24.91222167234727,23.34836679124708,23.32931631129315,20.386053774933444,23.838436229028744,24.514392523958353,23.00118299778824,21.05327985057823,19.241044948111956,24.252211977367065,21.21696273973367
