SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
1,18.13025171169443,18.498616584257277,16.3761557575148,19.197191708314985,19.416792004300788,19.38510282960791,21.646079661088507,20.224392614151597,19.96380774171385,16.925196692088054,20.30810735809855,20.77550658752976,19.469570692312764,17.25614776775117,15.696945017936633,20.654786341717564,17.75987200775558
2,18.42003154587715,18.813960230467416,16.688444590293525,19.543989222503843,19.602782036155176,19.783316216438127,21.991313669076813,20.566410068561503,20.260649321755785,17.187827329238704,20.634795624538935,21.052175862294327,19.79420368743219,17.618157724532207,15.990774421935425,21.022710999416045,18.02430981643759
3,18.05505884153349,18.3877049159597,16.24797068504496,19.035883597050393,19.242027807115715,19.23997480871134,21.603660603514914,20.16212464058616,19.873028963540634,16.793982704922104,20.225634572082782,20.715126314703024,19.42469502957171,17.16545251531567,15.552930281149052,20.636848487779353,17.679272320199846
4,17.87610726949331,18.30450774540525,16.07430098840803,19.01999584073112,19.047672459724478,19.263493528034697,21.606000591422656,20.175895918392825,19.77927044545601,16.58008866124534,20.209752841206342,20.693150107288616,19.225329392628318,17.050922304922572,15.463716102068005,20.594279729540798,17.505884535396195
5,18.309933662169076,18.66299132627719,16.359535355969882,19.363593779745557,19.54235523808364,19.51139543118471,21.947949307611317,20.482158554374397,20.182790464487095,16.939249272577136,20.639392190875427,21.080616951811347,19.690829476168716,17.29904862810323,15.861981438145353,20.992648932275937,17.946729202758913
6,17.87796147625112,18.377516800894668,16.068118485202806,19.11559188320523,19.163309944966034,19.34194689300223,21.689299042148424,20.263474136847957,20.0151906035511,16.592702692630453,20.33915778905695,20.739500164175933,19.261204231328485,17.033008918384812,15.613579073607045,20.68985761832818,17.54497623970566
7,17.601341656595277,18.231245078206825,15.904485921055846,18.874813655160725,18.893498262635518,19.078716126077424,21.551491165049914,20.1732756767372,19.81589037702975,16.369938633664518,20.214111483322075,20.681930038010012,19.004753298943566,16.90816530616377,15.37636146233875,20.596755006495286,17.26895441922859
8,17.785938494914287,18.475857467488694,16.145114869631385,19.185674144356025,18.970104892230935,19.35567243809252,21.83059247586887,20.26237338129019,20.008088075839375,16.640210095428106,20.424357195536295,21.014697548128524,19.11956343197915,17.205910115606187,15.598451984153257,20.87983748613272,17.478678620754867
9,17.606030658638463,18.247087543442817,15.925216995119097,18.87245360136032,18.852170712141355,19.093496618626816,21.6070518441381,20.011363234225186,19.816514224035632,16.416653735382887,20.16627364309732,20.82831134821848,18.9324445916695,16.923661629971562,15.335198475450127,20.64563291180157,17.27207220858962
10,17.359747610202625,18.23553675399406,15.653500702391712,18.97998926543054,18.518953170126935,19.26394115796574,21.629354482489493,20.048311915271313,19.945883446822194,16.169305225174927,20.186114462319907,20.779055654057917,18.632979430857773,16.860722627069904,15.346163276037347,20.672629862223584,16.988776465426238
11,17.30822808023892,17.921667655546273,15.532651503697474,18.425125195128576,18.51239767561658,18.702471381890728,21.353198665363102,19.72327053458474,19.464220449667856,16.088911023842606,19.85608026760481,20.431532816154295,18.599886983002474,16.572321758896738,14.988985281121556,20.323000019319835,16.968796880110254
12,16.72175239116222,17.572510148579124,15.031484600023136,18.207798356215157,17.95763874017248,18.421643315957166,20.964137699249537,19.354540141018955,19.22253169352761,15.510097713127179,19.498491423503662,20.122690838250833,18.00642481465137,16.262757657046937,14.54536562964417,19.997920941914597,16.45436817269441
13,15.700303831235473,16.407737139730312,13.898221799703224,16.974236789005143,16.986259751803427,17.23431264901867,19.931621546842614,18.290491608210974,18.163820197241648,14.444964176962158,18.448730214106572,19.118803220836302,16.970146482036842,15.12564216197504,13.384549928250243,18.96419657414207,15.473207321738942
14,15.829071014335563,16.371713611173476,13.901531809706972,17.142249820800053,17.220882004696204,17.30384969247354,19.95689862153968,18.287024011389,18.231639244281148,14.543764468215581,18.444783117583302,19.226174029738434,17.168060523644378,15.052555031585843,13.502292299169541,19.003650919173328,15.516997365083977
15,15.437879366954476,15.90516890636131,13.373291766713335,16.72492413532166,16.78238279794429,16.984131325398938,19.576636954215804,17.97051781033107,17.7870910830787,14.122766221779136,18.070013561446945,18.749111569833886,16.75163352338504,14.497493670878319,13.207467343903138,18.592433278070736,15.20400957405728
16,14.084708104115196,14.75336774863668,12.104580542766211,15.45661737500202,15.270913357462907,15.618518134047168,18.502161386562157,16.872728944040272,16.680421575912057,12.780225174258076,16.95200319148142,17.78420147391985,15.310567751547545,13.37496278076904,11.847620285193164,17.521049273130714,13.831081214490927
17,13.235039228711809,13.86589343605011,11.144051036538544,14.425170529470558,14.641919380236695,14.44275563571444,17.722453846834142,16.06234937949738,15.717664417716621,11.856324800868405,16.177944025839434,16.992912646303925,14.581427776703045,12.45887650705299,10.914654589114031,16.752330878784047,13.052458786932284
18,13.045407506766004,13.476712094070054,10.950776051982059,14.186562061920052,14.3719957286318,14.237812627119753,17.304166865835384,15.75137217790678,15.51951471234488,11.659867252035001,15.747742109323475,16.682485043186382,14.36172764016855,12.112218423597323,10.718408256023942,16.40162006956724,12.887479982122256
19,11.657429453053224,12.034079512428882,9.594171845557527,13.03177972058455,12.945838755888907,13.25039589119694,16.010857824153177,14.518705548890843,14.271168394340693,10.372492570775163,14.319884631284774,15.292088322960785,12.91046574998086,10.625871097770753,9.48087179467581,14.943245641797954,11.491852982269142
20,10.89224864482266,11.568386950025172,8.933294938253743,12.019756383072764,12.297095237466515,12.18302517622134,15.59932785467921,13.881622473030585,13.41947835098274,9.574894036375094,14.007497358313888,15.134756122882154,12.176435450541007,10.349958846402064,8.738361901718863,14.738188464991499,10.842172176452339
21,11.311961985904738,11.635997373173232,9.288704150455022,12.380722930133343,12.614011000521884,12.52719569944507,15.581926179168525,13.988190359212206,13.651501981269591,9.991097141591448,13.968769024048017,14.93209514165503,12.529694928800739,10.395517914058383,8.916797708072767,14.614293936581994,11.178990233506797
22,9.741410362309317,10.068763008219348,7.550399584888671,10.71116333252972,11.08552325320279,10.836860482886031,14.168108772661526,12.451777190581236,12.059982618396326,8.346661217743687,12.402040643021916,13.446054604111334,11.029478303238923,8.790118997946152,7.25253970647714,13.150546142191804,9.687892734734518
23,10.154743587712984,10.152441633623292,7.7393811988090135,11.364165478962075,11.61321196493354,11.392225094354032,14.299253823639006,12.516603373682344,12.562678926667878,8.622085214822446,12.432249651405202,13.53118687228051,11.606442433163005,8.93056912189045,7.6664572579186965,13.220710036516657,10.045424778024461
24,10.907336731463324,10.458987588607933,8.227771973176244,11.605494830952956,12.293241708158654,11.653684802751513,14.357677680174048,12.750482532403995,12.763807944423881,9.342910949333715,12.563255514299716,13.530651875956893,12.292291557569072,9.036333809691453,8.322193539980606,13.25402107833183,10.791834266971385
25,10.788399579946907,10.815525140053174,8.556231495758656,11.229446874668911,12.02342802046494,11.258324828872041,14.422414407313045,12.676036411146686,12.474915992285172,9.338842690528713,12.836234166388904,13.829582479707394,12.079480216036547,9.562407814319492,8.12768110515123,13.564447748273786,10.708109793030026
26,10.319410548860656,10.180706273928633,7.784720181919562,11.117322570419027,11.658239027579391,11.292592006564293,14.017153394938209,12.283136359331206,12.236608653625076,8.762602050626237,12.329163294251348,13.465625029047224,11.68686890372208,8.755689826027698,7.726202679142209,13.088451470722191,10.196406317078521
27,10.226673875654374,9.805570277538635,7.397073305949977,10.907549912679407,11.697596584978498,10.951308332738423,13.587867306411788,11.968615908536044,12.095754648339726,8.556142856109263,11.862664951386389,12.738226920645834,11.707748764398362,8.261132994985976,7.581552015852279,12.548323601416646,10.042310849183973
28,9.757100683983076,9.618003317054146,7.424799388324463,10.5456461113261,10.732015190731147,10.531949909833696,13.366264631660876,11.690865338150248,11.616439785087685,8.295846847723519,11.664897410702075,12.808323534696571,10.900183112405557,8.388773714942237,7.141407084301908,12.47401668405113,9.58103113590225
29,8.602317753967325,8.463868525925475,6.197883149845577,9.432934078388802,9.824459641572282,9.574214181817176,12.492882311114762,10.63504210600791,10.544250605438787,7.162325517187237,10.74166583175783,11.996130891241476,9.846977474256256,7.338875497927249,6.036266105074504,11.618021431603777,8.468135841503297
30,9.976514434358789,9.449833951453918,7.1953093890014115,10.555195934199867,11.233526232830691,10.651499440536536,13.228306294307766,11.514911712130013,11.641186196551951,8.326106543751482,11.542601548386859,12.57769721236833,11.288240089409598,7.983408273698598,7.253964173106279,12.240060695468095,9.826476310845011
31,10.305393778256008,9.87486498310749,7.523499016869671,10.719606325614842,11.654939946898438,10.731691400496196,13.562730642574522,11.83376923348563,11.786291384653802,8.578301788607384,11.97783361712782,12.891359591217377,11.67752091818277,8.463924631335587,7.450710340095296,12.665431852434013,10.12337335976147
32,10.60996599066058,10.302226647536383,7.970234350055958,11.130244856769485,11.945467579205506,11.133628752535374,13.956337122347195,12.306467481427378,12.299720383382123,8.962121240159389,12.385477947462173,13.37133400654857,11.965861748431639,8.8976338751985,7.744586689632445,13.10195346823877,10.461655872703563
33,11.027336782059,10.480312237909862,8.203720917276502,11.384119543340944,12.272627883846015,11.458005199217583,14.040452354308815,12.434304517436338,12.487871377365463,9.19722415774826,12.488971874992568,13.408426744438245,12.44506736782009,9.10928963153599,8.110629450733246,13.207701398855086,10.793025529169329
34,11.56821166115838,10.983329962025573,8.762826252034415,11.713287836325664,12.739036560188744,11.663933122286926,14.438982132419554,12.759279201358943,12.738335755274955,9.871836896454926,12.900538192893519,13.819274074851341,12.875807458798626,9.578188270987566,8.555352709612137,13.572669503740135,11.428412327962423
35,11.070279771388728,10.78227106723704,8.5314166151007,11.538288083409979,12.322690150202158,11.606200834854842,14.288054212091962,12.692158723470762,12.681308014770774,9.48181647110039,12.816821520648478,13.886115233082014,12.369087332580312,9.451844653085045,8.266569181168634,13.490941934174987,10.884842249604892
36,11.517421966686825,11.698211297690232,9.409773797426164,12.037807645275302,12.589136641608354,12.151796771034771,15.057172430750231,13.327540243292473,13.110240186731641,10.124353708018067,13.635004179632508,14.420075277716643,12.678774914584451,10.462382893977448,8.969909974649365,14.201628355550673,11.389264364245767
37,13.336493280286803,13.046695982255915,10.900317738035028,13.452054119748727,14.401589805591026,13.483013595552825,16.127310980888566,14.401940881565638,14.338073939936503,11.760271307630935,14.879898407172332,15.492314633744746,14.575835140699587,11.760795008136107,10.373600157407127,15.366953761722243,13.225852058769238
