 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2016
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 25";"Semana 29";"Semana 32";"Semana 34";"Semana 44";"Semana 46";"Semana 49";"Semana 51";"Semana 52";"Total"
"420200 Balneário Camboriú";0;0;1;2;1;1;0;2;4;2;2;1;2;4;4;2;3;2;1;2;1;0;0;1;0;0;0;0;0;0;1;39
"420240 Blumenau";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420253 Bom Jesus";0;1;2;1;2;2;0;4;5;9;6;7;7;10;11;12;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;84
"420290 Brusque";0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420310 Caibi";0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"420420 Chapecó";0;1;2;4;1;8;39;23;53;77;54;49;63;63;75;95;107;45;12;11;2;1;0;0;0;0;1;0;0;0;0;786
"420440 Coronel Freitas";0;0;2;4;1;7;4;14;19;33;20;18;15;8;6;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;158
"420490 Descanso";0;0;0;0;2;11;13;6;26;12;5;3;4;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87
"420540 Florianópolis";0;0;0;0;0;1;1;0;0;0;0;1;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12
"420640 Guaraciaba";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6
"420665 Guatambú";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420820 Itajaí";2;3;3;1;4;1;1;0;0;5;4;4;4;12;7;8;5;1;2;1;1;0;0;0;0;0;0;0;0;0;0;69
"420830 Itapema";0;0;0;2;0;0;2;1;0;2;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"420845 Itapoá";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420910 Joinville";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"421050 Maravilha";0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"421090 Modelo";0;0;0;0;0;4;0;0;5;1;0;0;1;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
"421145 Nova Itaberaba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421210 Palmitos";0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421290 Pinhalzinho";2;14;51;61;112;191;221;260;338;253;190;210;156;97;106;93;77;19;8;2;3;0;1;1;1;1;0;0;0;1;3;2472
"421420 Quilombo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421630 São João Batista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"421670 São José do Cedro";0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"421690 São Lourenço do Oeste";0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421720 São Miguel do Oeste";0;1;1;1;4;6;3;0;1;1;3;3;1;5;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
"421730 Saudades";0;0;0;0;0;0;2;0;1;2;1;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
"421755 Serra Alta";0;0;0;1;0;5;6;5;40;28;8;24;23;5;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153
"421885 União do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"421950 Xanxerê";0;0;0;0;0;0;0;1;1;2;1;0;0;3;4;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;20
"Total";4;20;63;80;127;238;293;317;495;431;302;326;286;214;242;232;214;70;29;17;7;1;1;2;1;1;1;1;1;1;4;4021
