 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2019
"Mun infec SC";"Semana 02";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 41";"Semana 45";"Semana 49";"Semana 50";"Total"
"420200 Balneário Camboriú";0;0;0;0;0;0;0;3;0;1;1;0;0;3;5;3;4;7;5;6;4;5;4;1;1;3;0;1;0;0;0;0;0;1;0;0;0;58
"421280 Balneário Piçarras";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420240 Blumenau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420245 Bombinhas";0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;1;1;3;3;1;3;1;6;1;1;0;1;0;0;0;0;0;0;0;0;0;27
"420290 Brusque";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420320 Camboriú";0;0;0;0;1;1;1;8;5;13;28;29;21;29;37;34;38;41;41;25;23;17;12;9;5;4;4;3;2;2;1;1;0;0;0;0;0;435
"420420 Chapecó";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"420440 Coronel Freitas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420470 Cunha Porã";0;0;1;2;0;0;2;3;3;5;5;3;1;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
"420540 Florianópolis";0;3;3;1;0;0;0;2;0;0;0;0;1;1;0;0;2;1;0;0;2;1;2;1;1;0;0;0;1;0;0;1;0;0;0;1;0;24
"420820 Itajaí";1;0;0;0;0;0;1;0;0;2;1;2;6;5;6;5;3;4;5;6;4;5;1;5;3;2;1;0;0;0;0;0;0;0;1;0;0;69
"420830 Itapema";0;0;0;0;0;0;6;6;30;28;41;56;51;62;60;50;71;56;50;34;27;23;15;17;3;4;1;3;0;1;0;2;1;0;0;0;0;698
"420910 Joinville";0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4
"421050 Maravilha";0;0;0;0;0;0;0;0;1;0;3;1;1;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"421130 Navegantes";0;0;0;0;0;0;0;0;1;0;0;1;2;1;5;3;3;8;3;4;2;1;4;7;2;1;1;2;0;0;0;0;0;0;0;0;0;51
"421145 Nova Itaberaba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421350 Porto Belo";0;0;0;0;0;0;1;2;4;8;7;5;10;15;7;7;9;8;5;5;5;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;106
"421507 Riqueza";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421630 São João Batista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421720 São Miguel do Oeste";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Total";1;3;4;3;2;3;12;24;44;58;87;98;94;120;122;102;135;133;118;87;71;58;41;50;16;15;7;10;3;3;1;4;1;1;1;1;1;1534
