Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,
Período: de 01/01/2014 a 31/12/2014,,,,,
Atualizado em 26/05/2023,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,21/02/2014
Chapecó,PINHALZINHO,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,10/01/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,Armadilha,15/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,29/01/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Delimitação de Foco,02/10/2014
Itajaí,ITAPEMA,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,27/05/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,24/02/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,15/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,Armadilha,31/03/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,15/12/2014
Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,,29/01/2014
Xanxerê,XAXIM,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,26/03/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Residência,ARM - Armadilha,Armadilha,11/12/2014
Tubarão,GRAVATAL,Comércio,ARM - Armadilha,Armadilha,13/01/2014
Joinville,JOINVILLE,Ponto Estratégico,ARM - Armadilha,Armadilha,09/07/2014
Concórdia,PIRATUBA,Residência,ARM - Armadilha,Armadilha,30/12/2014
Xanxerê,XAXIM,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,04/06/2014
Chapecó,CHAPECÓ,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,13/01/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,09/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,18/04/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,03/04/2014
Xanxerê,XANXERÊ,Residência,B - Pequenos depósitos móveis,,12/05/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,27/03/2014
Blumenau,INDAIAL,Residência,ARM - Armadilha,,10/12/2014
São José,FLORIANÓPOLIS,Ponto Estratégico,ARM - Armadilha,Ponto Estratégico,28/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,12/09/2014
Jaraguá do Sul,BARRA VELHA,Residência,ARM - Armadilha,Armadilha,30/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,23/01/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,14/04/2014
Concórdia,CONCÓRDIA,Residência,ARM - Armadilha,,13/05/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,02/07/2014
Chapecó,CHAPECÓ,Outros,B - Pequenos depósitos móveis,LIRAa,16/01/2014
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,18/12/2014
