Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2019 a 31/12/2019,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE,COMASA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,20/12/2019
Joinville,JOINVILLE,COMASA,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,20/12/2019
Joinville,JOINVILLE,ULYSSES GUIMARÃES,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,ULYSSES GUIMARÃES,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FÁTIMA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,COMASA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,COMASA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,COMASA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,COMASA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,BOM RETIRO,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,ADHEMAR GARCIA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,ADHEMAR GARCIA,Comércio,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,ADHEMAR GARCIA,Residência,ARM - Armadilha,Armadilha,20/12/2019
Joinville,JOINVILLE,COSTA E SILVA,Residência,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,GLORIA,Comércio,E - Depósitos naturais,Delimitação de Foco,18/12/2019
Joinville,JOINVILLE,COMASA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,19/12/2019
Joinville,JOINVILLE,COMASA,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,12/12/2019
Joinville,JOINVILLE,COMASA,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,18/12/2019
Joinville,JOINVILLE,COMASA,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,13/12/2019
Joinville,JOINVILLE,IRIRIÚ,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Outros,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Residência,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,ITAUM,Residência,ARM - Armadilha,Armadilha,19/12/2019
