Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 02/07/2022 a 31/12/2022,,,,,,
Atualizado em 27/06/2023,,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Nº Foco
Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,30/08/2022,ARM 317974/22
Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,30/08/2022,ARM 317971/22
Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,30/08/2022,ARM 317970/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,26/09/2022,ARM 297820/22
Joinville,SÃO FRANCISCO DO SUL,Comércio,E - Depósitos naturais,Armadilha,26/09/2022,ARM 296471/22
Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,26/09/2022,ARM 296470/22
Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,26/09/2022,ARM 296466/22
Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,26/09/2022,ARM 296463/22
Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,10/10/2022,ARM 292448/22
Xanxerê,JUPIÁ,Outros,ARM - Armadilha,Armadilha,22/12/2022,ARM 292445/22
Xanxerê,SÃO DOMINGOS,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 292089/22
Xanxerê,SÃO DOMINGOS,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 292087/22
Xanxerê,SÃO DOMINGOS,Outros,ARM - Armadilha,Armadilha,27/12/2022,ARM 292085/22
Xanxerê,SÃO DOMINGOS,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 292083/22
Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 292064/22
Xanxerê,SÃO LOURENÇO DO OESTE,Outros,ARM - Armadilha,Armadilha,19/12/2022,ARM 292063/22
Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 292062/22
Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 292061/22
Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 292060/22
Xanxerê,FAXINAL DOS GUEDES,Outros,ARM - Armadilha,Armadilha,16/12/2022,ARM 291767/22
São José,NOVA TRENTO,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 291756/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,20/12/2022,ARM 291680/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,20/12/2022,ARM 291679/22
Xanxerê,XAXIM,Outros,ARM - Armadilha,Armadilha,20/12/2022,ARM 291678/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,20/12/2022,ARM 291677/22
Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,19/12/2022,ARM 291676/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 291675/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 291674/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,20/12/2022,ARM 291673/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 291672/22
Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,19/12/2022,ARM 291671/22
Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 291670/22
Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,19/12/2022,ARM 291669/22
Xanxerê,ABELARDO LUZ,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 291668/22
Xanxerê,ABELARDO LUZ,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 291667/22
Xanxerê,ABELARDO LUZ,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291666/22
Xanxerê,ABELARDO LUZ,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291665/22
Xanxerê,ABELARDO LUZ,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 291664/22
São José,FLORIANÓPOLIS,Outros,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,23/12/2022,ID 291593/22
Itajaí,CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,19/12/2022,ARM 291549/22
