Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/04/2023 a 30/04/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
PE 347466/23,Joinville,JOINVILLE,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,20/04/2023,20/04/2023,21/04/2023,1,0,0,0,0
PVE 337531/23,São Miguel do Oeste,GUARACIABA,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,10/04/2023,11/04/2023,11/04/2023,1,0,2,0,0
PVE 337521/23,São Miguel do Oeste,GUARACIABA,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,24/04/2023,24/04/2023,25/04/2023,1,0,0,0,0
DF 337502/23,São Miguel do Oeste,GUARACIABA,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,12/04/2023,12/04/2023,12/04/2023,5,1,0,0,0
DF 337499/23,São Miguel do Oeste,GUARACIABA,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,03/04/2023,03/04/2023,03/04/2023,1,0,0,0,0
ARM 335164/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,32,0,0,0,0
ARM 335163/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,2,0,0,0,0
ARM 335162/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,42,0,0,0,0
ARM 335161/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,19,0,0,0,0
ARM 335160/23,Araranguá,SOMBRIO,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,4,0,0,0,0
ARM 335159/23,Araranguá,SOMBRIO,Outros,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,10,0,0,0,0
ARM 335158/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,3,0,0,0,0
ARM 335157/23,Araranguá,SOMBRIO,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,2,0,0,0,0
ARM 335156/23,Araranguá,SOMBRIO,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,1,0,0,0,0
ARM 335155/23,Araranguá,SOMBRIO,Outros,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,2,0,0,0,0
ARM 335133/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,10,0,0,0,0
ARM 335132/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,36,0,0,0,0
ARM 335131/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,78,0,0,0,0
ARM 335130/23,Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,08/05/2023,1,0,0,0,0
