Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/08/2023 a 31/08/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ID 351673/23,São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,23/08/2023,24/10/2023,24/10/2023,2,0,0,0,0
ARM 348711/23,São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,28/08/2023,02/10/2023,02/10/2023,10,0,0,0,0
ARM 348310/23,São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,09/08/2023,28/09/2023,28/09/2023,5,0,0,0,0
ARM 346295/23,Xanxerê,XANXERÊ,Outros,ARM - Armadilha,Armadilha,31/08/2023,31/08/2023,14/09/2023,1,0,0,0,0
ARM 346294/23,Xanxerê,XANXERÊ,Residência,ARM - Armadilha,Armadilha,28/08/2023,28/08/2023,14/09/2023,2,0,0,0,0
DF 346046/23,Joinville,JOINVILLE,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,29/08/2023,29/08/2023,29/08/2023,11,0,0,0,0
DF 346045/23,Joinville,JOINVILLE,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,29/08/2023,29/08/2023,29/08/2023,10,0,0,0,0
DF 346044/23,Joinville,JOINVILLE,Outros,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,29/08/2023,29/08/2023,29/08/2023,4,0,0,0,0
ARM 345990/23,Joinville,ARAQUARI,Comércio,ARM - Armadilha,Armadilha,31/08/2023,12/09/2023,12/09/2023,10,0,0,0,0
ARM 345989/23,Joinville,ARAQUARI,Comércio,ARM - Armadilha,Armadilha,30/08/2023,12/09/2023,12/09/2023,10,0,0,0,0
ARM 345987/23,Joinville,ARAQUARI,Comércio,ARM - Armadilha,Armadilha,30/08/2023,12/09/2023,12/09/2023,10,0,0,0,0
ARM 345977/23,Joinville,ARAQUARI,Comércio,ARM - Armadilha,Armadilha,31/08/2023,12/09/2023,12/09/2023,6,0,0,0,0
