Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/12/2023 a 31/12/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 375269/23,São José,NOVA TRENTO,Comércio,ARM - Armadilha,Armadilha,31/12/2023,05/02/2024,05/02/2024,8,0,0,0,0
DF 374339/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,29/12/2023,29/12/2023,29/12/2023,2,0,2,0,0
DF 374338/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,28/12/2023,28/12/2023,28/12/2023,4,0,0,0,0
DF 374337/23,São José,GAROPABA,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,22/12/2023,22/12/2023,22/12/2023,6,0,0,0,0
ARM 368281/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,23,0,0,0,0
ARM 368277/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,13,0,0,0,0
ARM 368269/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,17,0,0,0,0
ARM 368264/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,4,0,0,0,0
ARM 368261/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,15,0,0,0,0
ARM 368257/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,3,0,0,0,0
ARM 368247/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/12/2023,28/12/2023,28/12/2023,14,0,0,0,0
