Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/02/2023 a 28/02/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 382425/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,22/02/2023,23/02/2024,23/02/2024,10,0,0,0,0
ARM 380760/23,Concórdia,LINDÓIA DO SUL,Residência,ARM - Armadilha,Armadilha,23/02/2023,23/02/2024,23/02/2024,7,0,0,0,0
ARM 380751/23,Concórdia,PRESIDENTE CASTELO BRANCO,Outros,ARM - Armadilha,Armadilha,23/02/2023,23/02/2024,23/02/2024,12,0,0,0,0
ARM 380749/23,Concórdia,PRESIDENTE CASTELO BRANCO,Comércio,ARM - Armadilha,Armadilha,23/02/2023,23/02/2024,23/02/2024,15,0,0,0,0
ARM 380746/23,Concórdia,PRESIDENTE CASTELO BRANCO,Residência,ARM - Armadilha,Armadilha,23/02/2023,23/02/2024,23/02/2024,16,0,0,0,0
ARM 377179/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,08/02/2023,08/02/2024,08/02/2024,27,0,0,0,0
ARM 376604/23,Tubarão,GRÃO PARÁ,Comércio,ARM - Armadilha,Armadilha,07/02/2023,08/02/2024,08/02/2024,3,0,22,0,0
ARM 376603/23,Tubarão,GRÃO PARÁ,Comércio,ARM - Armadilha,Armadilha,07/02/2023,08/02/2024,08/02/2024,3,0,0,0,0
ARM 375349/23,Videira,CAÇADOR,Residência,ARM - Armadilha,Armadilha,01/02/2023,05/02/2024,05/02/2024,4,0,0,0,0
DF 343215/23,São Miguel do Oeste,PARAÍSO,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,09/02/2023,13/02/2023,13/02/2023,16,0,0,0,0
DF 343212/23,São Miguel do Oeste,PARAÍSO,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,09/02/2023,13/02/2023,13/02/2023,9,0,0,0,0
ARM 333118/23,Joinville,SÃO FRANCISCO DO SUL,Outros,E - Depósitos naturais,Armadilha,15/02/2023,18/05/2023,22/05/2023,10,0,0,0,0
L 322462/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,07/03/2023,3,0,0,0,0
L 322220/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,07/03/2023,5,0,0,0,0
L 322217/23,Blumenau,BLUMENAU,Residência,E - Depósitos naturais,LIRAa,28/02/2023,06/03/2023,07/03/2023,1,0,0,0,0
L 322214/23,Blumenau,BLUMENAU,Comércio,C - Depósitos Fixos,LIRAa,28/02/2023,06/03/2023,07/03/2023,5,0,0,0,0
L 322210/23,Blumenau,BLUMENAU,Comércio,D1 - Pneus e outros materiais rodantes,LIRAa,28/02/2023,06/03/2023,07/03/2023,5,0,0,0,0
L 322199/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,28/02/2023,06/03/2023,07/03/2023,10,0,0,0,0
L 322189/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,07/03/2023,2,0,0,0,0
L 322186/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,07/03/2023,8,0,0,0,0
L 322178/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,06/03/2023,07/03/2023,2,0,0,0,0
L 322175/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,07/03/2023,5,0,0,0,0
L 322174/23,Blumenau,BLUMENAU,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,28/02/2023,06/03/2023,07/03/2023,8,0,0,0,0
L 322142/23,Blumenau,BLUMENAU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,28/02/2023,06/03/2023,07/03/2023,7,0,0,0,0
L 322137/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,7,0,0,0,0
L 322133/23,Blumenau,BLUMENAU,Residência,E - Depósitos naturais,LIRAa,28/02/2023,01/03/2023,06/03/2023,6,0,0,0,0
L 322131/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,5,0,0,0,0
L 322062/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,4,0,0,0,0
L 322057/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,9,0,0,0,0
L 322044/23,Blumenau,BLUMENAU,Residência,D1 - Pneus e outros materiais rodantes,LIRAa,28/02/2023,01/03/2023,06/03/2023,2,0,0,0,0
L 322022/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,5,0,0,0,0
L 322015/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,10,0,0,0,0
L 322010/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,1,0,0,0,0
L 322006/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,28/02/2023,01/03/2023,06/03/2023,4,0,0,0,0
L 321509/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,06/03/2023,7,0,0,0,0
L 321505/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,06/03/2023,5,0,0,0,0
L 321481/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,06/03/2023,2,0,0,0,0
L 321470/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,06/03/2023,06/03/2023,2,0,0,0,0
L 321466/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,28/02/2023,06/03/2023,06/03/2023,10,0,0,0,0
L 321456/23,Blumenau,BLUMENAU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,28/02/2023,06/03/2023,06/03/2023,5,0,0,0,0
L 321387/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,9,0,0,0,0
L 321385/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,03/03/2023,03/03/2023,1,0,0,0,0
L 321382/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,03/03/2023,03/03/2023,3,0,0,0,0
L 321379/23,Blumenau,BLUMENAU,Outros,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,10,0,0,0,0
L 321374/23,Blumenau,BLUMENAU,Residência,D1 - Pneus e outros materiais rodantes,LIRAa,28/02/2023,03/03/2023,03/03/2023,1,0,0,0,0
L 321371/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,28/02/2023,03/03/2023,03/03/2023,1,0,0,0,0
L 321370/23,Blumenau,BLUMENAU,Terreno baldio,E - Depósitos naturais,LIRAa,27/02/2023,03/03/2023,03/03/2023,2,0,0,0,0
L 321367/23,Blumenau,BLUMENAU,Residência,E - Depósitos naturais,LIRAa,27/02/2023,03/03/2023,03/03/2023,10,0,0,0,0
L 321366/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,03/03/2023,03/03/2023,2,0,0,0,0
L 321365/23,Blumenau,BLUMENAU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,27/02/2023,03/03/2023,03/03/2023,3,0,0,0,0
