Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/01/2023 a 31/01/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 374862/23,Tubarão,GRÃO PARÁ,Comércio,ARM - Armadilha,Armadilha,31/01/2023,02/02/2024,02/02/2024,4,0,6,0,0
ARM 371380/23,Tubarão,BRAÇO DO NORTE,Comércio,ARM - Armadilha,Armadilha,24/01/2023,24/01/2024,24/01/2024,10,0,0,0,0
ARM 371376/23,Tubarão,BRAÇO DO NORTE,Comércio,ARM - Armadilha,Armadilha,24/01/2023,24/01/2024,24/01/2024,4,0,3,0,0
ARM 330903/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,10/01/2023,12/05/2023,12/05/2023,1,0,0,0,0
ARM 317973/23,Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,30/01/2023,31/03/2023,31/03/2023,7,0,0,0,0
ARM 314941/23,Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,20/01/2023,20/01/2023,21/03/2023,14,0,0,0,0
ARM 314939/23,Jaraguá do Sul,JARAGUÁ DO SUL,Outros,ARM - Armadilha,Armadilha,20/01/2023,20/01/2023,21/03/2023,5,0,0,0,0
ARM 314936/23,Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,20/01/2023,20/01/2023,21/03/2023,14,0,0,0,0
ARM 314929/23,Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,20/01/2023,20/01/2023,21/03/2023,10,0,0,0,0
ARM 314928/23,Jaraguá do Sul,JARAGUÁ DO SUL,Outros,ARM - Armadilha,Armadilha,20/01/2023,20/01/2023,21/03/2023,8,0,0,0,0
PE 310732/23,Itajaí,ITAPEMA,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,09/01/2023,09/03/2023,09/03/2023,1,0,0,0,0
ARM 309633/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,1,0,0,0,0
ARM 309111/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,15,0,0,0,0
ARM 306516/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,3,0,0,0,0
ARM 306514/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,11,0,0,0,0
ARM 306511/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,7,0,0,0,0
ARM 306508/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,10,0,0,0,0
ARM 306507/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,7,0,0,0,0
ARM 306498/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,5,0,0,0,0
ARM 306487/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,4,0,0,0,0
ARM 306475/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,3,0,0,0,0
ARM 306451/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,10,0,0,0,0
ARM 306449/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,1,0,0,0,0
ARM 306442/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,10,0,0,0,0
ARM 306431/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,6,0,0,0,0
ARM 306427/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,3,0,0,0,0
ARM 306417/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,2,0,0,0,0
ARM 306413/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,2,0,0,0,0
