Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/07/2023 a 31/07/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
PE 343657/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,4,0,0
PE 343655/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,16,0,0
PE 343653/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,6,0,8,0,0
PE 343650/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,10,0,0,0,0
PE 343648/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,2,0,0
PE 343647/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,4,0,0
PE 343646/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,8,0,0
PE 343645/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,1,0,13,0,0
PE 343644/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,1,0,5,0,0
PE 343643/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,6,0,4,0,0
PE 343642/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,3,0,0,0,0
PE 343641/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,6,0,0
PE 343640/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,1,0,0
PE 343638/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,4,0,0
PE 343636/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,2,0,0
PE 343635/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,2,0,0
PE 343634/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,5,0,0
PE 343632/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,4,0,4,0,0
PE 343630/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,2,0,7,0,0
PE 343626/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,8,0,0
PE 343625/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,6,0,4,0,0
PE 343624/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,3,0,0,0,0
PE 343622/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,2,0,0
PE 343621/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,2,0,0
PE 343620/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,0,0,15,0,0
PE 343617/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,2,0,4,0,0
PE 343615/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,11,0,6,0,0
PE 343612/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,16/07/2023,16/07/2023,17/08/2023,17,0,0,0,0
