Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/06/2023 a 30/06/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
LI+T 342989/23,Joaçaba,ERVAL VELHO,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,21/06/2023,10/08/2023,10/08/2023,4,0,0,0,0
ARM 342258/23,São José,PALHOÇA,Comércio,ARM - Armadilha,Armadilha,30/06/2023,02/08/2023,02/08/2023,4,0,0,0,0
ARM 342257/23,São José,PALHOÇA,Outros,ARM - Armadilha,Armadilha,30/06/2023,02/08/2023,02/08/2023,7,0,0,0,0
ARM 342256/23,São José,PALHOÇA,Outros,ARM - Armadilha,Armadilha,30/06/2023,02/08/2023,02/08/2023,4,0,1,0,0
ARM 340755/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/06/2023,07/07/2023,07/07/2023,10,0,0,0,0
PE 340391/23,Joinville,JOINVILLE,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,30/06/2023,30/06/2023,30/06/2023,7,0,0,0,0
PE 340390/23,Joinville,JOINVILLE,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/06/2023,30/06/2023,30/06/2023,8,0,6,0,0
PE 340389/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/06/2023,29/06/2023,03/07/2023,27,0,0,0,0
DF 340366/23,Joinville,JOINVILLE,Residência,C - Depósitos Fixos,Delimitação de Foco,30/06/2023,30/06/2023,03/07/2023,1,0,0,0,0
DF 340365/23,Joinville,JOINVILLE,Residência,E - Depósitos naturais,Delimitação de Foco,30/06/2023,30/06/2023,03/07/2023,1,0,0,0,0
ARM 340306/23,Xanxerê,ENTRE RIOS,Comércio,ARM - Armadilha,Armadilha,26/06/2023,07/07/2023,07/07/2023,9,0,0,0,0
ARM 340305/23,Xanxerê,ENTRE RIOS,Residência,ARM - Armadilha,Armadilha,26/06/2023,07/07/2023,07/07/2023,19,0,0,0,0
ARM 340304/23,Xanxerê,ENTRE RIOS,Outros,ARM - Armadilha,Armadilha,26/06/2023,07/07/2023,07/07/2023,18,0,0,0,0
