Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/05/2023 a 31/05/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
PE 338569/23,Chapecó,CUNHATAÍ,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/05/2023,20/06/2023,20/06/2023,10,0,0,0,0
PE 338568/23,Chapecó,CUNHATAÍ,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/05/2023,20/06/2023,20/06/2023,10,0,0,0,0
PE 338070/23,Joinville,JOINVILLE,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,18/05/2023,18/05/2023,18/05/2023,1,0,3,0,0
PVE 337852/23,Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,24/05/2023,15/06/2023,15/06/2023,2,0,0,0,0
PVE 337851/23,Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,24/05/2023,15/06/2023,15/06/2023,11,0,0,0,0
PVE 337850/23,Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,24/05/2023,15/06/2023,15/06/2023,10,0,0,0,0
PVE 337849/23,Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,24/05/2023,15/06/2023,15/06/2023,2,0,1,0,0
PVE 337848/23,Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,25/05/2023,15/06/2023,15/06/2023,11,0,0,0,0
ARM 337612/23,Rio do Sul,RIO DO OESTE,Residência,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,15/06/2023,4,0,0,0,0
PE 337444/23,Xanxerê,OURO VERDE,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/05/2023,14/06/2023,14/06/2023,6,0,0,0,0
ARM 337443/23,Xanxerê,OURO VERDE,Residência,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,1,0,0,0,0
ARM 337442/23,Xanxerê,OURO VERDE,Residência,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,1,0,0,0,0
ARM 337438/23,Xanxerê,FAXINAL DOS GUEDES,Comércio,ARM - Armadilha,Armadilha,31/05/2023,14/06/2023,14/06/2023,4,0,0,0,0
ARM 337435/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,10,0,0,0,0
ARM 337434/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,18,0,0,0,0
ARM 337430/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,12,0,0,0,0
ARM 337429/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,3,0,0,0,0
ARM 337426/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,29/05/2023,14/06/2023,14/06/2023,2,0,0,0,0
ARM 337425/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,29/05/2023,14/06/2023,14/06/2023,1,0,0,0,0
ARM 337424/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,10,0,0,0,0
ARM 337422/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/05/2023,14/06/2023,14/06/2023,2,0,0,0,0
ARM 337419/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,29/05/2023,14/06/2023,14/06/2023,3,0,0,0,0
ARM 337417/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,29/05/2023,14/06/2023,14/06/2023,7,0,0,0,0
ARM 337415/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,29/05/2023,14/06/2023,14/06/2023,6,0,0,0,0
ARM 337354/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/05/2023,05/06/2023,05/06/2023,2,0,0,0,0
ARM 337353/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/05/2023,05/06/2023,05/06/2023,10,0,0,0,0
ARM 337349/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/05/2023,05/06/2023,05/06/2023,10,0,0,0,0
DF 337341/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,31/05/2023,02/06/2023,05/06/2023,1,0,0,0,0
DF 337338/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,31/05/2023,02/06/2023,05/06/2023,2,0,0,0,0
ARM 337322/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,01/06/2023,2,0,0,0,0
ARM 337321/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,01/06/2023,1,0,0,0,0
PE 337320/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,31/05/2023,31/05/2023,01/06/2023,5,0,0,0,0
PE 337319/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/05/2023,31/05/2023,01/06/2023,1,0,0,0,0
PE 337318/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/05/2023,31/05/2023,01/06/2023,1,0,0,0,0
PE 337317/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/05/2023,31/05/2023,01/06/2023,2,0,0,0,0
ARM 337316/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,10,0,0,0,0
ARM 337315/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,13,0,0,0,0
ARM 337314/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,1,0,0,0,0
ARM 337313/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,31/05/2023,01/06/2023,1,0,0,0,0
ARM 337310/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,31/05/2023,01/06/2023,7,0,0,0,0
ARM 337306/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,10,0,0,0,0
DF 337305/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,31/05/2023,01/06/2023,01/06/2023,3,0,0,0,0
ARM 337304/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,1,0,0,0,0
ARM 337303/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,1,0,0,0,0
ARM 337302/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,2,0,0,0,0
ARM 337301/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,5,0,0,0,0
ARM 337300/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,5,0,0,0,0
ARM 337299/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,10,0,0,0,0
ARM 337298/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/05/2023,01/06/2023,01/06/2023,10,0,0,0,0
PE 337297/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/05/2023,01/06/2023,01/06/2023,3,0,0,0,0
ARM 337296/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,31/05/2023,3,0,0,0,0
ARM 337295/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,31/05/2023,20,0,0,0,0
ARM 337294/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,31/05/2023,10,0,0,0,0
ARM 337293/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/05/2023,31/05/2023,31/05/2023,16,0,0,0,0
