Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/03/2023 a 31/03/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 387932/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,14/03/2023,15/03/2024,15/03/2024,39,0,0,0,0
ARM 386243/23,Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,11/03/2023,12/03/2024,12/03/2024,25,0,0,0,0
ARM 384919/23,Concórdia,PERITIBA,Outros,ARM - Armadilha,Armadilha,06/03/2023,07/03/2024,07/03/2024,20,0,0,0,0
PE 353941/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,6,0,0,0,0
PE 353940/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,8,0,0,0,0
PE 353939/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,7,0,0,0,0
PE 353938/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,2,0,0,0,0
PE 353937/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,4,0,0,0,0
PE 353936/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,9,0,0,0,0
PE 353935/23,Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,8,0,0,0,0
PE 353933/23,Chapecó,CHAPECÓ,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,4,0,0,0,0
PE 353932/23,Chapecó,CHAPECÓ,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,24/03/2023,27/03/2023,27/03/2023,3,0,0,0,0
PVE 337556/23,São Miguel do Oeste,GUARACIABA,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,28/03/2023,28/03/2023,29/03/2023,2,0,0,0,0
PVE 337555/23,São Miguel do Oeste,GUARACIABA,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,28/03/2023,28/03/2023,29/03/2023,10,0,0,0,0
PVE 337524/23,São Miguel do Oeste,GUARACIABA,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,31/03/2023,03/04/2023,05/04/2023,2,0,0,0,0
DF 333642/23,São José,GAROPABA,Outros,ARM - Armadilha,Delimitação de Foco,28/03/2023,28/03/2023,28/03/2023,1,0,2,0,0
DF 333641/23,São José,GAROPABA,Outros,ARM - Armadilha,Delimitação de Foco,28/03/2023,28/03/2023,28/03/2023,1,0,0,0,0
DF 333640/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,24/03/2023,24/03/2023,24/03/2023,4,0,0,0,0
DF 333639/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,24/03/2023,24/03/2023,24/03/2023,3,0,4,0,0
DF 333638/23,São José,GAROPABA,Terreno baldio,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,24/03/2023,24/03/2023,24/03/2023,6,0,4,0,0
DF 333637/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,22/03/2023,22/03/2023,22/03/2023,1,0,41,0,0
DF 333636/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,22/03/2023,22/03/2023,22/03/2023,10,0,0,0,0
DF 333635/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,22/03/2023,22/03/2023,22/03/2023,1,0,3,0,0
DF 333634/23,São José,GAROPABA,Comércio,ARM - Armadilha,Delimitação de Foco,22/03/2023,22/03/2023,22/03/2023,4,0,0,0,0
DF 333633/23,São José,GAROPABA,Comércio,E - Depósitos naturais,Delimitação de Foco,14/03/2023,14/03/2023,14/03/2023,3,0,0,0,0
PE 330627/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,31/03/2023,03/04/2023,03/04/2023,1,0,0,0,0
PE 330623/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/03/2023,03/04/2023,03/04/2023,4,0,0,0,0
PE 330619/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/03/2023,03/04/2023,03/04/2023,7,0,0,0,0
PE 330616/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/03/2023,03/04/2023,03/04/2023,9,0,0,0,0
ARM 330613/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,20,0,0,0,0
ARM 330609/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,2,0,0,0,0
ARM 330606/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,4,0,0,0,0
ARM 330603/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,1,0,0,0,0
ARM 330598/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,1,0,0,0,0
ARM 330594/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,26,0,0,0,0
ARM 330593/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/03/2023,03/04/2023,03/04/2023,2,0,0,0,0
PE 329986/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,29/03/2023,30/03/2023,31/03/2023,10,0,0,0,0
PE 329985/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/03/2023,30/03/2023,31/03/2023,3,0,0,0,0
PE 329983/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,29/03/2023,30/03/2023,31/03/2023,2,0,0,0,0
PE 329982/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/03/2023,29/03/2023,31/03/2023,2,0,0,0,0
PE 329980/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,29/03/2023,31/03/2023,31/03/2023,6,0,0,0,0
PE 329979/23,Blumenau,BLUMENAU,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,30/03/2023,31/03/2023,31/03/2023,5,0,0,0,0
PE 329978/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/03/2023,31/03/2023,31/03/2023,2,0,0,0,0
PE 329977/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,30/03/2023,31/03/2023,31/03/2023,1,0,0,0,0
PE 329976/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/03/2023,31/03/2023,31/03/2023,1,0,0,0,0
ARM 329975/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/03/2023,31/03/2023,31/03/2023,10,0,0,0,0
ARM 329974/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,5,0,0,0,0
ARM 329973/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,4,0,0,0,0
ARM 329972/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,31/03/2023,31/03/2023,31/03/2023,5,0,0,0,0
ARM 329971/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,29/03/2023,31/03/2023,31/03/2023,8,0,0,0,0
ARM 329970/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/03/2023,31/03/2023,31/03/2023,2,0,0,0,0
ARM 329969/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/03/2023,31/03/2023,31/03/2023,1,0,0,0,0
ARM 329874/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/03/2023,30/03/2023,31/03/2023,1,0,0,0,0
ARM 329872/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,2,0,0,0,0
ARM 329870/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,7,0,0,0,0
ARM 329864/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,1,0,0,0,0
ARM 329862/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,20,0,0,0,0
ARM 329861/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,31/03/2023,31/03/2023,10,0,0,0,0
ARM 329860/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,30/03/2023,31/03/2023,5,0,0,0,0
ARM 329859/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,30/03/2023,31/03/2023,4,0,0,0,0
ARM 329857/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,30/03/2023,31/03/2023,20,0,0,0,0
ARM 329855/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/03/2023,30/03/2023,31/03/2023,30,0,0,0,0
