Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/11/2023 a 30/11/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 376559/23,São José,NOVA TRENTO,Residência,ARM - Armadilha,Armadilha,29/11/2023,01/02/2024,01/02/2024,1,0,1,0,0
ARM 376451/23,São José,NOVA TRENTO,Residência,ARM - Armadilha,Armadilha,29/11/2023,01/02/2024,01/02/2024,1,0,1,0,0
ARM 365063/23,Chapecó,PLANALTO ALEGRE,Outros,ARM - Armadilha,Armadilha,28/11/2023,03/01/2024,03/01/2024,10,0,0,0,0
ARM 364871/23,São José,BIGUAÇU,Outros,ARM - Armadilha,Armadilha,28/11/2023,02/01/2024,03/01/2024,10,0,0,0,0
ARM 364869/23,São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,28/11/2023,02/01/2024,03/01/2024,10,0,0,0,0
ARM 364868/23,São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,28/11/2023,02/01/2024,03/01/2024,39,0,0,0,0
ARM 364362/23,Xanxerê,CAMPO ERÊ,Residência,ARM - Armadilha,Armadilha,29/11/2023,21/12/2023,21/12/2023,10,0,0,0,0
ID 364073/23,Joinville,JOINVILLE,Residência,C - Depósitos Fixos,Investigação de Denúncia,29/11/2023,29/11/2023,30/11/2023,6,0,0,0,0
ID 364072/23,Joinville,JOINVILLE,Residência,C - Depósitos Fixos,Investigação de Denúncia,29/11/2023,29/11/2023,30/11/2023,6,0,0,0,0
ID 364071/23,Joinville,JOINVILLE,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,24/11/2023,24/11/2023,27/11/2023,12,0,0,0,0
ID 364070/23,Joinville,JOINVILLE,Outros,C - Depósitos Fixos,Investigação de Denúncia,24/11/2023,24/11/2023,24/11/2023,2,0,4,0,0
ID 364069/23,Joinville,JOINVILLE,Outros,C - Depósitos Fixos,Investigação de Denúncia,24/11/2023,24/11/2023,24/11/2023,6,0,5,0,0
ID 364068/23,Joinville,JOINVILLE,Outros,C - Depósitos Fixos,Investigação de Denúncia,24/11/2023,24/11/2023,24/11/2023,9,0,2,0,0
ID 364067/23,Joinville,JOINVILLE,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,23/11/2023,23/11/2023,23/11/2023,7,0,0,0,0
ID 364066/23,Joinville,JOINVILLE,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,23/11/2023,23/11/2023,23/11/2023,0,0,2,0,0
ID 364065/23,Joinville,JOINVILLE,Comércio,B - Pequenos depósitos móveis,Investigação de Denúncia,23/11/2023,23/11/2023,23/11/2023,5,0,2,0,0
ID 364064/23,Joinville,JOINVILLE,Comércio,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,23/11/2023,23/11/2023,23/11/2023,6,0,0,0,0
ARM 362694/23,Rio do Sul,RIO DO OESTE,Comércio,ARM - Armadilha,Armadilha,27/11/2023,18/12/2023,18/12/2023,1,0,0,0,0
PE 362541/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,08/11/2023,11/12/2023,11/12/2023,10,0,0,0,0
LI+T 362382/23,São José,TIJUCAS,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,29/11/2023,13/12/2023,13/12/2023,5,0,0,0,0
ARM 362006/23,Xanxerê,SÃO LOURENÇO DO OESTE,Residência,ARM - Armadilha,Armadilha,30/11/2023,15/12/2023,15/12/2023,7,0,0,0,0
ARM 362005/23,Xanxerê,SÃO LOURENÇO DO OESTE,Outros,ARM - Armadilha,Armadilha,30/11/2023,15/12/2023,15/12/2023,6,0,0,0,0
ARM 362004/23,Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,15/12/2023,15/12/2023,23,0,0,0,0
ARM 362003/23,Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,29/11/2023,15/12/2023,15/12/2023,1,0,0,0,0
ARM 360971/23,Xanxerê,XAXIM,Outros,ARM - Armadilha,Armadilha,30/11/2023,11/12/2023,11/12/2023,1,0,0,0,0
ARM 360970/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,30/11/2023,11/12/2023,11/12/2023,3,0,0,0,0
ARM 360969/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,30/11/2023,11/12/2023,11/12/2023,3,0,0,0,0
ARM 360968/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,27/11/2023,11/12/2023,11/12/2023,27,0,0,0,0
ARM 360959/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,27/11/2023,11/12/2023,11/12/2023,14,0,0,0,0
ARM 360956/23,Xanxerê,SÃO DOMINGOS,Outros,ARM - Armadilha,Armadilha,29/11/2023,11/12/2023,11/12/2023,1,0,0,0,0
ARM 360955/23,Xanxerê,SÃO DOMINGOS,Outros,ARM - Armadilha,Armadilha,29/11/2023,11/12/2023,11/12/2023,6,0,0,0,0
ARM 360953/23,Xanxerê,SÃO DOMINGOS,Outros,ARM - Armadilha,Armadilha,29/11/2023,11/12/2023,11/12/2023,7,0,0,0,0
ARM 360952/23,Xanxerê,SÃO DOMINGOS,Comércio,ARM - Armadilha,Armadilha,29/11/2023,11/12/2023,11/12/2023,3,0,0,0,0
ARM 360950/23,Xanxerê,SÃO DOMINGOS,Outros,ARM - Armadilha,Armadilha,29/11/2023,11/12/2023,11/12/2023,8,0,0,0,0
ARM 360324/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360322/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360310/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360309/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,26,0,0,0,0
ARM 360308/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,28,0,0,0,0
ARM 360307/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,5,0,0,0,0
ARM 360306/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,23,0,0,0,0
ARM 360305/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,8,0,0,0,0
ARM 360304/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,43,0,0,0,0
ARM 360303/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,31,0,0,0,0
ARM 360301/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360300/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,14,0,0,0,0
ARM 360299/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,7,0,0,0,0
ARM 360298/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,12,0,0,0,0
ARM 360297/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,7,0,0,0,0
ARM 360296/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,3,0,0,0,0
ARM 360295/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,3,0,0,0,0
ARM 360294/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,2,0,0,0,0
ARM 360293/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360292/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,5,0,0,0,0
ARM 360291/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,2,0,0,0,0
ARM 360211/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,48,0,0,0,0
ARM 360210/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,3,0,0,0,0
ARM 360209/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,52,0,0,0,0
ARM 360208/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,27,0,0,0,0
ARM 360206/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,18,0,0,0,0
ARM 360205/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,0,0,1,0,0
ARM 360204/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,31,0,0,0,0
ARM 360203/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,2,0,0,0,0
ARM 360201/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,37,0,0,0,0
ARM 360200/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360198/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,12,0,0,0,0
ARM 360197/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360195/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,18,0,0,0,0
ARM 360194/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,3,0,0,0,0
ARM 360192/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,0,0,6,0,0
ARM 360191/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,41,0,0,0,0
ARM 360190/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,25,0,0,0,0
ARM 360188/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,1,0,0,0,0
ARM 360186/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,12,0,0,0,0
ARM 360185/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/11/2023,30/11/2023,01/12/2023,18,0,0,0,0
