Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/10/2023 a 31/10/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 356837/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,08/11/2023,08/11/2023,7,0,0,0,0
ARM 356827/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,08/11/2023,08/11/2023,8,0,0,0,0
ARM 356824/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/10/2023,08/11/2023,08/11/2023,2,0,0,0,0
ARM 356799/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,08/11/2023,08/11/2023,10,0,0,0,0
ARM 356783/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,08/11/2023,08/11/2023,1,0,0,0,0
PVE 355782/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,31/10/2023,01/11/2023,01/11/2023,2,0,0,0,0
ARM 355781/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,6,0,0,0,0
ARM 355777/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,5,0,0,0,0
ARM 355772/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,9,0,0,0,0
ARM 355771/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,7,0,0,0,0
ARM 355769/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,2,0,0,0,0
ARM 355766/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,10,0,0,0,0
ARM 355730/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,4,0,0,0,0
ARM 355714/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,6,0,0,0,0
ARM 355692/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,5,0,0,0,0
PE 355691/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/10/2023,01/11/2023,01/11/2023,2,0,0,0,0
PE 355690/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/10/2023,01/11/2023,01/11/2023,3,0,0,0,0
ARM 355689/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,11,0,0,0,0
ARM 355688/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/10/2023,01/11/2023,01/11/2023,23,0,0,0,0
PE 355686/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/10/2023,31/10/2023,31/10/2023,10,0,0,0,0
ARM 355684/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,5,0,0,0,0
ARM 355683/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,8,0,0,0,0
ARM 355681/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,39,0,0,0,0
ARM 355680/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,7,0,0,0,0
ARM 355677/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,6,0,0,0,0
ARM 355671/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,6,0,0,0,0
ARM 355669/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,16,0,0,0,0
ARM 355666/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,11,0,0,0,0
ARM 355665/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,2,0,0,0,0
ARM 355664/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/10/2023,31/10/2023,31/10/2023,5,0,0,0,0
