Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/09/2023 a 30/09/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
DF 353615/23,Araranguá,ARARANGUÁ,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,28/09/2023,28/09/2023,29/09/2023,4,0,0,0,0
ARM 350479/23,Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,25/09/2023,11/10/2023,11/10/2023,3,0,0,0,0
ARM 350478/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,25/09/2023,11/10/2023,11/10/2023,4,0,0,0,0
ARM 350476/23,Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,26/09/2023,11/10/2023,11/10/2023,7,0,0,0,0
ARM 350474/23,Itajaí,ITAJAÍ,Outros,ARM - Armadilha,Armadilha,26/09/2023,11/10/2023,11/10/2023,2,0,0,0,0
ARM 350472/23,Itajaí,ITAJAÍ,Outros,ARM - Armadilha,Armadilha,25/09/2023,11/10/2023,11/10/2023,1,0,0,0,0
LI+T 350469/23,Itajaí,ITAJAÍ,Comércio,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,06/09/2023,11/10/2023,11/10/2023,1,0,1,0,0
ARM 350466/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,18/09/2023,11/10/2023,11/10/2023,9,0,0,0,0
ARM 350463/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,18/09/2023,11/10/2023,11/10/2023,5,0,0,0,0
ARM 350460/23,Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,11/09/2023,11/10/2023,11/10/2023,1,0,0,0,0
ARM 350457/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,11/09/2023,11/10/2023,11/10/2023,8,0,0,0,0
ARM 350454/23,Itajaí,ITAJAÍ,Outros,ARM - Armadilha,Armadilha,11/09/2023,11/10/2023,11/10/2023,8,0,0,0,0
ARM 350452/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,11/09/2023,11/10/2023,11/10/2023,6,0,0,0,0
ARM 350447/23,Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,11/09/2023,11/10/2023,11/10/2023,3,0,0,0,0
ARM 350445/23,Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,12/09/2023,11/10/2023,11/10/2023,1,0,0,0,0
