Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/01/2024 a 31/03/2024,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 464262/24,Chapecó,CORONEL FREITAS,PASSO DA AREIA,ARM - Armadilha,Armadilha,25/03/2024,01/04/2025,01/04/2025,1,0,0,0,0
ARM 462381/24,Concórdia,SEARA,NAÇÕES,ARM - Armadilha,Armadilha,25/03/2024,26/03/2025,26/03/2025,50,0,0,0,0
ARM 461801/24,Chapecó,UNIÃO DO OESTE,CENTRO,ARM - Armadilha,Armadilha,25/03/2024,25/03/2025,25/03/2025,10,0,0,0,0
ARM 461798/24,Chapecó,UNIÃO DO OESTE,CENTRO,ARM - Armadilha,Armadilha,25/03/2024,25/03/2025,25/03/2025,37,0,0,0,0
ARM 460165/24,Concórdia,SEARA,DISTRITO DE NOVA TEUTÔNIA,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,1,0,0,0,0
ARM 460164/24,Concórdia,SEARA,DISTRITO DE NOVA TEUTÔNIA,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,1,0,0,0,0
ARM 460162/24,Concórdia,SEARA,DISTRITO DE NOVA TEUTÔNIA,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,1,0,0,0,0
ARM 460133/24,Concórdia,IPUMIRIM,COSTA DO ENGANO,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,15,0,0,0,0
ARM 460105/24,Concórdia,IPIRA,CENTRO,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,4,0,0,0,0
ARM 460103/24,Concórdia,IPIRA,CENTRO,ARM - Armadilha,Armadilha,18/03/2024,19/03/2025,19/03/2025,7,0,0,0,0
