Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,,
Período: de 01/08/2024 a 31/12/2024,,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 445805/24,Chapecó,CAXAMBU DO SUL,CENTRO,Comércio,ARM - Armadilha,Armadilha,23/12/2024,05/02/2025,05/02/2025,10,0,0,0,0
ARM 445803/24,Chapecó,CAXAMBU DO SUL,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,05/02/2025,05/02/2025,10,0,0,0,0
L 444487/24,Itajaí,ITAPEMA,ALTO SÃO BENTO,Residência,B - Pequenos depósitos móveis,LIRAa,30/12/2024,31/01/2025,31/01/2025,2,0,0,0,0
L 444479/24,Itajaí,ITAPEMA,ALTO SÃO BENTO,Residência,B - Pequenos depósitos móveis,LIRAa,30/12/2024,31/01/2025,31/01/2025,9,0,0,0,0
ID 440941/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,C - Depósitos Fixos,Investigação de Denúncia,19/12/2024,27/01/2025,27/01/2025,5,0,0,0,0
ID 440936/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Outros,B - Pequenos depósitos móveis,Investigação de Denúncia,18/12/2024,27/01/2025,27/01/2025,1,0,0,0,0
ID 440935/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,17/12/2024,27/01/2025,27/01/2025,9,0,0,0,0
ID 440934/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Outros,B - Pequenos depósitos móveis,Investigação de Denúncia,17/12/2024,27/01/2025,27/01/2025,4,0,0,0,0
ID 440933/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,16/12/2024,27/01/2025,27/01/2025,10,0,0,0,0
ID 440931/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,16/12/2024,27/01/2025,27/01/2025,10,0,0,0,0
ID 440929/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,16/12/2024,27/01/2025,27/01/2025,10,0,0,0,0
ID 440927/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,16/12/2024,27/01/2025,27/01/2025,2,0,0,0,0
ID 440926/24,São José,FLORIANÓPOLIS,FAZENDA RIO TAVARES,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,16/12/2024,27/01/2025,27/01/2025,3,0,0,0,0
