Semana,Município,Focos,latitude,longitude
2012-01-01,BARRA VELHA,1,-26.662440609824166,-48.72738559449102
2012-01-01,SÃO MIGUEL DO OESTE,2,-26.727236944731406,-53.51212123092325
2012-01-01,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-01-08,BOMBINHAS,1,-27.17325633187103,-48.51748707787348
2012-01-08,CANOINHAS,1,-26.249950005908698,-50.53337070155689
2012-01-08,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-01-08,FLORIANÓPOLIS,2,-27.577833913876493,-48.50819805014117
2012-01-08,JOINVILLE,4,-26.244282225607027,-48.95140521079262
2012-01-08,LAGES,1,-28.020467334528156,-50.34057306529381
2012-01-15,ARAQUARI,2,-26.461708089601323,-48.75777734611065
2012-01-15,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-01-15,GUARAMIRIM,1,-26.47655093499799,-48.94488242157447
2012-01-22,BLUMENAU,4,-26.885766673711007,-49.09730924738388
2012-01-22,DIONÍSIO CERQUEIRA,1,-26.329842624688034,-53.533104817609406
2012-01-29,CRICIÚMA,1,-28.715695317599724,-49.379715593390806
2012-01-29,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-01-29,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-02-05,PALHOÇA,2,-27.77182146966105,-48.66170819531588
2012-02-05,SÃO JOSÉ DO CEDRO,1,-26.48085134039229,-53.53373642407425
2012-02-12,BIGUAÇU,1,-27.433529852830816,-48.69394689806006
2012-02-12,JAGUARUNA,2,-28.657895860293902,-49.04474831889522
2012-02-19,ITAPOÁ,1,-26.082477365716418,-48.65235420331072
2012-02-26,BALNEÁRIO CAMBORIÚ,4,-27.004736811989282,-48.62174059290786
2012-02-26,MASSARANDUBA,1,-26.626911300757143,-48.98819178964745
2012-02-26,PALMITOS,1,-27.09262173445292,-53.179829065049795
2012-03-04,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-03-04,LAURENTINO,1,-27.20798229696701,-49.73361403099963
2012-03-11,BENEDITO NOVO,1,-26.80094023363729,-49.43539636534986
2012-03-11,CAPIVARI DE BAIXO,2,-28.455563833138978,-48.94338454298476
2012-03-11,PORTO UNIÃO,1,-26.38362840601625,-51.00778459817214
2012-03-11,RIO DO SUL,1,-27.196050867028834,-49.62995257034289
2012-03-11,SAUDADES,1,-26.89720679402398,-53.04001442530173
2012-03-11,SIDERÓPOLIS,1,-28.58327160078786,-49.526695700067904
2012-03-11,SOMBRIO,1,-29.070190675497283,-49.6559270933593
2012-03-25,APIÚNA,1,-27.124502359730975,-49.364244600271256
2012-03-25,SÃO FRANCISCO DO SUL,2,-26.26159673750705,-48.64031938386047
2012-03-25,TUBARÃO,1,-28.48158146246524,-49.03724862155106
2012-03-25,XANXERÊ,1,-26.87227935615384,-52.409753977893864
2012-04-01,GAROPABA,1,-28.046733934256846,-48.65893578099145
2012-04-01,NAVEGANTES,1,-26.82874286660231,-48.72739585880501
2012-04-08,CAIBI,1,-27.025175523184227,-53.26305757870258
2012-04-15,PINHALZINHO,3,-26.829373480377633,-52.97663206995043
