ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,2,0,0,0,4,3,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,5,6,0,0,1,0
0,0,0,0,6,0,2,0,0,0,4,12,0,0,0,0,0
0,0,0,1,2,0,2,1,0,0,1,1,4,0,0,1,0
0,0,0,2,6,0,2,3,0,0,1,5,31,0,0,1,0
0,0,0,0,11,0,2,3,2,0,0,4,28,0,0,3,0
0,0,0,0,3,0,0,0,0,0,2,6,22,0,0,1,0
0,0,0,0,4,0,6,2,0,0,0,6,19,0,0,2,0
1,1,0,0,1,0,4,2,0,0,0,6,24,0,0,0,0
5,1,0,1,11,1,1,7,2,0,2,4,33,1,0,1,0
1,2,0,0,7,0,0,3,0,0,2,2,51,0,0,2,0
0,0,0,0,5,0,0,8,1,0,2,7,33,2,0,3,1
0,0,0,1,3,0,2,9,0,0,1,3,9,0,0,2,0
2,0,0,1,11,0,1,47,0,0,1,3,15,1,0,1,0
1,0,0,0,11,0,0,11,0,0,5,12,32,1,0,0,0
2,0,0,0,6,0,0,6,0,0,3,6,7,1,0,0,0
0,0,0,0,0,0,0,5,0,0,3,1,17,0,0,0,0
9,0,0,0,2,0,3,5,0,0,1,1,35,0,0,0,0
1,0,0,0,1,0,0,10,0,0,0,1,1,0,0,1,0
2,0,0,0,3,0,1,11,0,0,4,2,5,1,0,0,0
0,0,0,0,0,0,1,4,0,0,2,0,11,0,0,0,2
0,0,0,0,1,0,0,4,1,0,2,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0
0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0
0,0,0,0,2,1,0,1,0,0,0,6,3,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
0,0,0,0,2,0,0,0,1,0,3,0,5,0,0,0,0
0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0,13,0,0,0,0
0,0,0,0,2,1,2,0,0,0,1,0,10,0,0,0,0
0,0,0,1,1,1,1,0,0,0,1,0,23,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,6,16,0,0,0,0
1,0,0,1,3,0,2,0,0,0,1,2,36,0,0,0,0
1,0,0,2,0,0,2,1,1,0,0,2,35,0,0,0,0
0,0,0,1,0,0,2,1,0,0,5,4,41,0,0,0,0
0,0,0,1,1,0,2,2,0,0,0,2,45,0,0,1,1
1,0,0,0,0,0,3,0,0,0,1,3,0,0,0,1,4
0,0,0,0,2,0,1,1,0,0,2,3,4,0,0,0,2
0,0,0,0,6,0,5,4,0,0,0,2,10,0,0,0,19
0,0,0,0,3,0,0,1,0,0,0,1,35,0,0,0,11
2,0,0,0,4,10,16,8,2,0,5,9,117,0,0,1,9
0,0,0,2,10,2,4,6,2,0,6,4,41,1,0,1,5
1,0,1,4,17,0,1,3,0,0,8,5,40,1,0,0,6
1,0,0,0,9,0,11,9,0,0,4,10,46,0,0,2,2
1,0,0,0,33,0,11,8,0,0,3,7,56,1,2,2,4
1,0,0,2,30,2,3,2,1,0,3,9,71,0,2,1,2
1,0,0,1,23,0,1,7,3,1,7,6,83,2,0,1,2
1,0,0,6,47,0,4,7,0,0,3,6,69,0,1,5,6
0,1,0,1,18,0,2,15,0,0,2,2,41,0,0,2,9
2,0,0,1,30,0,2,10,0,0,3,2,63,0,0,2,3
2,0,0,0,29,0,2,11,0,0,3,8,91,0,0,2,8
0,0,0,0,33,0,4,8,1,0,6,4,89,2,1,3,4
1,0,0,2,25,1,3,9,1,0,3,6,72,3,0,1,8
2,0,0,0,20,5,6,0,0,0,3,0,31,1,0,1,5
1,0,1,0,21,0,5,0,1,0,5,0,6,0,0,0,6
2,0,0,1,16,0,3,5,1,0,3,2,62,0,0,1,11
0,1,0,1,4,0,5,3,1,0,2,4,12,0,0,1,0
0,0,0,0,3,0,1,1,0,0,0,0,14,0,0,1,14
0,0,0,0,2,0,2,2,1,0,0,1,8,0,0,0,8
0,0,0,0,1,0,4,1,1,0,2,2,19,1,0,1,6
3,1,0,0,0,0,2,0,0,0,1,0,6,0,0,1,9
0,0,0,0,1,0,1,5,0,0,1,0,9,0,0,0,0
0,0,0,1,1,0,0,2,0,0,1,0,10,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0
