Semana,ARARANGUÁ,BALNEÁRIO ARROIO DO SILVA,BALNEÁRIO GAIVOTA,ERMO,JACINTO MACHADO,MARACAJÁ,MELEIRO,PASSO DE TORRES,PRAIA GRANDE,SANTA ROSA DO SUL,SOMBRIO,SÃO JOÃO DO SUL,TURVO,ABELARDO LUZ,BOM JESUS,CAMPO ERÊ,CORONEL MARTINS,ENTRE RIOS,FAXINAL DOS GUEDES,GALVÃO,IPUAÇU,JUPIÁ,LAJEADO GRANDE,MAREMA,NOVO HORIZONTE,OURO VERDE,PASSOS MAIA,PONTE SERRADA,SÃO BERNARDINO,SÃO DOMINGOS,SÃO LOURENÇO DO OESTE,VARGEÃO,XANXERÊ,XAXIM,ARROIO TRINTA,CAÇADOR,CURITIBANOS,FRAIBURGO,IBIAM,IOMERÊ,LEBON RÉGIS,MACIEIRA,PINHEIRO PRETO,PONTE ALTA DO NORTE,RIO DAS ANTAS,SALTO VELOSO,SANTA CECÍLIA,SÃO CRISTOVÃO DO SUL,TANGARÁ,TIMBÓ GRANDE,VIDEIRA,ARMAZÉM,BRAÇO DO NORTE,CAPIVARI DE BAIXO,GRAVATAL,GRÃO PARÁ,IMARUÍ,IMBITUBA,JAGUARUNA,LAGUNA,PEDRAS GRANDES,PESCARIA BRAVA,RIO FORTUNA,SANGÃO,SANTA ROSA DE LIMA,SÃO LUDGERO,SÃO MARTINHO,TREZE DE MAIO,TUBARÃO,ANCHIETA,BANDEIRANTE,BARRA BONITA,BELMONTE,BOM JESUS DO OESTE,DESCANSO,DIONÍSIO CERQUEIRA,FLOR DO SERTÃO,GUARACIABA,GUARUJÁ DO SUL,IPORÃ DO OESTE,IRACEMINHA,ITAPIRANGA,MARAVILHA,MODELO,MONDAÍ,PALMA SOLA,PARAÍSO,PRINCESA,ROMELÂNDIA,SALTINHO,SANTA HELENA,SANTA TEREZINHA DO PROGRESSO,SAUDADES,SÃO JOSÉ DO CEDRO,SÃO JOÃO DO OESTE,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,TIGRINHOS,TUNÁPOLIS,AGROLÂNDIA,AGRONÔMICA,ATALANTA,AURORA,BRAÇO DO TROMBUDO,DONA EMMA,IBIRAMA,IMBUIA,ITUPORANGA,JOSÉ BOITEUX,LAURENTINO,LONTRAS,MIRIM DOCE,PETROLÂNDIA,POUSO REDONDO,PRESIDENTE GETÚLIO,RIO DO CAMPO,RIO DO OESTE,RIO DO SUL,SALETE,SANTA TEREZINHA,TAIÓ,TROMBUDO CENTRAL,VIDAL RAMOS,VITOR MEIRELES,ALFREDO WAGNER,ANGELINA,ANITÁPOLIS,ANTÔNIO CARLOS,BIGUAÇU,CANELINHA,FLORIANÓPOLIS,GAROPABA,GOVERNADOR CELSO RAMOS,MAJOR GERCINO,NOVA TRENTO,PALHOÇA,PAULO LOPES,SANTO AMARO DA IMPERATRIZ,SÃO JOSÉ,SÃO JOÃO BATISTA,SÃO PEDRO DE ALCÂNTARA,TIJUCAS,ÁGUAS MORNAS,BELA VISTA DO TOLDO,CAMPO ALEGRE,CANOINHAS,IRINEÓPOLIS,ITAIÓPOLIS,MAFRA,MAJOR VIEIRA,MONTE CASTELO,PAPANDUVA,PORTO UNIÃO,RIO NEGRINHO,SÃO BENTO DO SUL,TRÊS BARRAS,ANITA GARIBALDI,BOM RETIRO,CORREIA PINTO,LAGES,OTACÍLIO COSTA,ABDON BATISTA,BRUNÓPOLIS,CAMPOS NOVOS,CAPINZAL,CATANDUVAS,CELSO RAMOS,ERVAL VELHO,HERVAL D`OESTE,IBICARÉ,JABORÁ,JOAÇABA,LACERDÓPOLIS,LUZERNA,MONTE CARLO,OURO,TREZE TÍLIAS,VARGEM,VARGEM BONITA,ZORTÉA,ÁGUA DOCE,BARRA VELHA,CORUPÁ,GUARAMIRIM,JARAGUÁ DO SUL,MASSARANDUBA,SCHROEDER,SÃO JOÃO DO ITAPERIÚ,BALNEÁRIO RINCÃO,COCAL DO SUL,CRICIÚMA,FORQUILHINHA,IÇARA,LAURO MULLER,MORRO DA FUMAÇA,ORLEANS,SIDERÓPOLIS,ARAQUARI,BALNEÁRIO BARRA DO SUL,GARUVA,ITAPOÁ,JOINVILLE,SÃO FRANCISCO DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO PIÇARRAS,BOMBINHAS,CAMBORIÚ,ILHOTA,ITAJAÍ,ITAPEMA,LUIZ ALVES,NAVEGANTES,PENHA,PORTO BELO,ALTO BELA VISTA,ARABUTÃ,CONCÓRDIA,IPIRA,IPUMIRIM,IRANI,ITÁ,LINDÓIA DO SUL,PERITIBA,PIRATUBA,PRESIDENTE CASTELO BRANCO,SEARA,XAVANTINA,ARVOREDO,CAIBI,CAXAMBU DO SUL,CHAPECÓ,CORDILHEIRA ALTA,CORONEL FREITAS,CUNHA PORÃ,CUNHATAÍ,FORMOSA DO SUL,GUATAMBÚ,IRATI,JARDINÓPOLIS,NOVA ERECHIM,NOVA ITABERABA,PAIAL,PALMITOS,PINHALZINHO,PLANALTO ALEGRE,QUILOMBO,RIQUEZA,SANTIAGO DO SUL,SERRA ALTA,SUL BRASIL,SÃO CARLOS,UNIÃO DO OESTE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,APIÚNA,ASCURRA,BENEDITO NOVO,BLUMENAU,BOTUVERÁ,BRUSQUE,DOUTOR PEDRINHO,GASPAR,GUABIRUBA,INDAIAL,POMERODE,RIO DOS CEDROS,RODEIO,TIMBÓ,semana
2024-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,2,0,2,4,12,1,5,0,0,1,1,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,28,1,0,0,11,3,0,0,7,1,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,4,2,0,4,6,0,1,12,0,8,0,7,2,0,0,5,5,0,3,7,35,2,2,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,8,14,0,10,0,4,35,0,10,0,0,1,0,25,4,6,0,1,0,4,0,3,14,7,0,5,0,2,0,1,3,0,1,0,0,0,0,0,0,4,1,0,4,3,0,1,0,0,0,0,2,0,0,2,24,0,6,1,22,4,28,0,0,0,5,2024-12-29
2025-01-05,6,0,0,0,0,1,0,3,0,2,1,0,0,4,2,7,0,2,0,0,0,0,1,0,0,0,0,0,0,1,9,0,17,0,0,3,0,0,1,0,0,0,2,0,0,4,0,0,0,0,1,0,1,0,0,8,1,2,0,1,0,0,0,3,0,6,0,0,4,0,2,2,0,0,0,0,2,6,3,0,2,9,6,0,5,3,5,0,3,0,1,0,8,8,8,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,6,0,53,1,0,0,0,2,0,1,22,0,0,2,0,0,0,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,2,25,2,0,3,15,0,6,15,1,5,0,1,7,0,0,4,5,2,3,9,56,2,4,0,0,0,1,1,1,0,0,5,0,8,0,6,1,40,0,7,15,5,5,1,2,19,0,29,0,19,0,1,14,5,2,0,3,0,4,5,0,8,10,0,4,0,24,2,1,7,3,2,0,3,0,3,0,0,3,4,1,29,2,1,1,2,3,0,0,1,0,1,2,35,1,6,0,27,4,27,0,0,0,8,2025-01-05
2025-01-12,6,2,12,0,0,2,0,0,0,1,9,0,0,1,6,0,0,4,0,1,0,1,0,0,0,0,3,0,0,0,7,0,15,7,0,4,0,1,0,2,0,0,0,0,2,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,9,0,1,2,0,0,0,0,0,6,1,0,0,8,2,4,11,2,3,3,4,0,3,0,4,8,9,3,2,5,0,0,2,0,0,0,0,13,0,0,0,2,1,0,0,0,5,0,0,1,0,0,1,5,1,0,0,0,0,0,26,2,43,2,1,0,2,41,0,1,6,10,0,2,0,0,0,2,4,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,15,1,2,1,5,9,0,2,25,0,4,1,4,1,0,0,3,2,20,1,17,63,1,4,0,0,0,0,0,2,0,0,0,0,46,0,16,23,449,29,7,24,18,19,8,19,16,3,17,2,31,0,1,19,1,3,0,2,0,3,5,2,8,9,0,8,1,43,2,0,7,3,1,0,0,0,3,0,2,5,4,2,16,1,3,1,0,10,2,10,2,5,8,2,112,2,11,0,20,2,41,2,4,3,24,2025-01-12
2025-01-19,2,1,5,0,0,1,0,4,0,1,40,2,0,14,3,8,0,0,3,2,0,1,1,0,0,0,0,1,0,7,8,3,25,14,2,6,0,1,0,0,0,0,4,0,5,2,0,0,0,0,2,0,9,2,0,12,0,8,0,0,0,0,0,0,0,13,0,0,26,1,3,3,1,0,1,0,1,5,3,0,4,14,6,3,9,2,5,1,7,0,3,2,10,8,6,4,7,3,0,0,3,2,0,2,1,10,0,0,0,3,1,0,0,0,7,0,1,2,0,0,1,2,4,1,0,0,0,5,41,9,78,1,1,0,7,83,8,11,18,24,0,6,2,0,0,0,2,0,4,0,0,0,24,0,1,0,0,0,0,0,0,0,0,14,0,6,3,5,12,0,0,12,0,6,0,7,2,0,0,1,5,27,8,12,86,2,6,0,1,0,3,0,4,0,1,1,1,48,5,14,26,571,34,0,25,25,25,9,32,27,9,19,10,64,0,1,13,3,3,0,5,3,2,3,0,16,10,0,5,6,38,4,0,5,4,2,6,4,0,2,0,0,8,3,2,13,4,4,2,1,11,4,6,2,0,1,4,157,2,29,0,12,4,43,3,4,0,16,2025-01-19
2025-01-26,0,3,0,0,0,2,0,0,0,4,6,0,0,8,2,6,13,3,4,1,0,1,0,0,0,0,2,8,1,4,26,0,149,61,0,22,0,1,0,3,0,0,2,0,11,10,0,0,0,0,4,0,18,1,0,2,0,4,0,0,1,0,0,0,0,12,0,0,22,7,4,11,2,0,2,11,3,19,20,2,13,13,15,29,15,2,19,2,4,0,18,1,12,30,6,5,32,4,3,0,1,0,0,1,0,19,0,0,0,3,2,0,0,2,8,0,3,30,0,0,2,4,3,0,0,0,1,3,34,3,120,1,11,0,4,34,2,9,89,14,0,26,2,0,0,3,0,0,2,0,0,0,23,2,2,0,0,0,0,0,0,0,0,14,12,8,6,45,9,0,1,28,3,6,3,4,0,0,2,3,0,21,12,23,116,2,2,0,1,0,3,0,5,0,0,1,0,21,2,21,61,485,3,182,32,30,61,31,206,125,8,69,15,117,0,0,9,3,9,0,4,0,1,2,2,11,8,0,31,12,74,2,13,9,3,6,10,1,0,3,0,2,4,31,2,72,1,6,4,1,17,22,9,20,12,1,4,237,0,58,0,45,13,66,2,0,0,8,2025-01-26
2025-02-02,1,0,0,0,0,4,0,0,0,3,5,1,0,75,5,2,1,0,17,0,4,1,5,0,0,3,23,0,13,10,6,4,40,18,2,84,0,1,0,0,0,0,9,0,2,9,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,27,8,3,4,0,7,7,5,3,5,6,1,12,6,25,24,20,0,9,2,6,6,7,0,18,11,9,10,6,7,2,0,0,0,0,0,0,11,2,1,1,2,0,0,0,0,8,0,1,39,0,0,0,3,3,0,0,0,1,3,17,1,124,5,14,1,10,17,0,7,19,23,0,6,0,0,0,7,0,1,5,0,0,0,33,5,0,0,1,0,0,0,0,0,0,3,20,9,16,19,11,0,3,77,2,17,0,1,3,0,4,0,0,7,10,25,87,1,5,0,0,0,0,0,2,0,0,2,0,22,2,28,55,126,4,44,1,15,17,6,65,1,2,82,36,24,10,3,0,12,7,1,9,2,4,0,2,2,1,0,10,0,314,37,0,15,13,70,4,3,4,6,2,0,19,0,16,10,11,5,19,17,28,5,5,0,6,0,0,263,4,29,2,7,1,82,1,0,0,10,2025-02-02
2025-02-09,0,2,0,3,0,1,0,0,0,1,4,0,2,11,3,5,2,2,3,9,23,2,2,0,6,0,1,1,0,8,4,0,18,12,2,10,0,3,0,2,0,0,4,0,5,5,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,3,0,0,21,0,0,7,0,0,1,1,0,2,0,2,9,3,3,3,8,10,3,18,0,4,3,5,0,2,0,8,5,9,3,3,2,2,0,2,0,0,0,0,15,0,0,0,3,2,0,0,0,13,0,0,23,3,0,0,0,1,0,0,0,2,2,13,3,83,3,1,0,1,3,0,7,16,18,0,8,3,0,0,1,0,1,9,0,0,0,18,1,2,1,1,0,0,0,0,0,0,3,15,8,1,1,4,0,2,5,0,0,0,0,8,0,0,2,1,1,15,8,65,1,10,0,0,0,1,0,1,0,0,0,0,6,0,12,32,633,1,18,33,4,19,4,6,36,2,21,0,27,4,0,5,0,1,1,7,9,0,5,1,0,0,8,8,4,64,1,0,6,4,3,4,9,0,13,0,0,5,18,2,48,6,6,0,2,0,2,20,4,1,1,1,163,2,6,0,32,4,56,0,0,1,13,2025-02-09
2025-02-16,1,1,0,0,0,0,0,5,0,1,39,0,0,11,6,8,2,2,4,0,3,2,1,2,4,0,3,3,0,8,13,3,33,14,0,12,0,1,0,1,0,1,8,0,5,5,0,0,0,0,8,0,10,1,1,4,0,9,1,10,0,0,0,1,0,10,0,0,23,0,1,2,4,0,0,1,4,11,9,0,2,6,32,6,25,2,6,0,6,0,3,0,7,9,8,3,10,0,0,0,1,0,1,1,0,19,0,0,0,1,1,0,0,0,9,0,0,27,0,0,1,1,1,0,0,0,2,4,14,6,109,3,2,0,6,6,3,11,17,13,3,23,3,1,0,2,3,0,3,1,0,2,37,0,7,0,0,0,0,0,0,0,0,24,18,25,3,5,23,0,5,52,1,10,0,8,7,2,5,10,0,19,18,17,123,1,5,0,0,0,5,2,10,0,0,0,0,1,0,15,32,590,19,30,27,15,33,11,18,42,5,71,9,46,1,0,29,3,2,1,2,3,8,0,3,0,9,0,10,1,52,3,2,9,6,5,6,4,0,4,3,0,7,5,0,15,2,5,5,2,9,4,2,3,0,0,0,124,1,5,0,31,2,38,0,1,0,0,2025-02-16
2025-02-23,8,4,6,0,0,2,0,1,0,0,24,0,0,10,6,1,0,3,4,3,2,3,0,1,0,0,6,6,0,10,14,0,32,20,5,4,0,3,1,1,0,0,5,0,7,3,0,0,0,0,8,0,10,3,0,7,0,12,2,6,0,0,1,0,0,13,0,0,17,1,3,4,4,0,3,0,3,7,6,0,3,14,7,10,13,1,5,3,4,0,7,2,14,0,7,2,8,2,3,0,0,0,0,0,0,15,0,0,0,2,1,1,0,0,9,0,0,21,0,0,0,0,2,0,0,0,2,3,10,9,89,5,7,0,3,92,1,8,13,17,0,16,4,0,0,2,1,0,2,2,0,1,23,1,8,1,0,0,0,0,0,0,0,19,15,8,3,8,6,0,2,24,2,1,2,10,2,1,2,8,5,28,14,8,66,2,10,0,0,0,4,0,5,0,0,0,0,53,7,10,46,48,17,39,39,27,50,13,19,57,8,33,4,41,2,1,29,6,5,3,7,0,3,0,2,8,11,0,7,4,71,10,0,5,4,3,3,2,0,1,0,0,11,12,2,46,4,4,3,1,16,0,12,3,0,12,3,84,1,15,1,37,18,39,7,0,5,0,2025-02-23
2025-03-02,5,2,0,0,0,0,0,0,0,0,36,0,0,15,6,3,4,4,6,1,4,1,3,1,6,0,3,8,0,11,7,3,27,13,4,3,0,5,3,2,0,0,3,0,5,5,1,0,1,0,16,0,9,0,0,8,0,10,0,2,1,0,0,0,0,14,0,0,16,0,2,4,3,3,0,0,2,7,5,0,2,7,14,4,2,0,1,0,6,1,5,0,0,6,7,5,4,5,0,0,2,1,0,0,0,16,0,0,0,2,2,0,0,0,18,0,0,16,5,0,1,1,1,1,0,0,0,1,7,6,30,3,0,0,7,36,0,4,4,14,0,7,1,0,0,1,9,0,0,0,0,2,24,1,5,0,0,0,0,1,0,0,0,25,14,3,0,5,15,0,0,14,6,9,0,8,10,3,3,3,5,12,14,8,85,2,4,0,0,0,2,0,5,0,0,0,0,15,2,5,0,342,1,27,24,11,0,7,0,36,0,27,6,33,1,2,27,0,0,0,5,2,3,0,2,13,9,0,7,3,25,9,2,9,2,5,4,2,0,1,0,0,7,7,2,12,0,6,1,3,15,1,0,1,0,0,5,134,0,17,1,40,7,39,9,2,8,11,2025-03-02
