,Semana,Município,Focos,ponto
0,2012-01-01,BALNEÁRIO CAMBORIÚ,2,POINT (-48.62174059290786 -27.004736811989282)
1,2012-01-01,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
2,2012-01-01,BOMBINHAS,2,POINT (-48.51748707787348 -27.17325633187103)
3,2012-01-01,CHAPECÓ,1,POINT (-52.6503387011512 -27.125143757264095)
4,2012-01-01,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
5,2012-01-01,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
6,2012-01-01,TIJUCAS,2,POINT (-48.70088637061579 -27.247563296595885)
7,2012-01-01,XANXERÊ,1,POINT (-52.409753977893864 -26.87227935615384)
8,2012-01-08,FLORIANÓPOLIS,2,POINT (-48.50819805014117 -27.577833913876493)
9,2012-01-08,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
10,2012-01-15,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
11,2012-01-15,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
12,2012-01-15,GUARAMIRIM,1,POINT (-48.94488242157447 -26.47655093499799)
13,2012-01-15,CHAPECÓ,6,POINT (-52.6503387011512 -27.125143757264095)
14,2012-01-15,BRUSQUE,1,POINT (-48.90974338759385 -27.125000077860673)
15,2012-01-15,ARAQUARI,2,POINT (-48.75777734611065 -26.461708089601323)
16,2012-01-22,BLUMENAU,4,POINT (-49.09730924738388 -26.885766673711007)
17,2012-01-22,BOMBINHAS,2,POINT (-48.51748707787348 -27.17325633187103)
18,2012-01-22,DIONÍSIO CERQUEIRA,1,POINT (-53.533104817609406 -26.329842624688034)
19,2012-01-22,JOINVILLE,12,POINT (-48.95140521079262 -26.244282225607027)
20,2012-01-22,SÃO MIGUEL DO OESTE,5,POINT (-53.51212123092325 -26.727236944731406)
21,2012-01-29,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
22,2012-01-29,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
23,2012-01-29,SAUDADES,1,POINT (-53.04001442530173 -26.89720679402398)
24,2012-01-29,JOINVILLE,2,POINT (-48.95140521079262 -26.244282225607027)
25,2012-01-29,CHAPECÓ,12,POINT (-52.6503387011512 -27.125143757264095)
26,2012-01-29,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
27,2012-01-29,BIGUAÇU,1,POINT (-48.69394689806006 -27.433529852830816)
28,2012-01-29,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
29,2012-02-05,CHAPECÓ,1,POINT (-52.6503387011512 -27.125143757264095)
30,2012-02-05,JOINVILLE,4,POINT (-48.95140521079262 -26.244282225607027)
31,2012-02-05,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
32,2012-02-05,SÃO JOÃO DO OESTE,1,POINT (-53.59166414663414 -27.091607129863164)
33,2012-02-12,CHAPECÓ,28,POINT (-52.6503387011512 -27.125143757264095)
34,2012-02-12,SÃO JOSÉ,2,POINT (-48.65625577254402 -27.57847109713233)
35,2012-02-12,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
