Semana,Município,Focos,latitude,longitude
2012-01-01,BARRA VELHA,1,-26.662440609824166,-48.72738559449102
2012-01-01,SÃO MIGUEL DO OESTE,2,-26.727236944731406,-53.51212123092325
2012-01-01,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-01-08,BARRA VELHA,1,-26.662440609824166,-48.72738559449102
2012-01-08,BOMBINHAS,1,-27.17325633187103,-48.51748707787348
2012-01-08,CANOINHAS,1,-26.249950005908698,-50.53337070155689
2012-01-08,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-01-08,FLORIANÓPOLIS,2,-27.577833913876493,-48.50819805014117
2012-01-08,JOINVILLE,4,-26.244282225607027,-48.95140521079262
2012-01-08,LAGES,1,-28.020467334528156,-50.34057306529381
2012-01-08,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-01-15,ARAQUARI,2,-26.461708089601323,-48.75777734611065
2012-01-15,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-01-15,CHAPECÓ,6,-27.125143757264095,-52.6503387011512
2012-01-15,GUARAMIRIM,1,-26.47655093499799,-48.94488242157447
2012-01-15,JOINVILLE,3,-26.244282225607027,-48.95140521079262
2012-01-15,SÃO MIGUEL DO OESTE,3,-26.727236944731406,-53.51212123092325
2012-01-22,BLUMENAU,4,-26.885766673711007,-49.09730924738388
2012-01-22,BOMBINHAS,2,-27.17325633187103,-48.51748707787348
2012-01-22,DIONÍSIO CERQUEIRA,1,-26.329842624688034,-53.533104817609406
2012-01-22,JOINVILLE,12,-26.244282225607027,-48.95140521079262
2012-01-22,SÃO MIGUEL DO OESTE,5,-26.727236944731406,-53.51212123092325
2012-01-29,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-01-29,BOMBINHAS,2,-27.17325633187103,-48.51748707787348
2012-01-29,CHAPECÓ,4,-27.125143757264095,-52.6503387011512
2012-01-29,CRICIÚMA,1,-28.715695317599724,-49.379715593390806
2012-01-29,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-01-29,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-01-29,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-01-29,SÃO MIGUEL DO OESTE,2,-26.727236944731406,-53.51212123092325
2012-02-05,ARAQUARI,1,-26.461708089601323,-48.75777734611065
2012-02-05,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-02-05,BOMBINHAS,2,-27.17325633187103,-48.51748707787348
2012-02-05,CHAPECÓ,31,-27.125143757264095,-52.6503387011512
2012-02-05,CRICIÚMA,2,-28.715695317599724,-49.379715593390806
2012-02-05,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2012-02-05,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-02-05,JOINVILLE,4,-26.244282225607027,-48.95140521079262
2012-02-05,PALHOÇA,2,-27.77182146966105,-48.66170819531588
2012-02-05,SÃO JOSÉ DO CEDRO,1,-26.48085134039229,-53.53373642407425
2012-02-05,SÃO MIGUEL DO OESTE,5,-26.727236944731406,-53.51212123092325
