SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
1,25.620257700000003,27.395436999999998,22.229219,46.5926131,33.388541499999995,31.512037799999995,52.9346154,34.9567032,40.542012740000004,22.1652343,32.225555199999995,59.77850000000001,27.060415739999996,26.4964098,28.575910999999998,45.0397064,28.0812494
2,27.021982400000002,20.1271828,22.429062300000002,27.939772712,21.715885200000002,21.5152784,48.9721158,25.815760599999997,24.30694412,22.853125,30.8994446,53.298500000000004,22.5461812,22.801862,22.381622880000002,46.88897059999999,24.80961494
3,59.8487069,55.303373199999996,48.6439056,45.4250002,33.24791654,30.9310184,44.711537400000005,43.8786226,40.0538198,57.3949206,58.8422232,55.226,39.6961804,50.64787199999999,56.2029808,62.546321999999996,48.568510200000006
4,29.5499999,37.0269853,30.67656268,68.6005692,44.642970000000005,40.565277359999996,39.402884459999996,51.493114500000004,68.81736140000001,27.06816384,38.042778399999996,82.5675,31.155902759999996,29.755320239999996,40.633361,59.038969599999994,33.625721219999996
5,36.0426716,29.4517858,34.9843754,36.2539766,31.4895843,36.175926,27.148076800000002,35.091486,29.080902400000003,26.188476199999997,32.354721999999995,36.7245,32.93090266,29.74095648,23.0124162,37.2492638,38.438222
6,20.0086208,12.9819446,12.44765606,15.571022899999999,6.509635231999999,7.78194451,46.86442374,34.9599645,13.111110880000002,16.040625,32.781389488,66.40950000000001,5.68750008,14.605718052,14.53294656,54.61102922,13.726922920000002
7,14.1051724,23.1587298,20.8132819,20.7392046,18.076302074,13.7203702,21.699038,27.784238800000004,15.33229144,16.95039056,23.4452776,55.475,21.06666662,24.662234,20.3581128,40.988234,18.652885079999997
8,17.3879314,25.120834,24.012186800000002,36.01193146000001,26.48333334,38.17916702,32.7500002,33.9541668,31.42187488,20.7080074,29.165556,49.477500000000006,25.444791079999998,25.4144948,28.3912244,44.207352900000004,20.61875014
9,59.3387924,38.01765880000001,41.3518742,38.7545464,34.10599,31.2800926,43.0528848,51.91612239999999,37.1124998,48.500976200000004,49.7544438,87.143,40.9364578,50.2731384,38.0253314,70.2308808,43.742788000000004
10,27.43836214,36.70198408,23.213437640000002,57.885794999999995,22.11223982,53.17268438,42.0076926,46.313225,41.635417000000004,29.216796878000004,46.9036108,50.604499999999994,22.74722266,29.768882339999998,36.39370906,46.5808826,24.16899037
11,19.05086216,12.206943991600001,18.633125,16.55284095,16.598437466,12.680092801399999,27.940384046000002,18.3871373624,22.750694104,22.174804426,25.9199998822,44.946,15.652430079999998,18.808376888999998,12.63956872,40.515441806,15.434375368
12,45.459914500000004,32.462699799999996,38.01375,31.9522732,54.5085926,26.355556,36.1730766,29.894202999999997,29.847569800000002,42.8687506,24.858889060000003,34.007000000000005,46.048958,23.4980056,33.4817882,31.800734799999997,45.74278834
13,7.406465540000001,10.593451980000001,12.6678126,14.5000001,10.247135288,13.563426244800002,14.84519214,12.7838767,14.23854164,10.775976436,13.408055659999999,29.858500000000003,14.711458724,10.97513316,14.734105599999998,20.37426464,11.663221244
14,32.09439587999999,17.03968214,20.29281244,24.3147729,30.3726563,25.70046229,18.5749998,19.6929354,17.115625,26.558594520000003,16.2547226,24.937,38.47743084,17.3313829,25.1840234,20.2007355,36.3048069985
15,23.999568959999998,15.888491792,16.97968754,25.21022706,38.832551712,20.71666676,20.51057722,18.2541667,21.42638844,17.49980456,19.178332779999998,29.844,31.0229177,17.343617000000002,14.4624998,24.911029120000002,24.4478361
16,38.0482747932,24.900596200000003,33.7967186,21.52443106,38.7026042667,13.50740722,32.91442356,44.34637704,26.12951438,31.9158203,30.627499739999998,48.938,38.3003474889,35.219016440000004,25.004553199999997,35.602941120000004,38.5608168154
17,12.7469825728,3.1081349404000003,2.35125002,3.20113638,22.378124882,3.80416662,6.082692344,7.086050869999999,2.58576384,7.97675782,4.3875000360000005,7.781000000000001,15.6427077347,1.63191491,5.3730960240000005,6.8242645799999995,15.3122599896
