Semana,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2014-01-05,46.780174,37.71627,42.571877,30.426136,10.817708,30.657408,13.942307,31.126812,31.04861,34.25,21.430555,4.925,19.086805,39.87899,34.750828,14.463235,27.71875
2014-01-12,19.568966,63.319443,45.2375,55.125,9.911458,55.208332,19.711538,23.699276,38.28472,28.644531,44.336113,38.15,12.628472,48.86436,32.53063,29.845589,21.129808
2014-01-19,2.5905173,3.1785715,3.7390625,27.147728,1.0286459,19.648148,0.7692308,7.3514495,7.6597223,4.1679688,2.85,5.23,2.3298612,2.0345745,6.040563,5.4191175,3.3701923
2014-01-26,10.38362,0.578373,5.596875,8.025568,2.8684895,30.895834,0.0625,0.6702899,4.9756947,11.302734,0.21805556,1.58,7.328125,3.7386968,4.2963576,0.55514705,3.6358173
2014-02-02,5.9676723,1.6309524,9.46875,12.002841,0.7291667,14.027778,0.057692308,2.3677535,3.6006944,10.131836,3.0875,1.2825,0.3576389,3.3078458,14.689569,1.3529412,1.8557693
2014-02-09,46.681034,35.705357,33.67031,70.170456,17.47526,99.166664,14.836538,31.684782,49.137154,45.905273,22.272223,18.84,39.65278,27.255983,37.481373,22.82353,44.23077
2014-02-16,2.3943965,13.020833,7.0734377,20.414772,7.8958335,10.62963,10.072115,13.317935,17.45139,10.457031,19.006945,28.565,4.5850697,9.030585,11.371689,16.67647,2.75
2014-02-23,42.176723,54.800594,38.603905,42.696022,14.639323,56.726852,50.682693,78.5308,39.682293,57.677734,61.644444,29.9675,28.137154,31.03258,75.50124,38.860294,28.860577
2014-03-02,60.452587,41.04762,33.284374,20.97159,63.153645,20.777779,37.548077,15.217391,8.496528,52.82617,46.605556,27.53,59.166668,32.523937,33.43957,37.889706,60.38702
2014-03-09,19.538794,41.22222,20.815624,31.079546,17.479166,13.481482,76.97115,39.699276,23.340279,16.78711,59.01389,55.89,35.739582,64.62766,20.732616,80.007355,30.399038
2014-03-16,105.403015,31.381945,55.21172,56.61932,73.37891,93.291664,39.783653,41.714672,38.93403,85.46777,41.419445,24.2025,79.236115,53.96875,52.93005,49.28309,102.6274
2014-03-23,0.0,1.0496032,0.2171875,14.517045,0.578125,8.416667,3.7403846,11.025362,16.190971,0.001953125,2.6694446,4.88,0.2013889,0.62101066,1.1283113,4.8161764,0.46153846
2014-03-30,50.65948,7.7123017,17.49375,47.335228,48.79948,24.875,29.778847,29.862318,48.118057,33.41797,21.080555,36.72,38.708332,13.203458,21.64404,28.433823,42.15625
2014-04-06,65.284485,15.773809,27.536718,14.732955,108.311195,28.842592,14.894231,23.434782,19.65625,41.075195,9.969444,5.0875,98.6875,14.638298,34.48179,7.3713236,50.3738
2014-04-13,4.5689654,2.9087303,7.8875,1.1818181,13.052083,0.6111111,7.394231,3.8913043,0.8923611,12.236328,3.3111112,5.96,11.197917,5.6555853,3.0405629,4.8382354,6.2139425
2014-04-20,3.247845,13.948413,9.346875,24.110796,4.2486978,13.611111,2.9903846,5.634058,19.39757,5.5947266,10.891666,22.795,6.3003473,12.772607,12.765314,16.522058,6.8689904
2014-04-27,168.1293,35.753967,77.185936,5.221591,159.83073,4.5925927,7.125,4.95471,4.6631947,133.85938,10.752778,5.145,179.57986,20.538565,56.187084,7.3235292,139.05289
2014-05-04,2.0086207,2.2242064,2.503125,12.977273,3.3307292,9.041667,1.8173077,6.9619565,11.159722,3.1914062,2.3194444,1.755,1.5798612,1.5691489,6.794702,1.3161764,0.6610577
2014-05-11,2.5215516,7.0575395,4.1484375,5.8636365,1.7916666,18.412037,3.6826923,5.8731885,5.079861,16.824219,6.038889,1.86,4.2708335,1.6542553,12.687086,3.4485295,4.514423
2014-05-18,75.280174,24.75,41.525,28.130682,61.01302,22.092592,13.663462,17.445652,26.878471,72.5293,14.955556,13.845,68.37153,14.868351,76.46109,18.139706,33.036057
2014-05-25,28.060345,24.0,23.528126,18.488636,37.4375,28.648148,20.942308,25.942028,27.5625,31.414062,24.477777,19.1,33.53472,30.789894,31.577814,27.75,12.942307
2014-06-01,21.85776,45.74206,37.304688,60.5625,16.643229,71.67593,52.75,33.335144,46.614582,33.783203,54.788887,41.56,14.072917,41.277927,56.896523,52.683823,18.836538
2014-06-08,29.051723,37.920635,26.040625,40.085228,28.052084,33.444443,34.067307,41.416668,33.0625,42.720703,44.261112,12.95,27.711805,6.7154255,51.307945,26.985294,26.252403
2014-06-15,5.9698277,16.081348,7.947656,6.3863635,6.3489585,2.976852,9.634615,9.029891,6.4270835,12.245117,14.909722,17.54,4.1475697,8.729388,6.8290563,22.547794,9.198318
2014-06-22,323.5905,110.27381,155.675,94.181816,253.74219,72.87963,43.634617,58.650364,75.09722,267.35938,61.08889,4.67,339.7639,37.970745,180.9048,16.772058,209.25961
2014-06-29,2.8275862,0.78075397,1.0757812,4.130682,0.6614583,7.414352,0.72115386,0.25543478,1.4565972,3.0449219,0.2777778,0.125,3.4305556,0.36768618,8.337749,0.14338236,2.6466346
2014-07-06,10.525862,4.7777777,2.5054688,26.21591,20.009115,19.57176,4.1778846,4.879529,19.34375,4.6660156,5.7930555,9.9575,16.944445,2.950133,6.576987,9.341911,13.930288
2014-07-13,14.672414,1.3373016,5.0289063,7.1420455,17.570312,11.891204,7.5576925,4.3097825,2.390625,9.829102,7.3125,4.9625,16.42014,6.1010637,10.273593,6.6911764,15.362981
2014-07-20,63.607758,29.007936,34.447655,17.329546,69.24349,14.844908,18.557692,16.227356,17.168404,53.109375,14.225,4.8725,61.914932,28.134974,38.379967,8.275735,69.18389
2014-07-27,21.323277,9.176587,9.559375,17.869318,5.8385415,17.171297,5.923077,6.4492755,10.107639,15.917969,9.7277775,6.78,10.184028,1.3510638,15.057119,5.132353,14.824519
2014-08-03,4.87931,1.2896825,1.978125,11.329545,0.94401044,8.986111,1.9230769,5.552536,8.572917,3.9160156,1.6652777,3.065,1.6215278,0.8484042,5.826159,3.5220587,1.6658654
