Semana,ano_epi,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2019-12-29,2020,1,8.331897,17.76389,22.88125,95.267044,21.334635,64.64815,51.0,32.920288,68.49826,8.130859,23.731945,52.0,7.4756947,39.873005,27.359686,40.95956,11.222356
2020-01-05,2020,2,46.49138,44.455357,54.19453,49.886364,34.30078,52.993057,46.221153,39.47192,45.03472,27.551758,42.327778,36.2775,33.734375,56.34242,39.82616,22.529411,42.66226
2020-01-12,2020,3,27.726294,19.412699,17.425,12.298295,39.03255,9.886574,11.918269,7.192935,9.08507,20.192383,22.9375,16.48,27.6875,31.189495,19.64404,15.264706,18.186298
2020-01-19,2020,4,5.4547415,8.289682,6.7171874,54.698864,9.256511,37.01852,25.29327,33.789856,55.48264,7.6289062,21.022223,47.1175,3.734375,5.8158245,29.864239,29.944853,2.8629808
2020-01-26,2020,5,81.20474,27.666666,53.321877,33.610794,80.21615,39.14352,26.475962,20.330616,22.618055,42.36035,28.034721,42.735,83.13715,47.276596,18.127897,54.933823,103.51683
2020-02-02,2020,6,26.413794,24.09623,20.99375,48.920456,11.3567705,27.407408,169.42308,111.06975,40.100693,15.737305,99.173615,267.5575,13.729167,41.966755,35.808773,212.85294,28.076923
2020-02-09,2020,7,8.786638,19.126984,17.546875,17.556818,14.677083,4.212963,28.8125,20.952898,6.6614585,12.529297,23.581944,61.565,14.527778,22.240692,13.613411,31.327206,13.594952
2020-02-16,2020,8,10.413794,13.207341,15.489843,2.3011363,12.510417,6.7314816,6.480769,8.615942,1.6319444,16.83789,8.908334,9.12,16.237846,17.142952,9.162251,6.2058825,12.609375
2020-02-23,2020,9,125.82974,49.261906,80.90078,25.644886,34.966145,23.42361,50.740383,26.300724,18.125,90.82031,42.005554,76.515,51.260418,80.0,48.963577,76.588234,66.116585
2020-03-01,2020,10,5.2198277,1.5684524,1.2179687,9.247159,1.4153646,3.0879629,35.97596,13.850543,11.423611,1.5654297,12.493055,55.0375,4.9878473,7.3510637,4.7487583,37.8125,7.0625
2020-03-08,2020,11,0.5344828,0.007936508,0.1578125,0.71022725,0.14583333,0.125,0.16826923,0.058876812,0.14409722,0.20898438,0.011111111,0.075,0.0625,0.026595745,0.4668874,0.05882353,0.17427884
2020-03-15,2020,12,36.23707,9.769841,19.221094,19.571022,32.619793,15.106482,15.225962,11.083333,25.526041,23.708984,16.729166,21.8275,27.975695,15.706117,11.341474,14.213235,27.640625
2020-03-22,2020,13,0.5689655,0.5297619,0.0703125,2.875,0.27864584,0.097222224,4.7884617,4.1684785,0.6284722,0.28710938,6.0111113,14.67,0.12847222,0.5930851,1.821192,7.9485292,0.33894232
2020-03-29,2020,14,18.368534,18.46131,23.301563,32.897728,13.199219,43.42824,15.826923,8.050725,14.184028,19.57129,12.1027775,2.9825,11.717014,13.394947,17.445364,5.1875,14.180288
2020-04-05,2020,15,36.614223,11.9454365,23.623438,12.053977,38.020832,12.800926,10.802885,8.71558,9.47743,26.02832,12.894444,10.945,38.307293,13.799202,18.802153,10.900735,29.951923
2020-04-12,2020,16,26.489223,11.573413,20.89922,7.034091,22.471354,4.891204,2.2692308,3.3360507,4.0694447,20.435547,5.7805557,5.0225,31.567709,19.19149,20.167633,5.3713236,26.814903
2020-04-19,2020,17,4.952586,0.051587302,0.28125,0.1875,0.29947916,0.5231481,0.88461536,0.13949275,0.1388889,1.2597656,0.17777778,3.0,0.42708334,0.2912234,0.25331125,1.1544118,1.1706731
2020-04-26,2020,18,7.8125,1.8799603,8.3375,5.0085225,8.5,11.759259,15.418269,8.488225,5.9027777,5.2197266,11.136111,18.9925,10.607639,4.6256647,1.4921358,14.444853,6.402644
2020-05-03,2020,19,19.047413,0.58035713,6.353125,2.6761363,27.157553,4.6875,2.1923077,2.1585145,3.6111112,9.560547,0.69027776,6.1,28.559029,9.329787,6.649007,2.8051472,20.194712
2020-05-10,2020,20,32.58621,5.376984,32.882812,7.1761365,25.546875,9.282408,20.538462,4.094203,3.78125,26.322266,11.088889,25.69,21.253471,34.347073,10.229304,13.9779415,37.533653
2020-05-17,2020,21,75.75,7.5972223,41.946877,8.534091,72.885414,22.199074,0.46153846,1.5163044,3.0208333,54.935547,1.3111111,0.75,86.80903,33.25133,21.81043,1.0,91.80048
2020-05-24,2020,22,0.875,0.23809524,0.275,0.2159091,0.9375,0.4027778,0.35576922,0.16123189,0.22916667,0.7675781,0.25555557,0.265,0.7013889,0.031914894,1.8385762,0.15441176,0.4591346
2020-05-31,2020,23,46.956898,20.195436,31.7,37.573864,52.177082,38.789352,70.04327,52.3279,25.659721,28.513672,48.92361,46.2325,46.913193,70.59708,41.245445,51.14706,37.753605
2020-06-07,2020,24,148.34483,67.21032,125.492966,33.53693,87.14713,16.606482,50.783653,29.856884,38.875,109.50586,65.25833,41.26,141.0677,88.97872,54.057117,40.07353,133.16827
2020-06-14,2020,25,0.9375,1.1140873,1.0617187,1.34375,4.3945312,0.25462964,6.9711537,6.057971,0.3090278,0.7470703,4.6597223,16.135,0.3559028,1.7047873,1.4768212,4.8235292,0.60697114
2020-06-21,2020,26,25.952587,17.964285,43.030468,16.755682,11.675781,10.349537,8.548077,10.458333,15.02257,25.24414,12.8527775,32.23,19.230904,48.27992,24.901075,16.955883,28.326923
2020-06-28,2020,27,36.900864,18.193453,20.965626,47.579544,30.93099,82.83796,15.721154,23.531702,28.447916,30.082031,19.475,13.6675,36.95139,14.441489,39.001656,22.102942,39.875
2020-07-05,2020,28,66.57543,25.949406,27.691406,105.36648,52.395832,186.38426,19.10577,39.801632,65.32118,48.217773,24.98889,13.3625,62.734375,14.823803,92.911835,19.375,65.50721
2020-07-12,2020,29,33.786636,29.443453,35.466408,24.144886,10.2005205,27.652779,27.591347,24.66576,20.590279,40.046875,30.94861,25.5375,21.45139,18.646942,33.314983,34.944855,15.299279
2020-07-19,2020,30,6.87931,0.9047619,0.9078125,0.62215906,9.09375,0.6574074,0.17307693,0.33695653,1.6961806,2.3330078,0.5875,0.1175,10.302083,0.5226064,1.0041391,0.28308824,7.7572117
2020-07-26,2020,31,37.290947,15.431547,20.760157,25.053978,21.432291,33.148148,24.975962,13.82337,22.74132,44.345703,23.751389,35.5125,26.944445,13.253989,33.02525,32.694855,30.33173
2020-08-02,2020,32,0.0,0.6805556,0.51171875,0.42329547,0.016927084,0.7222222,0.115384616,0.33333334,0.25694445,0.24121094,0.2125,0.1175,0.0017361111,0.35638297,0.37748346,0.10294118,0.03966346
2020-08-09,2020,33,73.98492,76.04365,66.197655,79.72727,99.64323,71.05093,47.01923,78.55616,86.125,83.83301,76.45556,45.1475,85.5191,57.061836,83.93129,63.963234,99.71154
2020-08-16,2020,34,36.0,27.277779,28.753906,9.619318,30.367188,0.5671296,22.889423,27.291666,18.07639,37.37207,27.208334,50.2525,39.137154,23.99867,18.931292,32.9375,50.45553
2020-08-23,2020,35,0.060344826,0.5257937,0.0609375,0.17613636,0.0,0.6712963,0.50961536,0.27445653,0.1701389,0.12109375,0.39722222,0.235,0.0,0.35039893,0.18956953,0.33088234,0.0048076925
2020-08-30,2020,36,0.114224136,9.356151,2.703125,19.894886,0.015625,12.958333,7.048077,14.802536,19.319445,1.1308594,11.222222,17.88,0.020833334,2.4800532,7.0951986,11.941176,0.050480768
2020-09-06,2020,37,21.931034,22.809525,14.871875,89.857956,14.395833,73.46759,17.865385,65.69203,106.52431,29.326172,18.172222,6.05,26.35764,1.4760638,70.67881,6.7132354,9.182693
2020-09-13,2020,38,6.0689654,8.960318,7.4671874,13.056818,5.9427085,12.902778,6.951923,13.452899,16.559029,8.863281,10.5222225,2.46,7.90625,4.7672873,14.312914,6.227941,5.0600963
2020-09-20,2020,39,0.0,0.23809524,0.1640625,0.3125,0.37239584,0.06481481,0.27884614,0.092391305,0.2673611,0.08984375,0.06666667,1.69,0.038194444,0.24734043,0.272351,0.7205882,0.1298077
2020-09-27,2020,40,28.215517,51.50099,40.03594,40.315342,13.7161455,61.675926,19.173077,35.094204,36.45139,33.328125,36.140278,23.4525,24.98611,22.224733,46.203228,20.5,24.890625
2020-10-04,2020,41,7.12069,12.113095,8.167188,15.681818,27.197916,7.3194447,16.75,23.876812,21.989584,6.2070312,16.777779,48.29,18.149305,19.966755,10.1399,26.970589,18.966347
