semana_epi,ABDON BATISTA,ABELARDO LUZ,ALFREDO WAGNER,ALTO BELA VISTA,ANCHIETA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARROIO TRINTA,ARVOREDO,ASCURRA,AURORA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JARDIM DA SERRA,BOM JESUS,BOM JESUS DO OESTE,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DOUTOR PEDRINHO,ENTRE RIOS,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GRÃO PARÁ,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEOBERTO LEAL,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MAFRA,MAJOR GERCINO,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MODELO,MONDAÍ,MORRO DA FUMAÇA,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PENHA,PERITIBA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RANCHO QUEIMADO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANTA HELENA,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO CRISTOVÃO DO SUL,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREZE TÍLIAS,TROMBUDO CENTRAL,TUBARÃO,TUNÁPOLIS,UNIÃO DO OESTE,URUBICI,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,9.4,0.6,2.6,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.0,37.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,3.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,29.0,0.0,0.0,0.0,0.2,0.0,0.2,1.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.8,0.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,2.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,2.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,43.2,0.0,0.0,0.0,1.2,0.0,0.0,3.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.4,4.6,0.6,0.0,0.8,0.0,0.0,0.0,2.6,0.0,0.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,5.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0
5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.6,0.0,30.8,0.0,0.0,0.0,0.2,0.0,0.4,2.2,0.0,5.2,0.0,0.0,0.0,1.0,1.2,0.0,0.4,73.6,0.0,0.4,0.0,3.2,0.0,0.2,3.2,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,1.2,0.0,0.6,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,34.4,1.0,6.4,1.2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,110.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,34.8,0.0,0.4,0.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,15.0,0.2,1.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.8,0.0,0.0
6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.4,4.8,0.0,17.0,0.0,0.0,0.0,4.0,6.0,0.0,0.2,117.8,0.0,0.4,0.0,3.8,0.0,0.0,6.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.4,0.0,1.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,1.4,1.8,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,83.0,2.8,9.6,1.0,0.0,4.6,0.0,0.0,0.0,6.0,0.0,0.2,249.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.4,0.0,0.8,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.4,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,3.6,3.2,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.4,0.0,0.0
7,0.0,1.2,0.0,0.0,0.0,0.0,0.0,9.6,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.4,6.6,0.0,15.2,0.0,0.0,0.0,5.2,7.4,0.0,0.6,230.2,0.0,0.2,0.0,7.6,0.0,0.0,12.4,0.8,14.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,13.6,0.0,2.4,0.0,2.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,48.0,0.4,0.0,0.0,0.0,0.0,1.0,2.6,0.0,0.0,0.0,0.0,0.6,0.4,1.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,7.4,0.0,0.0,4.8,0.2,0.0,0.2,0.0,0.0,0.0,183.0,5.2,23.0,5.8,0.2,7.2,0.0,0.0,0.0,9.2,0.0,0.0,410.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.4,0.0,14.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.8,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,14.4,14.4,3.6,2.0,0.0,1.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,29.4,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,2.6,0.0,0.0
8,0.0,2.2,0.0,0.2,0.2,0.0,0.2,11.4,0.0,72.4,0.0,0.0,0.0,0.6,0.0,0.8,14.2,0.0,16.8,0.0,0.0,0.0,9.6,15.4,0.0,0.6,325.4,0.0,1.2,0.0,15.6,0.0,0.6,20.0,0.6,18.6,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,19.4,0.0,9.4,0.0,0.8,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0,64.8,0.8,0.0,0.0,0.0,0.0,2.4,2.6,0.4,0.0,0.0,0.2,2.8,0.4,2.6,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,10.4,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,271.0,6.0,29.6,4.2,0.0,10.4,0.0,0.0,0.0,15.2,0.0,0.2,681.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,1.6,0.0,33.0,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,53.2,0.0,2.8,0.0,0.0,0.0,0.0,0.0,34.4,0.0,1.0,0.0,0.2,0.4,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.8,5.2,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,1.8,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,20.0,21.2,5.2,2.0,0.0,0.2,0.4,0.2,0.0,3.8,0.0,0.2,0.0,0.0,33.2,0.4,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,1.2,0.0,0.0,2.8,0.0,0.0
9,0.0,11.4,0.0,0.0,0.0,0.0,0.0,12.6,0.0,83.4,0.2,0.0,0.0,0.2,0.0,1.4,31.8,0.0,34.6,0.0,0.0,0.0,11.2,11.4,0.0,1.6,460.4,0.0,1.8,0.0,15.2,0.0,0.2,31.2,2.2,20.8,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,55.2,0.0,22.0,0.0,5.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.2,92.2,0.2,0.0,0.2,0.0,0.2,4.2,4.8,0.2,0.2,0.0,0.2,13.2,0.4,1.2,0.4,0.2,0.0,0.0,1.8,0.0,0.2,0.0,19.0,0.0,0.0,17.0,0.0,0.4,0.6,0.0,0.0,0.0,310.8,5.8,25.4,7.2,0.0,26.4,0.0,0.0,0.0,35.4,0.0,0.0,955.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,36.8,0.0,0.0,0.0,8.8,0.0,33.4,0.4,0.0,2.4,0.0,0.2,0.0,0.0,0.0,0.0,72.0,0.0,10.8,0.0,0.0,0.4,0.2,0.0,28.2,0.0,1.0,0.0,0.2,1.6,0.0,0.0,9.0,0.0,0.2,0.0,0.0,0.2,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,5.6,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,38.6,40.2,16.8,1.0,0.0,1.2,2.6,0.0,0.4,6.2,0.0,0.0,0.0,0.2,39.2,0.6,0.4,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,2.4,0.0,0.0,5.8,0.0,0.0
10,0.0,16.8,0.0,0.0,0.4,0.0,0.0,11.8,0.0,77.8,0.0,0.0,0.0,0.6,0.0,0.6,45.2,0.0,20.6,0.0,0.0,0.0,16.4,11.6,0.0,2.6,585.4,0.0,1.8,0.0,20.0,0.0,1.2,36.4,1.6,26.6,0.2,2.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,7.8,0.0,0.0,104.2,0.0,68.2,0.2,14.4,0.0,0.0,0.2,0.0,0.4,0.0,0.2,1.6,2.0,0.0,0.2,0.0,0.2,2.0,135.0,3.4,0.0,0.0,2.0,0.2,6.2,6.6,0.2,0.0,0.0,0.2,25.6,0.2,4.6,0.2,0.2,0.0,0.0,2.2,0.0,0.4,0.0,33.2,0.0,0.0,41.2,0.6,0.8,1.6,0.0,0.0,0.0,186.0,14.2,36.4,11.8,0.0,36.8,0.0,0.0,0.0,54.8,0.0,0.0,1069.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,74.2,0.2,0.2,0.0,12.6,0.0,51.2,0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,30.2,0.0,0.0,0.0,0.2,0.0,29.0,0.2,1.8,0.0,0.2,1.6,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.6,0.2,14.8,0.0,0.0,0.0,0.8,0.0,0.6,0.0,1.2,8.8,0.0,31.8,0.0,0.0,0.0,0.2,0.0,0.0,5.0,0.0,0.0,49.0,60.0,26.0,2.0,0.0,2.0,3.2,0.4,0.6,17.4,0.0,0.0,0.0,0.6,48.2,0.4,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,29.4,0.4,7.2,0.0,0.0,7.0,0.0,0.0
