semana_epi,ABDON BATISTA,ABELARDO LUZ,AGROLÂNDIA,AGRONÔMICA,ALTO BELA VISTA,ANCHIETA,ANGELINA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARMAZÉM,ARROIO TRINTA,ARVOREDO,ASCURRA,ATALANTA,AURORA,BALNEÁRIO ARROIO DO SILVA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOCAINA DO SUL,BOM JESUS,BOM JESUS DO OESTE,BOM RETIRO,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRAÇO DO TROMBUDO,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DONA EMMA,DOUTOR PEDRINHO,ENTRE RIOS,ERMO,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GRÃO-PARÁ,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBIAM,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAIÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JACINTO MACHADO,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEBON RÉGIS,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MACIEIRA,MAFRA,MAJOR GERCINO,MAJOR VIEIRA,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MATOS COSTA,MELEIRO,MIRIM DOCE,MODELO,MONDAÍ,MONTE CASTELO,MORRO DA FUMAÇA,MORRO GRANDE,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PAINEL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PEDRAS GRANDES,PENHA,PERITIBA,PESCARIA BRAVA,PETROLÂNDIA,PINHALZINHO,PINHEIRO PRETO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA DO NORTE,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRAIA GRANDE,PRESIDENTE CASTELLO BRANCO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RIO DAS ANTAS,RIO DO CAMPO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANGÃO,SANTA CECÍLIA,SANTA HELENA,SANTA ROSA DO SUL,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SIDERÓPOLIS,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO CRISTÓVÃO DO SUL,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOSÉ DO CERRITO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO JOÃO DO SUL,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MARTINHO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREVISO,TREZE DE MAIO,TREZE TÍLIAS,TROMBUDO CENTRAL,TRÊS BARRAS,TUBARÃO,TUNÁPOLIS,TURVO,UNIÃO DO OESTE,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,WITMARSUM,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS
1,0.0,0.55,0.0,0.0,0.0,0.27,0.0,0.0,0.09,0.09,0.64,5.0,0.18,0.0,0.0,0.09,0.0,0.36,0.0,0.18,1.82,12.55,0.36,3.0,0.0,0.09,0.18,0.82,0.09,0.09,9.73,16.82,0.0,2.55,0.36,0.0,3.82,0.27,0.0,0.0,8.73,2.0,9.91,0.18,0.82,0.64,0.09,0.45,0.0,0.0,0.0,0.18,0.45,2.09,0.0,8.18,0.0,3.18,0.36,1.18,1.18,0.0,0.64,0.09,1.91,0.55,0.0,0.36,1.36,0.0,0.0,0.27,0.0,0.55,0.55,0.0,40.27,0.27,0.0,0.0,0.18,0.09,1.09,2.36,1.55,0.0,0.0,1.45,0.45,1.82,0.91,0.55,0.18,0.0,0.09,0.36,3.0,0.18,0.45,0.0,3.27,0.0,0.18,0.0,1.27,0.55,0.09,0.0,0.55,0.09,0.0,11.27,10.0,1.27,0.55,0.09,0.64,0.45,0.64,0.0,0.0,8.27,0.0,1.09,93.91,0.0,0.45,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.09,0.0,0.64,0.0,0.0,0.0,0.0,0.09,1.45,0.27,0.36,0.0,0.09,0.0,2.36,0.91,0.0,0.0,0.0,12.55,2.91,0.64,0.27,0.0,0.09,0.09,0.09,0.55,0.36,0.0,12.45,0.45,9.0,0.09,1.09,1.36,0.45,0.0,0.0,7.45,1.09,0.0,0.0,1.36,0.0,0.0,0.36,0.27,0.0,0.36,3.55,2.64,0.09,0.0,0.27,0.0,0.0,0.73,1.09,0.0,0.0,0.18,1.73,0.0,0.0,0.09,0.09,1.36,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.09,0.27,1.36,1.55,0.18,2.73,0.36,0.0,3.0,1.18,0.73,0.55,0.0,2.27,0.0,3.0,6.36,31.27,0.91,0.0,2.45,0.0,0.27,0.09,2.91,0.27,0.0,0.27,13.27,0.09,0.09,0.0,0.18,1.64,1.27,0.0,0.0,0.09,0.45,0.0,0.73,0.0,0.09,0.09,0.0,0.0,0.18,0.0,0.36,0.0,10.27,0.45,5.36,0.0,0.73,1.36,0.09,0.09
2,0.0,1.25,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.75,0.0,5.58,0.58,0.08,0.33,0.08,0.25,0.08,0.0,0.08,0.33,16.58,0.08,2.5,0.0,0.42,0.08,0.58,0.58,0.0,7.42,25.92,0.0,2.5,0.0,0.08,3.42,0.0,0.0,0.0,13.75,1.08,11.92,0.08,1.42,0.17,0.33,0.0,0.08,0.08,0.0,0.08,0.17,0.42,0.0,28.92,0.0,6.83,0.08,2.67,0.25,0.0,0.08,0.08,1.25,0.33,0.25,1.17,0.83,0.0,0.0,0.17,0.0,0.17,0.67,0.08,25.17,0.75,0.0,0.08,0.75,0.0,0.67,2.0,0.75,0.08,0.08,0.5,0.42,0.83,1.33,0.42,0.08,0.0,0.0,0.17,0.17,0.0,0.17,0.0,2.17,0.42,0.08,0.25,0.75,0.17,0.58,0.08,0.33,0.08,0.0,7.92,13.0,1.5,0.0,0.0,0.17,0.17,0.17,0.0,0.0,6.08,0.33,0.5,97.42,0.0,0.42,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.08,0.0,0.0,0.0,0.0,2.5,1.5,0.0,0.0,0.0,15.17,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,13.42,0.17,7.75,0.0,0.33,0.92,0.25,0.0,0.0,7.33,0.08,0.0,0.0,1.83,0.0,0.08,0.5,0.08,0.17,0.0,8.17,2.25,0.0,0.0,0.0,0.0,0.08,0.33,3.08,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.17,0.17,0.25,0.58,0.08,0.0,0.58,0.0,0.0,0.0,0.17,0.33,0.83,0.0,2.17,0.17,0.0,1.75,0.33,1.25,1.08,0.0,1.25,0.0,1.75,1.17,18.92,1.08,0.0,0.75,0.0,0.08,0.0,2.0,0.17,0.0,1.08,8.92,0.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.08,0.42,0.0,0.5,0.0,0.0,0.08,0.0,0.17,0.0,10.92,0.33,12.58,0.0,0.17,2.0,0.33,0.0
3,0.0,5.08,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.42,0.25,9.0,1.58,0.08,0.0,0.08,0.0,0.0,0.0,0.0,1.08,28.42,0.17,11.92,0.0,0.92,0.08,1.17,0.33,0.0,12.92,45.42,0.0,2.25,0.42,0.0,8.25,0.0,0.08,0.0,24.17,2.25,22.33,0.08,0.83,0.42,0.5,0.0,0.17,0.0,0.0,0.25,0.25,1.58,0.0,60.83,0.0,19.67,0.58,2.33,0.67,0.0,0.33,0.58,1.42,1.33,0.08,2.67,0.75,0.08,0.0,0.33,0.08,0.0,2.08,0.17,54.25,0.83,0.0,0.0,1.08,0.17,3.5,2.17,1.25,0.0,0.0,1.08,2.58,2.0,3.33,0.25,0.5,0.0,0.0,0.25,1.42,0.0,0.67,0.0,5.92,0.0,0.33,1.33,2.25,0.33,1.17,0.42,0.58,0.0,0.0,18.25,27.0,3.92,0.83,0.08,0.67,1.08,0.83,0.08,0.0,11.08,0.08,0.67,144.25,0.0,0.42,0.0,0.08,0.08,0.17,0.08,0.0,0.0,0.42,0.08,0.0,0.5,0.0,0.25,0.0,0.08,0.0,6.08,0.25,0.08,0.0,0.0,0.0,2.08,3.5,0.08,0.0,0.0,25.33,2.67,1.5,0.75,0.0,0.0,0.0,0.0,0.33,0.33,0.0,26.42,0.58,12.08,0.0,1.33,1.83,0.33,0.0,0.0,7.25,1.08,0.08,0.0,4.42,0.0,0.17,0.58,0.42,0.08,0.25,8.0,5.08,0.17,0.0,0.25,0.08,0.0,0.42,4.92,0.0,0.0,0.08,0.42,0.17,0.0,1.33,0.0,1.08,0.0,0.0,0.75,0.0,0.0,0.42,0.17,0.0,0.08,1.33,1.08,0.83,0.0,5.42,0.83,0.0,4.92,0.5,1.08,0.67,0.0,5.08,0.08,5.92,4.08,23.17,1.5,0.0,2.17,0.0,0.42,0.0,4.75,0.83,0.0,0.08,20.42,0.0,0.0,0.0,0.33,2.5,0.5,0.0,0.0,0.08,0.0,0.0,0.42,0.92,0.0,0.42,0.0,0.0,0.08,0.0,0.42,0.08,18.75,0.5,15.25,0.0,1.08,3.25,0.67,0.42
4,0.0,4.75,0.0,0.0,0.0,1.17,0.0,0.0,0.17,0.33,0.08,9.0,1.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,2.17,31.25,0.42,13.17,0.0,0.67,0.08,1.42,0.33,0.17,12.08,46.42,0.0,1.58,0.25,0.0,9.92,0.08,0.25,0.0,31.58,2.42,16.42,0.0,2.25,0.42,0.25,0.08,0.08,0.0,0.0,0.25,1.58,2.67,0.0,36.0,0.0,29.33,0.92,2.33,0.58,0.0,0.33,1.83,4.08,0.83,0.0,2.42,1.33,0.0,0.0,0.17,0.0,0.08,1.0,0.17,67.42,0.17,0.08,0.0,1.08,0.17,2.25,3.58,1.5,0.08,0.0,1.17,2.25,2.42,3.17,0.5,0.5,0.0,0.0,0.33,1.75,0.0,0.58,0.0,6.67,0.0,0.08,1.92,1.25,0.75,0.5,0.17,0.67,0.25,0.08,17.17,23.67,4.0,0.75,0.0,0.58,1.25,1.58,0.0,0.0,13.75,0.08,1.33,126.08,0.0,0.5,0.08,0.0,0.0,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.33,0.0,0.0,0.0,5.17,0.0,0.5,0.0,0.0,0.0,2.17,2.42,0.0,0.0,0.0,25.92,3.5,2.83,0.5,0.0,0.25,0.25,0.0,0.17,0.25,0.0,24.92,1.0,13.0,0.08,1.42,2.33,0.5,0.08,0.0,7.92,0.83,0.0,0.08,2.75,0.08,0.42,1.67,0.75,0.0,0.17,12.92,8.08,0.0,0.0,0.17,0.17,0.0,0.75,4.5,0.0,0.0,0.0,1.0,0.08,0.08,0.75,0.0,1.25,0.0,0.0,0.67,0.08,0.0,0.67,0.0,0.0,0.17,0.42,1.33,1.42,0.0,4.42,1.33,0.0,5.58,1.17,1.5,0.75,0.0,5.5,0.08,7.58,3.08,41.42,1.83,0.0,2.58,0.08,0.33,0.0,6.75,1.33,0.0,0.83,26.17,0.0,0.08,0.0,0.17,3.08,0.75,0.0,0.0,0.25,0.25,0.0,0.42,0.58,0.0,1.17,0.0,0.0,0.33,0.0,0.25,0.0,22.5,1.08,14.92,0.0,1.08,1.83,0.25,0.33
5,0.0,3.83,0.0,0.08,0.0,2.67,0.0,0.0,0.08,0.17,0.42,7.33,0.67,0.0,0.17,0.0,0.25,0.0,0.0,0.08,0.67,33.83,0.08,13.5,0.0,0.75,0.25,1.58,0.92,0.0,11.17,33.5,0.0,1.33,0.25,0.0,11.42,0.0,0.17,0.0,16.33,2.58,15.92,0.08,1.42,0.25,0.25,0.0,0.08,0.0,0.0,1.83,0.17,1.83,0.0,17.5,0.0,13.25,1.25,2.0,0.5,0.0,0.33,0.08,9.0,0.83,0.08,1.75,1.58,0.0,0.08,0.58,0.0,0.17,0.92,0.17,48.25,1.08,0.08,0.08,1.67,0.08,2.92,4.33,2.83,0.0,0.08,0.83,3.17,2.25,2.67,1.17,1.0,0.08,0.0,0.5,4.08,0.0,0.75,0.0,5.67,0.0,0.0,1.58,0.83,0.58,0.58,0.25,0.75,0.25,0.0,20.5,17.75,2.0,0.75,0.0,1.58,0.67,0.42,0.08,0.0,10.08,0.67,0.5,125.67,0.0,0.5,0.0,0.25,0.08,0.5,0.0,0.0,0.0,0.83,0.33,0.0,0.42,0.0,0.33,0.0,0.0,0.08,3.42,0.0,0.25,0.0,0.0,0.0,0.92,3.0,0.0,0.0,0.0,22.83,2.83,1.17,1.17,0.0,1.0,0.0,0.08,0.5,0.17,0.0,19.83,2.33,4.83,0.0,2.92,0.83,0.08,0.17,0.0,7.67,1.0,0.0,0.08,6.25,0.08,0.42,1.25,0.25,0.0,0.5,9.0,9.42,0.58,0.0,0.08,0.0,0.0,0.83,5.25,0.0,0.0,0.08,1.25,0.0,0.17,0.5,0.25,3.17,0.0,0.08,0.75,0.0,0.0,0.33,0.0,0.0,0.0,0.83,1.17,3.67,0.0,4.17,1.25,0.0,6.17,0.33,1.17,0.75,0.0,5.42,0.0,5.5,4.17,43.58,2.08,0.0,3.42,0.0,0.42,0.0,4.0,1.0,0.0,1.17,14.0,0.08,0.08,0.0,0.25,2.17,1.58,0.0,0.0,0.17,0.17,0.25,0.92,0.75,0.0,1.58,0.0,0.0,0.17,0.0,0.58,0.0,15.5,1.25,16.25,0.17,1.42,2.33,0.25,0.25
6,0.0,1.92,0.0,0.0,0.17,0.17,0.0,0.0,0.83,0.08,0.0,5.67,0.5,0.0,0.08,0.25,0.17,0.0,0.0,0.17,1.25,15.5,0.33,4.92,0.0,0.08,0.17,0.33,0.5,0.0,5.5,13.08,0.0,1.42,0.0,0.0,4.08,0.08,0.17,0.0,8.67,2.33,7.75,0.0,0.42,0.83,0.17,0.0,0.75,0.0,0.0,0.5,0.17,0.5,0.0,14.0,0.0,5.08,0.75,1.33,0.33,0.0,0.25,1.17,0.67,0.33,0.0,0.92,0.75,0.0,0.0,0.75,0.0,0.08,0.25,0.17,31.33,0.58,0.0,0.08,0.67,0.17,1.58,2.08,2.42,0.0,0.0,0.58,0.83,0.17,1.0,0.25,0.83,0.0,0.0,0.08,0.92,0.0,0.67,0.0,2.75,0.0,0.17,0.58,0.5,0.33,0.17,0.0,0.33,0.08,0.0,7.08,9.5,1.67,1.33,0.0,0.75,0.33,0.0,0.0,0.0,7.17,0.5,0.67,73.33,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08,0.08,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.33,1.42,0.0,0.0,0.0,12.17,1.08,0.17,0.42,0.0,0.0,0.0,0.08,0.25,0.0,0.0,11.42,0.17,9.08,0.08,0.33,0.75,0.25,0.25,0.0,4.33,0.25,0.0,0.0,3.42,0.0,0.42,0.17,0.5,0.0,0.0,4.75,3.08,0.25,0.0,0.0,0.08,0.0,0.08,1.08,0.0,0.0,0.0,0.33,0.0,0.0,0.67,0.17,0.92,0.0,0.17,0.42,0.0,0.0,0.33,0.17,0.0,0.42,0.25,0.42,0.67,0.08,1.25,0.17,0.0,2.75,0.75,0.17,0.42,0.0,1.58,0.0,1.92,2.58,28.75,0.67,0.0,2.17,0.0,0.33,0.0,2.58,0.25,0.0,0.5,6.5,0.08,0.0,0.0,0.5,1.5,0.58,0.0,0.0,0.58,0.25,0.0,0.17,0.08,0.0,0.5,0.0,0.17,0.5,0.08,0.0,0.0,6.83,0.42,5.33,0.25,0.08,1.17,0.58,0.0
7,0.0,1.83,0.0,0.0,0.17,1.5,0.0,0.0,0.17,0.25,0.17,10.58,0.83,0.08,1.5,0.0,0.08,0.08,0.08,0.17,1.67,32.5,0.5,13.25,0.08,0.75,0.42,1.33,1.17,0.0,14.0,42.58,0.0,1.83,0.0,0.0,11.0,0.0,0.42,0.0,26.58,2.5,23.33,0.08,2.25,1.42,0.83,0.0,0.0,0.0,0.0,0.42,0.25,5.58,0.08,40.92,0.0,20.33,1.25,3.17,0.92,0.08,0.42,0.83,4.75,1.5,0.17,4.58,0.75,0.0,0.08,0.25,0.0,1.0,1.33,0.42,89.08,1.5,0.0,0.17,1.92,0.08,1.67,6.17,2.33,0.0,0.0,1.25,3.0,2.83,2.92,0.17,0.58,0.0,0.0,0.5,2.0,0.0,1.17,0.0,4.75,0.0,0.58,1.25,2.92,0.5,0.92,0.0,0.75,0.42,0.0,16.92,25.33,3.42,0.42,0.08,1.0,1.25,0.92,0.0,0.17,12.75,0.0,1.25,146.33,0.0,0.75,0.08,0.25,0.0,0.58,0.0,0.0,0.0,0.67,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.33,0.0,0.0,0.0,3.0,4.08,0.0,0.0,0.0,29.0,3.67,1.67,0.5,0.0,0.42,0.0,0.33,0.83,0.0,0.0,28.92,1.25,13.25,0.0,1.0,1.5,1.25,0.25,0.0,7.58,1.08,0.0,0.0,3.5,0.08,0.17,1.17,0.58,0.0,0.25,8.33,8.92,0.17,0.0,0.08,0.25,0.0,3.08,3.08,0.0,0.0,0.08,1.08,0.17,0.17,0.67,0.17,2.17,0.0,0.75,1.0,0.0,0.0,0.5,0.08,0.0,0.08,0.75,2.17,5.08,0.33,5.42,0.58,0.0,9.0,1.83,1.33,0.42,0.0,4.92,0.0,4.75,5.08,71.92,3.67,0.0,3.67,0.08,0.42,0.17,7.42,0.92,0.0,0.5,20.17,0.0,0.08,0.0,1.08,2.33,1.58,0.0,0.0,0.0,0.58,0.0,0.58,0.83,0.0,0.92,0.0,0.0,0.83,0.08,0.25,0.0,29.42,1.42,17.5,0.08,0.83,4.25,0.67,0.25
8,0.0,3.5,0.0,0.0,0.17,1.25,0.0,0.0,0.08,0.08,0.5,10.83,0.83,0.0,0.0,0.17,0.0,0.17,0.0,0.08,0.83,32.42,0.33,10.58,0.0,0.25,0.17,2.0,0.83,0.0,12.75,43.17,0.0,2.25,0.25,0.0,8.33,0.08,0.08,0.0,20.83,4.33,10.17,0.0,2.17,0.92,0.58,0.17,0.17,0.08,0.0,0.58,0.25,3.0,0.0,46.08,0.0,12.67,2.25,4.33,0.67,0.08,0.67,0.75,3.08,0.83,0.0,2.33,0.67,0.0,0.0,0.33,0.0,0.83,1.58,0.58,75.17,1.33,0.0,0.33,3.58,0.08,1.83,3.67,1.92,0.0,0.0,1.33,3.0,4.83,4.58,0.83,0.5,0.0,0.0,0.25,1.33,0.08,1.5,0.0,10.33,0.0,1.0,0.92,1.92,0.92,2.17,0.0,0.75,0.25,0.0,19.42,23.67,4.17,0.83,0.0,1.5,0.75,0.42,0.0,0.75,14.75,0.42,2.0,131.92,0.0,0.75,0.08,0.17,0.0,0.08,0.0,0.0,0.0,0.42,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.08,5.83,0.08,0.25,0.0,0.0,0.0,4.08,3.42,0.0,0.08,0.0,25.17,5.5,0.92,0.92,0.0,0.17,0.0,0.17,0.67,0.0,0.0,28.58,1.33,11.58,0.0,1.17,1.5,0.5,0.0,0.0,10.83,0.5,0.0,0.0,4.58,0.0,0.08,0.42,0.42,0.0,0.58,16.5,9.08,0.25,0.0,0.42,0.25,0.0,2.75,8.58,0.08,0.0,0.0,1.17,0.17,0.17,0.33,0.0,1.08,0.0,0.42,0.83,0.0,0.0,0.33,0.5,0.0,0.67,1.0,2.17,1.75,0.08,3.92,0.67,0.0,7.33,0.67,2.0,0.92,0.0,5.08,0.0,6.25,1.58,57.0,1.42,0.0,2.33,0.08,0.5,0.0,5.58,0.58,0.0,0.58,25.0,0.0,0.08,0.0,0.67,3.08,1.17,0.0,0.0,0.08,0.5,0.0,0.58,1.25,0.0,2.08,0.08,0.0,0.42,0.08,0.25,0.0,15.33,1.92,17.75,0.33,1.67,3.42,1.33,0.08
9,0.0,2.92,0.0,0.0,0.08,2.08,0.0,0.0,0.0,0.42,0.5,7.33,0.33,0.08,0.08,0.0,0.42,0.42,0.08,0.0,0.75,45.33,0.5,17.5,0.08,0.67,0.0,1.25,0.75,0.0,12.58,39.75,0.0,1.58,0.33,0.0,10.33,0.17,0.17,0.0,19.33,2.17,15.58,0.0,2.25,0.75,0.08,0.08,0.0,0.0,0.0,0.42,1.25,4.58,0.0,20.08,0.25,10.42,3.5,2.5,0.33,0.0,0.08,0.42,7.17,0.92,0.08,1.75,2.17,0.0,0.0,0.0,0.0,1.25,1.67,0.08,56.83,1.17,0.08,0.5,1.75,0.08,2.58,3.58,2.33,0.0,0.0,1.75,3.92,1.42,4.08,0.33,0.92,0.08,0.0,0.42,1.5,0.0,0.75,0.08,7.83,0.0,0.33,1.92,1.42,0.75,0.83,0.0,0.67,0.08,0.0,18.5,26.92,3.5,0.92,0.08,2.17,1.0,0.58,0.0,0.0,11.58,0.08,2.75,125.08,0.0,0.58,0.0,0.0,0.0,0.33,0.08,0.08,0.0,0.58,0.0,0.0,0.08,0.0,0.33,0.0,0.0,0.08,7.17,0.08,0.17,0.0,0.0,0.0,5.33,3.58,0.0,0.0,0.0,22.75,2.67,0.83,0.67,0.08,0.83,0.33,0.08,1.25,0.08,0.0,19.92,1.83,13.0,0.0,1.92,1.25,0.67,0.17,0.0,8.5,0.83,0.08,0.0,4.92,0.17,0.25,0.25,0.67,0.0,0.67,13.17,8.83,1.17,0.0,0.08,0.08,0.0,0.92,2.83,0.0,0.08,0.0,1.25,0.0,0.33,1.83,0.25,2.5,0.0,0.83,1.33,0.0,0.0,1.0,0.08,0.08,0.83,0.92,1.25,2.08,0.17,3.5,0.67,0.0,5.92,1.42,1.58,0.42,0.0,5.0,0.0,3.75,2.17,46.33,1.42,0.08,3.08,0.0,0.42,0.5,7.08,0.5,0.0,2.0,18.17,0.0,0.17,0.0,0.83,3.08,0.33,0.0,0.0,0.08,0.17,0.0,0.58,1.25,0.0,2.25,0.0,0.0,0.75,0.08,0.42,0.0,18.83,0.33,12.08,0.58,0.75,3.08,0.58,0.42
10,0.0,1.92,0.0,0.0,0.0,0.42,0.0,0.0,0.25,0.08,0.17,3.0,0.67,0.0,0.0,0.25,0.17,0.0,0.0,0.08,1.42,19.42,0.33,4.92,0.0,0.25,0.08,1.33,0.33,0.0,4.42,15.25,0.0,3.58,0.42,0.0,6.17,0.08,0.0,0.0,5.0,0.08,7.5,0.0,1.08,0.08,0.08,0.0,0.42,0.08,0.0,0.17,0.17,0.42,0.0,23.25,0.5,2.58,0.17,2.33,0.42,0.0,0.17,0.17,1.25,0.67,0.0,0.17,0.58,0.0,0.0,0.08,0.0,0.08,0.33,0.67,27.5,0.42,0.0,0.0,0.25,0.08,1.0,1.58,2.0,0.0,0.0,0.17,0.5,1.17,3.0,1.33,0.5,0.0,0.0,0.08,0.67,0.0,0.5,0.0,2.17,0.0,0.0,0.83,1.42,0.25,0.08,0.0,1.0,0.17,0.0,15.5,14.08,1.0,0.58,0.0,0.67,0.08,0.42,0.08,0.0,4.58,0.25,0.33,59.75,0.0,0.83,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.17,0.0,0.0,0.0,2.17,0.33,0.25,0.0,0.0,0.0,0.42,1.67,0.0,0.0,0.0,7.25,1.17,1.58,0.17,0.0,0.33,0.0,0.08,0.25,0.5,0.08,7.42,0.17,2.58,0.0,0.5,1.25,0.0,0.58,0.0,3.5,0.92,0.0,0.0,1.33,0.0,0.25,0.25,0.5,0.08,0.0,4.83,5.25,0.08,0.0,0.0,0.0,0.0,0.42,4.08,0.0,0.0,0.0,0.42,0.0,0.08,0.33,0.08,0.83,0.08,0.58,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.58,0.92,0.83,0.08,0.33,1.08,0.0,3.33,0.67,0.25,0.17,0.0,3.0,0.0,1.17,1.33,22.25,0.67,0.0,0.92,0.0,0.0,0.0,1.33,0.58,0.0,0.08,7.0,0.0,0.0,0.0,0.5,2.25,0.25,0.0,0.0,0.0,0.0,0.08,0.33,0.25,0.0,0.58,0.0,0.67,0.08,0.0,0.08,0.0,7.75,0.33,6.0,0.08,0.08,1.92,0.08,0.0
