semana_epi,ABDON BATISTA,ABELARDO LUZ,AGROLÂNDIA,AGRONÔMICA,ALTO BELA VISTA,ANCHIETA,ANGELINA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARMAZÉM,ARROIO TRINTA,ARVOREDO,ASCURRA,ATALANTA,AURORA,BALNEÁRIO ARROIO DO SILVA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOCAINA DO SUL,BOM JESUS,BOM JESUS DO OESTE,BOM RETIRO,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRAÇO DO TROMBUDO,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DONA EMMA,DOUTOR PEDRINHO,ENTRE RIOS,ERMO,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GRÃO-PARÁ,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBIAM,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAIÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JACINTO MACHADO,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEBON RÉGIS,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MACIEIRA,MAFRA,MAJOR GERCINO,MAJOR VIEIRA,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MATOS COSTA,MELEIRO,MIRIM DOCE,MODELO,MONDAÍ,MONTE CASTELO,MORRO DA FUMAÇA,MORRO GRANDE,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PAINEL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PEDRAS GRANDES,PENHA,PERITIBA,PESCARIA BRAVA,PETROLÂNDIA,PINHALZINHO,PINHEIRO PRETO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA DO NORTE,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRAIA GRANDE,PRESIDENTE CASTELLO BRANCO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RIO DAS ANTAS,RIO DO CAMPO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANGÃO,SANTA CECÍLIA,SANTA HELENA,SANTA ROSA DO SUL,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SIDERÓPOLIS,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO CRISTÓVÃO DO SUL,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOSÉ DO CERRITO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO JOÃO DO SUL,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MARTINHO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREVISO,TREZE DE MAIO,TREZE TÍLIAS,TROMBUDO CENTRAL,TRÊS BARRAS,TUBARÃO,TUNÁPOLIS,TURVO,UNIÃO DO OESTE,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,WITMARSUM,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS
1,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,1.75,13.5,0.25,0.0,0.0,0.25,0.0,1.0,0.0,0.5,5.0,12.75,1.0,7.25,0.0,0.25,0.5,2.25,0.25,0.25,26.25,44.5,0.0,6.5,0.75,0.0,7.25,0.75,0.0,0.0,23.0,3.0,20.5,0.5,1.0,1.75,0.25,0.75,0.0,0.0,0.0,0.5,1.0,5.5,0.0,11.5,0.0,7.75,1.0,2.5,2.0,0.0,1.75,0.0,3.25,1.5,0.0,0.0,1.5,0.0,0.0,0.75,0.0,1.5,1.5,0.0,106.25,0.5,0.0,0.0,0.5,0.25,3.0,6.25,4.25,0.0,0.0,3.5,0.5,4.25,2.0,1.0,0.25,0.0,0.25,1.0,8.25,0.5,1.25,0.0,9.0,0.0,0.5,0.0,1.5,1.25,0.25,0.0,1.5,0.0,0.0,13.5,21.0,0.75,1.25,0.25,1.75,0.5,1.75,0.0,0.0,22.75,0.0,3.0,246.5,0.0,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,1.75,0.0,0.0,0.0,0.0,0.25,0.75,0.0,1.0,0.0,0.0,0.0,6.25,2.0,0.0,0.0,0.0,25.75,7.0,0.5,0.75,0.0,0.25,0.25,0.25,1.5,1.0,0.0,32.75,0.5,18.0,0.25,2.0,1.75,1.0,0.0,0.0,19.5,3.0,0.0,0.0,3.25,0.0,0.0,0.75,0.5,0.0,1.0,8.5,4.75,0.25,0.0,0.75,0.0,0.0,0.5,2.25,0.0,0.0,0.5,4.5,0.0,0.0,0.25,0.25,3.75,0.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.25,3.25,0.5,6.75,0.75,0.0,8.25,1.75,1.75,0.75,0.0,5.5,0.0,4.5,17.5,77.25,0.75,0.0,6.75,0.0,0.25,0.25,4.75,0.75,0.0,0.75,25.75,0.25,0.25,0.0,0.25,3.75,3.25,0.0,0.0,0.0,1.25,0.0,2.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.75,0.0,17.25,1.0,11.5,0.0,2.0,2.25,0.0,0.25
2,0.0,3.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.25,0.0,16.25,0.0,0.0,1.0,0.25,0.75,0.25,0.0,0.25,1.0,21.0,0.0,7.0,0.0,0.5,0.25,1.75,0.75,0.0,21.0,75.0,0.0,5.75,0.0,0.25,10.0,0.0,0.0,0.0,37.5,3.0,23.25,0.25,3.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25,0.0,23.5,0.0,19.25,0.25,3.75,0.75,0.0,0.25,0.25,2.0,1.0,0.75,2.5,1.25,0.0,0.0,0.5,0.0,0.5,1.75,0.0,58.25,2.25,0.0,0.25,0.5,0.0,2.0,6.0,2.0,0.0,0.0,1.5,1.0,2.25,1.0,0.5,0.25,0.0,0.0,0.5,0.5,0.0,0.5,0.0,6.25,1.25,0.25,0.0,1.25,0.5,1.75,0.25,0.75,0.25,0.0,9.0,24.5,3.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,16.75,0.75,1.5,267.5,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.25,0.0,0.0,0.0,0.0,5.5,1.25,0.0,0.0,0.0,36.5,5.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,39.5,0.25,17.25,0.0,0.25,1.75,0.75,0.0,0.0,21.0,0.25,0.0,0.0,2.5,0.0,0.25,1.0,0.25,0.0,0.0,16.5,4.25,0.0,0.0,0.0,0.0,0.25,1.0,7.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.5,0.75,1.75,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,4.0,0.0,0.0,5.0,0.75,2.75,0.75,0.0,2.75,0.0,3.75,3.5,42.5,0.25,0.0,2.25,0.0,0.0,0.0,4.25,0.25,0.0,3.25,8.25,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.25,0.0,0.25,0.0,18.5,1.0,25.75,0.0,0.25,5.0,0.25,0.0
3,0.0,4.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.75,25.5,1.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.25,37.5,0.5,32.25,0.0,0.75,0.25,1.75,1.0,0.0,36.75,132.5,0.0,4.75,0.75,0.0,24.75,0.0,0.25,0.0,68.25,2.75,52.25,0.25,0.75,1.0,1.5,0.0,0.5,0.0,0.0,0.75,0.0,4.75,0.0,28.0,0.0,56.0,1.25,3.25,2.0,0.0,1.0,0.75,2.0,2.75,0.0,6.75,1.0,0.25,0.0,0.75,0.25,0.0,6.25,0.25,129.75,1.75,0.0,0.0,1.5,0.25,10.5,6.5,3.75,0.0,0.0,3.25,4.75,4.75,5.5,0.75,1.5,0.0,0.0,0.75,4.25,0.0,2.0,0.0,17.25,0.0,1.0,3.0,3.5,1.0,0.75,1.25,1.5,0.0,0.0,20.75,58.5,6.5,2.5,0.25,2.0,1.25,2.5,0.25,0.0,32.25,0.0,2.0,392.5,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.25,0.25,0.0,1.5,0.0,0.75,0.0,0.25,0.0,9.75,0.75,0.25,0.0,0.0,0.0,4.75,6.75,0.25,0.0,0.0,58.0,6.0,1.75,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,74.75,1.25,24.0,0.0,1.75,4.25,1.0,0.0,0.0,20.75,3.25,0.25,0.0,5.75,0.0,0.5,0.75,0.75,0.0,0.75,19.0,7.75,0.5,0.0,0.75,0.25,0.0,0.75,12.75,0.0,0.0,0.25,0.75,0.25,0.0,2.0,0.0,3.25,0.0,0.0,2.25,0.0,0.0,0.75,0.5,0.0,0.0,4.0,2.25,2.25,0.0,14.0,1.75,0.0,13.5,1.0,2.5,1.5,0.0,12.0,0.0,7.5,11.75,53.0,2.75,0.0,6.25,0.0,1.0,0.0,9.0,2.0,0.0,0.25,26.5,0.0,0.0,0.0,1.0,5.5,1.0,0.0,0.0,0.25,0.0,0.0,0.0,2.25,0.0,0.5,0.0,0.0,0.25,0.0,1.25,0.0,27.5,1.25,20.75,0.0,3.25,4.5,0.25,1.25
4,0.0,10.25,0.0,0.0,0.0,0.75,0.0,0.0,0.5,1.0,0.25,25.5,1.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,6.5,43.0,1.25,35.75,0.0,1.0,0.25,3.75,1.0,0.5,33.75,133.5,0.0,2.25,0.25,0.0,29.25,0.25,0.75,0.0,86.75,4.0,35.75,0.0,4.75,1.25,0.75,0.25,0.25,0.0,0.0,0.75,1.0,7.75,0.0,32.25,0.0,75.75,1.0,3.75,0.75,0.0,1.0,3.75,7.5,2.25,0.0,4.75,1.5,0.0,0.0,0.0,0.0,0.25,3.0,0.25,177.5,0.5,0.25,0.0,1.25,0.5,6.5,10.75,4.5,0.25,0.0,3.5,2.0,6.75,4.5,0.25,1.5,0.0,0.0,1.0,5.25,0.0,1.75,0.0,19.5,0.0,0.25,4.0,2.75,2.25,1.5,0.5,2.0,0.75,0.25,28.25,48.75,6.75,2.0,0.0,1.75,1.75,4.75,0.0,0.0,38.75,0.25,4.0,345.0,0.0,1.5,0.25,0.0,0.0,0.5,0.0,0.0,0.0,2.75,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,8.75,0.0,1.25,0.0,0.0,0.0,5.0,3.5,0.0,0.0,0.0,57.75,7.25,1.5,1.5,0.0,0.5,0.5,0.0,0.25,0.75,0.0,72.5,2.75,29.0,0.25,3.5,2.0,1.5,0.25,0.0,21.5,2.5,0.0,0.25,4.0,0.25,1.25,2.0,1.75,0.0,0.5,26.0,12.5,0.0,0.0,0.5,0.5,0.0,1.25,6.25,0.0,0.0,0.0,3.0,0.0,0.25,1.0,0.0,3.75,0.0,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,4.0,2.75,0.0,8.5,1.0,0.0,16.25,1.25,2.0,1.25,0.0,12.25,0.0,14.0,9.25,111.5,2.5,0.0,7.75,0.25,0.75,0.0,9.25,3.5,0.0,2.0,33.0,0.0,0.25,0.0,0.5,7.25,2.25,0.0,0.0,0.75,0.75,0.0,0.5,1.75,0.0,2.25,0.0,0.0,0.75,0.0,0.75,0.0,31.25,2.75,24.75,0.0,3.25,3.5,0.25,1.0
5,0.0,11.25,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.25,1.0,21.75,0.5,0.0,0.5,0.0,0.75,0.0,0.0,0.25,2.0,51.75,0.25,37.5,0.0,1.5,0.5,4.25,2.25,0.0,29.75,96.25,0.0,1.0,0.25,0.0,27.75,0.0,0.25,0.0,41.0,3.5,35.0,0.25,1.5,0.75,0.75,0.0,0.25,0.0,0.0,4.0,0.5,5.5,0.0,16.5,0.0,38.0,2.75,4.0,0.0,0.0,1.0,0.0,18.0,2.5,0.25,3.75,1.25,0.0,0.25,0.0,0.0,0.5,2.0,0.0,128.0,3.25,0.25,0.25,1.5,0.25,8.5,12.75,8.5,0.0,0.25,2.5,5.5,6.0,4.0,2.5,2.75,0.25,0.0,1.5,12.25,0.0,1.5,0.0,16.5,0.0,0.0,2.75,1.25,1.75,1.25,0.75,2.25,0.75,0.0,30.25,32.25,2.5,2.0,0.0,4.0,0.75,1.25,0.25,0.0,28.75,2.0,1.25,352.0,0.0,1.0,0.0,0.25,0.25,1.25,0.0,0.0,0.0,2.25,0.75,0.0,1.25,0.0,0.75,0.0,0.0,0.25,7.0,0.0,0.5,0.0,0.0,0.0,2.25,7.25,0.0,0.0,0.0,47.5,6.5,1.0,3.0,0.0,2.75,0.0,0.25,1.5,0.5,0.0,54.0,6.5,2.0,0.0,5.5,0.75,0.25,0.25,0.0,19.75,3.0,0.0,0.25,10.25,0.25,1.25,2.25,0.75,0.0,1.5,14.25,16.0,1.75,0.0,0.25,0.0,0.0,0.75,10.0,0.0,0.0,0.25,3.75,0.0,0.5,1.0,0.75,9.25,0.0,0.0,2.25,0.0,0.0,1.0,0.0,0.0,0.0,2.5,3.5,5.0,0.0,11.25,1.75,0.0,17.25,0.75,1.75,1.25,0.0,14.25,0.0,8.25,12.25,103.25,3.25,0.0,10.25,0.0,1.25,0.0,6.5,2.5,0.0,3.5,17.25,0.0,0.25,0.0,0.75,4.5,4.0,0.0,0.0,0.5,0.5,0.75,2.25,2.0,0.0,2.0,0.0,0.0,0.5,0.0,1.25,0.0,18.0,3.5,21.5,0.5,4.25,3.25,0.0,0.75
6,0.0,1.5,0.0,0.0,0.5,0.25,0.0,0.0,2.5,0.25,0.0,17.0,1.0,0.0,0.25,0.75,0.5,0.0,0.0,0.5,3.75,14.75,1.0,12.25,0.0,0.25,0.5,0.75,0.25,0.0,14.0,35.75,0.0,2.5,0.0,0.0,8.5,0.25,0.5,0.0,21.25,4.5,5.25,0.0,1.0,0.25,0.5,0.0,2.25,0.0,0.0,0.5,0.5,1.5,0.0,5.0,0.0,9.0,1.5,1.5,1.0,0.0,0.75,2.5,0.75,0.5,0.0,2.25,1.25,0.0,0.0,2.25,0.0,0.25,0.5,0.5,72.25,1.5,0.0,0.0,0.25,0.5,4.5,5.75,7.0,0.0,0.0,1.75,1.0,0.5,0.5,0.25,2.5,0.0,0.0,0.25,2.75,0.0,2.0,0.0,7.5,0.0,0.5,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,6.5,13.25,2.0,4.0,0.0,1.75,0.5,0.0,0.0,0.0,20.75,1.5,2.0,190.75,0.0,1.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,3.25,3.0,0.0,0.0,0.0,14.75,2.25,0.0,1.25,0.0,0.0,0.0,0.25,0.75,0.0,0.0,27.25,0.5,15.0,0.25,0.5,0.25,0.75,0.25,0.0,12.0,0.75,0.0,0.0,3.5,0.0,1.25,0.0,1.5,0.0,0.0,6.25,4.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.5,2.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,0.25,0.5,0.25,0.0,8.0,1.75,0.25,0.5,0.0,2.0,0.0,1.0,7.0,56.75,0.0,0.0,6.5,0.0,0.25,0.0,2.5,0.5,0.0,1.25,2.75,0.0,0.0,0.0,0.5,4.0,1.75,0.0,0.0,1.75,0.75,0.0,0.25,0.0,0.0,1.25,0.0,0.5,0.75,0.25,0.0,0.0,7.0,0.5,4.75,0.75,0.25,2.0,0.25,0.0
7,0.0,3.75,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.5,30.5,1.75,0.25,4.5,0.0,0.25,0.25,0.25,0.5,5.0,42.0,1.25,37.0,0.25,1.5,1.25,3.75,2.5,0.0,38.5,120.5,0.0,3.0,0.0,0.0,29.75,0.0,0.75,0.0,75.5,6.25,55.0,0.25,4.0,1.5,2.5,0.0,0.0,0.0,0.0,0.5,0.75,16.75,0.25,27.0,0.0,57.0,1.5,3.5,1.5,0.25,1.25,0.75,10.0,4.0,0.0,10.25,0.5,0.0,0.25,0.75,0.0,3.0,4.0,0.5,227.5,3.25,0.0,0.5,2.0,0.0,5.0,17.75,6.75,0.0,0.0,3.75,5.0,7.5,6.25,0.25,1.75,0.0,0.0,1.5,6.0,0.0,2.5,0.0,13.5,0.0,1.5,1.75,4.5,1.5,0.75,0.0,2.25,1.0,0.0,20.0,53.0,5.75,1.25,0.25,2.75,2.0,2.75,0.0,0.0,35.75,0.0,3.75,400.0,0.0,1.25,0.25,0.25,0.0,1.0,0.0,0.0,0.0,2.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.75,0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,56.75,8.25,1.25,1.5,0.0,1.25,0.0,1.0,1.0,0.0,0.0,82.0,3.0,23.75,0.0,2.25,1.25,2.0,0.75,0.0,19.5,3.25,0.0,0.0,6.5,0.25,0.5,1.0,1.25,0.0,0.75,13.25,15.25,0.5,0.0,0.25,0.75,0.0,3.25,7.25,0.0,0.0,0.0,3.25,0.5,0.25,2.0,0.5,6.5,0.0,1.75,2.75,0.0,0.0,1.5,0.0,0.0,0.25,1.5,6.5,5.25,1.0,14.5,1.0,0.0,26.25,1.25,2.75,0.75,0.0,14.5,0.0,8.0,15.25,176.5,3.25,0.0,10.75,0.25,0.75,0.25,9.25,2.75,0.0,0.75,24.75,0.0,0.25,0.0,2.25,6.5,4.5,0.0,0.0,0.0,1.75,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.5,0.25,0.5,0.0,41.75,3.25,27.5,0.25,2.5,3.0,1.25,0.75
8,0.0,10.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,1.5,31.75,2.0,0.0,0.0,0.5,0.0,0.5,0.0,0.25,2.5,41.25,0.5,29.5,0.0,0.5,0.5,5.5,1.25,0.0,34.25,121.0,0.0,3.75,0.0,0.0,22.75,0.25,0.25,0.0,58.75,2.5,13.25,0.0,4.75,2.75,1.75,0.5,0.25,0.25,0.0,0.75,0.0,7.5,0.0,12.75,0.0,33.75,3.25,3.25,0.75,0.25,2.0,2.0,3.5,2.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.5,4.0,1.5,194.75,2.75,0.0,1.0,1.0,0.0,5.25,9.75,5.75,0.0,0.0,3.75,3.5,13.0,9.5,0.75,1.5,0.0,0.0,0.75,4.0,0.25,3.25,0.0,30.0,0.0,3.0,1.75,2.75,2.5,1.0,0.0,2.0,0.25,0.0,26.0,49.75,8.5,1.0,0.0,4.25,2.0,1.25,0.0,0.0,40.25,1.25,5.0,361.25,0.0,2.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,1.25,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.25,4.5,0.25,0.5,0.0,0.0,0.0,3.75,7.0,0.0,0.25,0.0,50.0,6.5,0.0,2.25,0.0,0.25,0.0,0.25,1.75,0.0,0.0,79.0,3.0,19.25,0.0,1.5,2.5,1.5,0.0,0.0,30.5,1.5,0.0,0.0,5.75,0.0,0.25,1.25,1.25,0.0,1.75,26.0,16.0,0.75,0.0,1.25,0.75,0.0,0.75,8.25,0.25,0.0,0.0,3.5,0.5,0.5,0.75,0.0,3.25,0.0,0.75,2.5,0.0,0.0,1.0,0.0,0.0,0.5,2.5,5.75,2.5,0.25,9.25,1.0,0.0,21.75,1.0,4.0,0.5,0.0,13.0,0.0,8.0,4.75,143.5,3.0,0.0,6.75,0.0,1.25,0.0,10.75,1.5,0.0,1.75,21.25,0.0,0.25,0.0,1.25,6.0,3.5,0.0,0.0,0.25,1.5,0.0,1.25,3.25,0.0,3.25,0.25,0.0,1.0,0.25,0.25,0.0,25.25,3.25,27.5,1.0,5.0,3.5,0.5,0.25
9,0.0,8.75,0.0,0.0,0.25,1.25,0.0,0.0,0.0,1.0,1.5,21.5,0.5,0.25,0.25,0.0,1.25,1.25,0.25,0.0,2.25,75.25,1.5,50.5,0.0,1.0,0.0,3.0,1.5,0.0,32.5,115.5,0.0,3.25,0.5,0.0,24.5,0.5,0.5,0.0,50.25,3.5,36.0,0.0,4.25,2.25,0.25,0.25,0.0,0.0,0.0,0.5,1.25,12.75,0.0,22.75,0.25,27.25,10.0,4.75,0.25,0.0,0.25,0.75,19.0,2.5,0.25,4.0,4.0,0.0,0.0,0.0,0.0,3.75,3.75,0.25,158.25,2.5,0.25,1.25,0.5,0.25,7.75,10.75,7.0,0.0,0.0,5.25,8.0,3.75,10.75,0.5,2.75,0.25,0.0,1.0,4.5,0.0,2.0,0.25,23.25,0.0,1.0,5.5,3.0,2.25,2.25,0.0,1.25,0.25,0.0,41.75,62.25,6.0,1.75,0.25,6.5,2.25,1.75,0.0,0.0,33.5,0.0,7.25,343.5,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,1.75,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.25,12.5,0.25,0.25,0.0,0.0,0.0,13.75,8.5,0.0,0.0,0.0,56.0,5.25,0.5,2.0,0.25,1.5,1.0,0.25,3.75,0.25,0.0,55.25,5.0,20.75,0.0,4.5,3.0,2.0,0.5,0.0,22.5,2.5,0.25,0.0,10.25,0.5,0.75,0.5,2.0,0.0,2.0,32.25,17.25,3.5,0.0,0.25,0.25,0.0,0.75,6.75,0.0,0.25,0.0,3.5,0.0,0.75,5.5,0.75,7.25,0.0,0.25,4.0,0.0,0.0,3.0,0.25,0.25,1.75,2.0,3.75,5.0,0.5,9.0,1.0,0.0,17.25,2.75,3.0,0.75,0.0,13.5,0.0,6.5,6.5,117.0,3.25,0.25,9.0,0.0,0.75,1.5,12.75,0.75,0.0,5.75,27.0,0.0,0.25,0.0,2.25,7.25,1.0,0.0,0.0,0.0,0.5,0.0,1.0,3.75,0.0,2.5,0.0,0.0,2.0,0.25,1.0,0.0,25.75,1.0,18.75,1.75,2.25,7.25,0.0,1.0
10,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,8.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,4.0,14.75,1.0,10.0,0.0,0.25,0.25,3.75,1.0,0.0,11.0,40.0,0.0,5.25,0.0,0.0,16.25,0.25,0.0,0.0,11.0,0.0,12.25,0.0,1.25,0.0,0.25,0.0,1.25,0.0,0.0,0.25,0.25,1.25,0.0,22.0,0.0,4.5,0.0,2.75,0.25,0.0,0.5,0.25,2.0,1.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,65.75,1.0,0.0,0.0,0.5,0.0,2.75,4.5,6.0,0.0,0.0,0.5,0.75,2.25,2.5,0.0,1.5,0.0,0.0,0.25,2.0,0.0,1.25,0.0,6.0,0.0,0.0,1.0,0.5,0.75,0.0,0.0,3.0,0.25,0.0,15.0,18.75,2.0,1.75,0.0,1.75,0.0,1.25,0.25,0.0,12.25,0.0,1.0,149.0,0.0,1.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,3.5,1.0,0.25,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15.25,2.25,2.0,0.5,0.0,1.0,0.0,0.25,0.5,1.5,0.0,20.5,0.25,3.0,0.0,0.5,0.0,0.0,1.25,0.0,9.5,2.75,0.0,0.0,1.5,0.0,0.0,0.25,1.5,0.25,0.0,9.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.25,2.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.75,2.5,0.25,1.0,1.75,0.0,8.75,0.75,0.5,0.5,0.0,7.5,0.0,2.75,3.5,46.5,0.5,0.0,2.75,0.0,0.0,0.0,2.75,1.0,0.0,0.0,9.25,0.0,0.0,0.0,0.5,5.25,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,1.75,0.0,1.75,0.25,0.0,0.25,0.0,10.0,0.75,6.0,0.25,0.25,0.75,0.25,0.0
