ABDON BATISTA,ABELARDO LUZ,ALFREDO WAGNER,ALTO BELA VISTA,ANCHIETA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARROIO TRINTA,ARVOREDO,ASCURRA,AURORA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JARDIM DA SERRA,BOM JESUS,BOM JESUS DO OESTE,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DOUTOR PEDRINHO,ENTRE RIOS,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GRÃO PARÁ,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEOBERTO LEAL,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MAFRA,MAJOR GERCINO,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MODELO,MONDAÍ,MORRO DA FUMAÇA,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PENHA,PERITIBA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RANCHO QUEIMADO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANTA HELENA,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO CRISTOVÃO DO SUL,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREZE TÍLIAS,TROMBUDO CENTRAL,TUBARÃO,TUNÁPOLIS,UNIÃO DO OESTE,URUBICI,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS,semana
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,0.0,-4.36,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,-0.36,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,-7.82,0.0,-0.09,0.0,0.0,0.0,0.0,-0.09,0.0,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0,-5.64,-0.27,-1.18,0.0,-0.09,-0.09,0.0,0.0,0.0,-0.27,0.0,0.0,-17.18,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,-1.27,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,-1.09,0.0,-0.09,0.0,0.0,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.09,0.0,-7.27,0.0,0.0,0.0,0.0,0.0,-0.09,-0.82,0.0,-1.64,0.0,0.0,0.0,-0.09,0.0,0.0,-0.09,-13.18,0.0,-0.18,0.0,-0.09,0.0,-0.09,-0.82,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.27,0.0,-0.36,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-7.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-5.27,-0.18,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,-28.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.55,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-2.09,0.0,-4.64,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.55,-1.09,-0.09,-0.27,0.0,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,-3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,2014-01-12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.82,0.0,-8.36,0.0,0.0,0.0,0.0,0.0,-0.09,-0.91,0.0,-0.91,0.0,0.0,0.0,-0.82,0.0,0.0,0.0,-19.64,0.0,-0.09,0.0,-0.55,0.0,0.0,-1.36,-0.09,-1.45,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-1.09,0.0,-0.36,-0.09,-0.36,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,-0.18,-0.09,0.0,0.0,0.0,0.0,-7.64,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.09,-0.18,0.0,0.0,-0.09,-0.09,-0.09,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-7.64,-0.36,-2.09,-0.36,0.0,-0.36,0.0,0.0,0.0,-1.18,0.0,0.0,-35.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36,0.0,-0.09,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.45,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,-3.36,0.0,-5.55,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.09,0.0,-0.18,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.82,-2.36,0.0,-0.18,0.0,-0.18,-0.09,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,-3.27,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,2014-01-19
0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-2.09,0.0,-14.0,0.0,0.0,0.0,-0.09,0.0,-0.18,-1.09,0.0,-2.36,0.0,0.0,0.0,-0.45,-0.55,0.0,-0.18,-33.45,0.0,-0.36,0.0,-1.45,0.0,-0.09,-1.45,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36,0.0,-0.55,0.0,-0.36,-0.09,0.0,-0.09,0.0,-0.18,0.0,0.0,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0,-8.91,0.0,0.0,0.0,0.0,0.0,-0.18,-0.27,-0.09,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-0.73,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-24.64,-0.45,-2.91,-0.55,0.0,-0.91,0.0,0.0,0.0,-0.91,0.0,0.0,-50.18,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,-1.64,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-15.82,0.0,-0.18,-0.09,0.0,0.0,0.0,0.0,-3.27,0.0,-10.18,0.0,0.0,0.0,0.0,-0.09,-0.27,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91,-6.82,-0.09,-0.55,0.0,-0.09,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,-5.55,0.0,0.0,-0.09,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-0.09,0.0,0.0,-0.36,0.0,0.0,2014-01-26
0.0,-0.27,0.0,0.0,0.0,0.0,0.0,-3.18,0.0,-14.45,0.0,0.0,0.0,0.0,0.0,-0.18,-2.27,0.0,-7.73,0.0,0.0,0.0,-1.82,-2.73,0.0,-0.09,-53.55,0.0,-0.36,0.0,-1.73,0.0,0.0,-2.73,0.0,-2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-2.73,0.0,-0.82,0.0,-0.91,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,-0.64,-0.82,0.0,0.0,0.0,0.0,-0.09,-0.09,-0.18,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.45,0.0,-0.09,0.0,0.0,0.0,0.0,-49.64,-1.27,-4.36,-0.45,0.0,-2.09,0.0,0.0,0.0,-2.73,0.0,-0.09,-113.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.09,0.0,-0.18,-0.36,-0.36,0.0,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.91,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,-4.91,0.0,-17.36,0.0,0.0,-0.18,0.0,-0.09,-1.36,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-1.36,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.45,-5.0,-1.64,-1.45,0.0,-0.18,-0.27,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,-7.73,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,2014-02-02
0.0,-0.55,0.0,0.0,0.0,0.0,0.0,-4.36,0.0,-23.64,0.0,0.0,0.0,0.0,0.0,-0.64,-3.0,0.0,-6.91,0.0,0.0,0.0,-2.36,-3.36,0.0,-0.27,-104.73,0.0,-0.09,0.0,-3.45,0.0,0.0,-5.64,-0.45,-6.73,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.0,0.0,-9.73,0.0,-1.09,0.0,-1.64,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-1.27,-0.27,0.0,0.0,0.0,0.0,-0.09,-21.91,-0.18,0.0,0.0,0.0,0.0,-0.45,-1.18,0.0,0.0,0.0,0.0,-0.27,-0.18,-0.64,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-3.36,0.0,0.0,-2.18,-0.09,0.0,-0.09,0.0,0.0,0.0,-95.0,-2.55,-10.45,-2.64,-0.09,-3.27,0.0,0.0,0.0,-4.18,0.0,0.0,-186.36,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55,0.0,0.0,0.0,-0.64,0.0,-6.45,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,-24.82,0.0,-0.73,0.0,0.0,0.0,0.0,0.0,-12.64,0.0,-20.27,0.0,0.0,-0.18,0.0,0.0,-1.09,0.0,0.0,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.91,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,-1.0,0.0,-3.36,-0.55,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,-6.55,-6.55,-1.64,-0.91,0.0,-0.45,-0.45,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-13.36,-0.27,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,-0.18,0.0,0.0,-1.18,0.0,0.0,2014-02-09
0.0,-1.0,0.0,-0.09,-0.09,0.0,-0.09,-5.18,0.0,-32.91,0.0,0.0,0.0,-0.27,0.0,-0.36,-6.64,0.0,-7.64,0.0,0.0,0.0,-4.36,-7.0,0.0,-0.27,-147.91,0.0,-0.91,0.0,-7.09,0.0,-0.27,-9.09,-0.27,-8.55,0.0,-0.36,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-1.27,0.0,0.0,-10.91,0.0,-4.27,0.0,-1.64,0.0,0.0,-0.09,0.0,-0.18,0.0,0.0,-0.64,-0.64,0.0,0.0,0.0,0.0,0.0,-29.45,-0.36,0.0,0.0,0.0,0.0,-1.09,-1.18,-0.18,0.0,0.0,-0.09,-1.27,-0.18,-1.18,0.0,0.0,0.0,0.0,-1.36,0.0,-0.09,0.0,-4.73,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.27,-2.82,-13.45,-1.91,0.0,-4.73,0.0,0.0,0.0,-6.91,0.0,-0.09,-309.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.91,0.0,0.0,0.0,-0.73,0.0,-15.0,-0.36,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,-24.18,0.0,-1.27,0.0,0.0,0.0,0.0,0.0,-15.64,0.0,-24.09,0.0,-0.09,-0.18,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,-0.18,0.0,0.0,-0.36,-2.36,0.0,0.0,0.0,-0.45,0.0,0.0,-0.09,0.0,-0.82,0.0,-3.0,-0.45,0.0,0.0,0.0,0.0,0.0,-0.73,0.0,0.0,-9.09,-9.64,-2.45,-0.91,0.0,-0.09,-0.18,-0.09,0.0,-1.73,0.0,-0.09,0.0,0.0,-15.09,-0.18,-0.09,0.0,-0.09,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.55,0.0,0.0,-1.27,0.0,0.0,2014-02-16
0.0,-5.18,0.0,0.0,0.0,0.0,0.0,-5.73,0.0,-37.91,-0.09,0.0,0.0,-0.09,0.0,-0.64,-14.82,0.0,-15.73,0.0,0.0,0.0,-5.09,-5.18,0.0,-0.73,-209.27,0.0,-1.27,0.0,-7.0,0.0,-0.09,-14.18,-1.0,-9.55,0.0,-0.27,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-29.91,0.0,-10.0,0.0,-4.18,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,-2.45,-0.18,0.0,-0.09,0.0,0.0,-0.09,-41.91,-0.09,0.0,-0.09,0.0,-0.09,-1.91,-2.18,-0.09,-0.09,0.0,-0.09,-6.0,-0.18,-0.55,-0.18,-0.09,0.0,0.0,-0.82,0.0,-0.09,0.0,-8.64,0.0,0.0,-7.73,0.0,-0.18,-0.27,0.0,0.0,0.0,-157.45,-3.18,-11.55,-3.27,0.0,-12.0,0.0,0.0,0.0,-16.09,0.0,0.0,-434.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-16.82,0.0,0.0,-0.45,-4.0,0.0,-15.18,-0.18,0.0,-1.09,0.0,-0.09,0.0,0.0,0.0,0.0,-32.73,0.0,-4.91,0.0,0.0,-0.18,-0.09,0.0,-12.82,0.0,-31.18,0.0,-0.09,-0.73,0.0,0.0,-4.18,0.0,-0.09,0.0,0.0,-0.09,-0.45,0.0,0.0,-0.27,-0.27,0.0,0.0,0.0,-6.27,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-0.18,-2.64,0.0,-8.73,-3.64,0.0,0.0,0.0,0.0,0.0,-1.27,0.0,0.0,-17.55,-18.27,-7.64,-0.45,0.0,-0.55,-1.27,0.0,-0.18,-2.91,0.0,0.0,0.0,-0.09,-17.82,-0.27,-0.18,0.0,-0.18,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.64,0.0,-1.09,0.0,0.0,-2.64,0.0,0.0,2014-02-23
0.0,-7.64,0.0,0.0,-0.18,0.0,0.0,-5.36,0.0,-35.45,0.0,0.0,0.0,-0.27,0.0,-0.27,-21.18,0.0,-9.36,0.0,0.0,0.0,-7.45,-5.27,0.0,-1.18,-266.09,0.0,-1.64,0.0,-9.09,0.0,-0.55,-16.55,-0.91,-12.82,-0.09,-1.18,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,-3.55,0.0,0.0,-54.36,0.0,-31.0,-0.09,-9.55,0.0,0.0,-0.09,0.0,-0.45,0.0,-0.09,-1.82,-0.91,0.0,-0.09,0.0,-0.09,-0.91,-61.55,-1.55,0.0,0.0,-0.91,-0.09,-2.82,-3.0,-0.09,0.0,0.0,-0.09,-11.73,-0.09,-2.09,-0.18,-0.09,0.0,0.0,-1.0,0.0,-0.18,0.0,-15.09,0.0,0.0,-18.73,-0.27,-0.36,-0.73,0.0,0.0,0.0,-106.55,-7.18,-16.55,-5.36,0.0,-16.73,0.0,0.0,0.0,-24.91,0.0,0.0,-485.91,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-33.82,-0.09,-0.09,-0.09,-5.73,0.0,-23.27,-0.36,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,-52.73,0.0,-13.73,0.0,0.0,0.0,-0.09,0.0,-13.18,-0.09,-23.82,0.0,-0.09,-0.73,0.0,0.0,-7.18,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,-0.09,-0.09,0.0,-0.27,-0.09,-6.73,0.0,0.0,0.0,-0.36,0.0,-0.27,0.0,-0.55,-4.18,0.0,-14.45,-2.55,0.0,0.0,-0.09,0.0,0.0,-2.27,0.0,0.0,-22.27,-27.27,-11.82,-0.91,0.0,-0.91,-1.45,-0.18,-0.27,-8.0,0.0,0.0,0.0,-0.27,-21.91,-0.18,-0.09,0.0,-0.09,-0.45,0.0,0.0,0.0,0.0,-0.09,0.0,-0.18,-13.55,-0.18,-3.27,0.0,0.0,-3.18,0.0,0.0,2014-03-02
0.0,-13.0,0.0,0.0,-0.36,0.0,0.0,-2.36,0.0,-38.09,-0.09,-0.09,0.0,-2.64,0.0,-0.73,-37.91,0.0,-17.27,-0.09,0.0,0.0,-8.91,-3.36,0.0,-1.18,-299.45,0.0,-2.64,0.0,-13.64,-0.09,-1.36,-28.36,-4.73,-10.45,-0.09,-1.82,-0.09,0.0,0.0,-0.91,0.0,0.0,0.0,-3.82,0.0,0.0,-45.73,0.0,-34.55,-0.09,-10.18,0.0,0.0,-0.18,0.0,-0.55,0.0,0.0,-1.27,-1.18,0.0,-0.27,0.0,0.0,-0.27,-82.0,-2.55,0.0,0.0,-0.36,0.0,-3.73,-5.0,-0.18,0.0,0.0,-0.64,-13.09,-0.36,-4.45,-0.18,-0.18,0.0,0.0,-0.91,0.0,-0.27,-0.09,-24.18,0.0,-0.18,-13.18,-0.36,-0.18,-1.0,0.0,0.0,0.0,-131.64,-12.45,-14.27,-8.55,0.0,-11.82,-0.09,0.0,-0.09,-33.73,0.0,0.0,-631.36,0.0,0.0,0.0,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.09,0.0,0.0,-36.55,-0.18,0.0,0.0,-10.18,0.0,-28.55,-0.73,-0.09,-2.73,0.0,-0.09,0.0,0.0,0.0,0.0,-75.45,-0.18,-12.45,0.0,0.0,0.0,0.0,0.0,-10.64,-0.36,-18.55,0.0,-0.18,-0.09,0.0,-0.18,-8.0,-0.09,-0.09,0.0,0.0,0.0,-1.36,0.0,0.0,0.0,0.0,-0.09,-0.09,-0.09,-4.55,0.0,-0.09,0.0,-1.18,0.0,-0.82,0.0,-0.82,-2.0,0.0,-16.27,-0.82,0.0,0.0,-0.09,0.0,0.0,-4.64,0.0,0.0,-32.91,-44.91,-14.36,-2.64,0.0,-0.55,-1.55,-0.09,0.0,-12.09,0.0,0.0,0.0,-0.09,-24.0,-0.82,-1.09,0.0,-0.45,-1.27,-0.45,0.0,0.0,0.0,0.0,0.0,-0.27,-20.09,-0.09,-4.55,0.0,0.0,-6.55,0.0,0.0,2014-03-09
