Semana,casos,focos,tmin,tmed,tmax,prec
2014-01-05,0.0,0.0,21.92037255423409,25.225421360560823,29.82219914027623,39.75
2014-01-12,0.0,1.0,21.25567327226912,24.921132223946707,30.02876663208008,21.25
2014-01-19,0.0,1.0,23.13047981262207,26.92262704031808,31.7169292994908,20.375
2014-01-26,0.0,3.0,23.413572311401367,27.095048904418945,32.0239132472447,0.5625
2014-02-02,0.0,2.0,24.7753473009382,28.495120184762136,33.43995230538504,2.125
2014-02-09,0.0,6.0,23.39479555402483,27.02611024039132,31.207127707345144,22.3125
2014-02-16,0.0,5.0,21.587202889578684,24.467152459280832,28.642732892717635,17.6875
2014-02-23,0.0,3.0,21.445485251290457,24.69914790562221,29.30640193394252,78.875
2014-03-02,0.0,2.0,20.36577660696847,23.957354136875697,28.170789991106307,11.875
2014-03-09,0.0,6.0,21.244662148611887,24.248664583478654,28.38540758405413,50.75
2014-03-16,0.0,4.0,21.77672222682408,24.93631362915039,29.83411925179617,22.3125
2014-03-23,0.0,2.0,18.9733202798026,22.85928508213588,27.606510979788645,13.75
2014-03-30,0.0,4.0,22.015198026384628,24.421419961111887,27.845984595162527,40.625
2014-04-06,0.0,0.0,21.18370001656669,24.353289195469447,28.336727687290736,20.75
2014-04-13,0.0,1.0,18.337555476597377,21.64881161281041,25.459574835641043,7.75
2014-04-20,0.0,0.0,18.03257301875524,20.73016221182687,23.83383696419852,11.25
2014-04-27,0.0,0.0,16.27766908918108,19.850887298583984,24.57353183201381,8.5
2014-05-04,0.0,0.0,18.828742163521905,21.499563489641464,25.42419869559152,8.0
2014-05-11,0.0,0.0,16.12327630179269,20.15923363821847,24.89154025486537,3.5
2014-05-18,0.0,3.0,16.990381922040665,19.540959766932897,22.783615384783065,5.75
2014-05-25,0.0,1.0,13.19895430973598,16.43254280090332,20.46179280962263,30.75
2014-06-01,0.0,0.0,13.254461901528495,16.840984072004044,21.64506449018205,44.25
2014-06-08,0.0,5.0,16.42817415509905,18.83254132952009,21.79165131705148,53.75
2014-06-15,0.0,2.0,13.59299884523664,16.630962099347794,19.94489533560617,13.4375
2014-06-22,0.0,0.0,16.686778341020858,18.61910820007324,21.815174647739955,51.375
2014-06-29,0.0,0.0,15.828381674630302,18.51104436601912,22.89684840611049,47.25
2014-07-06,0.0,0.0,15.27325371333531,17.38711084638323,20.08786146981376,1.5
2014-07-13,0.0,3.0,15.362263815743583,18.32038266318185,22.16924067905971,7.75
2014-07-20,0.0,0.0,13.252937998090472,16.56003556932722,20.784605843680247,20.5625
2014-07-27,0.0,0.0,14.004059382847377,17.296015739440918,21.56308937072754,8.25
2014-08-03,0.0,0.0,12.79270839691162,17.339773314339773,22.39308275495257,2.625
2014-08-10,0.0,0.0,13.116527080535889,16.354900087629044,21.36139706202916,9.5
2014-08-17,0.0,1.0,15.586464064461843,18.650758743286133,23.365324020385746,5.875
2014-08-24,0.0,0.0,13.077210562569755,17.33816828046526,22.99623516627721,12.25
2014-08-31,0.0,0.0,16.020593779427664,18.42307799203056,21.41956056867327,58.75
2014-09-07,0.0,0.0,17.664674758911133,20.294227600097656,24.59878294808524,0.375
2014-09-14,0.0,1.0,17.31362874167306,20.311222621372767,23.97847093854632,18.5
2014-09-21,0.0,1.0,16.890908241271973,19.72217396327428,23.005151203700475,11.25
2014-09-28,0.0,0.0,16.93181255885533,19.65559959411621,22.627071925571983,63.25
2014-10-05,0.0,0.0,18.27520615713937,21.38628114972796,25.3419862474714,1.125
2014-10-12,0.0,0.0,20.207069941929408,22.41580854143416,25.89746693202428,55.125
2014-10-19,0.0,0.0,18.60658495766776,21.80692182268416,25.40322549002511,1.25
2014-10-26,0.0,1.0,20.52766445704869,23.671646118164062,27.54648399353028,3.25
2014-11-02,0.0,4.0,20.51405688694545,23.04148374285017,25.980441774640763,13.5625
2014-11-09,0.0,0.0,19.07746383122036,22.94921166556222,27.26687949044364,0.125
2014-11-16,0.0,2.0,19.23396246773856,23.02654184613909,27.57526969909668,6.5
2014-11-23,0.0,0.0,21.19200815473284,23.717719759259904,26.72231892177037,50.125
2014-11-30,0.0,1.0,21.332914352416992,24.50906889779227,28.51978302001953,7.75
2014-12-07,0.0,1.0,23.07939120701381,26.043867383684432,29.98918833051409,28.25
2014-12-14,0.0,0.0,20.48911476135254,23.91139112200056,27.73234830583845,44.5
2014-12-21,0.0,0.0,20.944160188947404,23.49963869367327,26.88433129446847,53.3125
2014-12-28,0.0,1.0,23.02927071707589,25.818891252790177,30.9563113621303,33.25
2015-01-04,0.0,2.0,23.502336229596818,26.92313848223005,32.058259691510884,10.6875
2015-01-11,0.0,4.0,23.67279624938965,28.050947461809432,33.71856335231236,30.125
2015-01-18,0.0,9.0,21.147618974958142,25.18623924255371,29.45960998535156,82.0
2015-01-25,0.0,3.0,22.892745426722936,25.97392191205705,30.513456889561244,20.375
2015-02-01,0.0,4.0,21.33933912004744,24.87379809788295,28.89421490260533,30.0
2015-02-08,0.0,9.0,23.6580685206822,26.53570692879813,30.847647258213588,71.125
2015-02-15,0.0,7.0,22.24750001089913,25.22218132019043,28.91701671055385,35.125
2015-02-22,0.0,5.0,22.85502815246582,25.63361849103655,30.71638570513044,26.6875
2015-03-01,0.0,12.0,22.77589062282017,25.79638045174735,29.49948419843401,25.6875
2015-03-08,0.0,18.0,21.86586025782994,25.22854232788086,29.23803329467773,11.5
2015-03-15,0.0,13.0,21.555097852434432,24.90169307163784,29.431454249790736,6.3125
2015-03-22,0.0,8.0,19.92801639011928,22.89876174926757,26.44170243399484,31.375
2015-03-29,0.0,8.0,19.839383261544363,23.12680516924177,26.99105671473912,60.0
2015-04-05,0.0,11.0,18.47070176260812,22.15317862374442,26.66864722115653,45.0
2015-04-12,0.0,11.0,20.72134780883789,23.41336577279227,26.595131465366908,33.75
2015-04-19,0.0,0.0,19.72841235569545,22.15732329232352,25.17047609601702,40.6875
2015-04-26,0.0,0.0,17.485345567975724,20.791078295026505,25.07406180245536,2.0
2015-05-03,0.0,5.0,16.544610023498535,19.795336859566824,23.842949731009348,11.9375
2015-05-10,0.0,0.0,16.699256215776717,19.346853801182338,23.37154960632324,56.3125
2015-05-17,0.0,3.0,19.29991749354772,21.255408695765905,24.376483372279576,88.9375
2015-05-24,0.0,1.0,17.978163037981307,19.740966524396622,22.372824805123464,97.375
2015-05-31,0.0,1.0,14.394429751804896,18.78734152657645,24.82729148864746,0.0
2015-06-07,0.0,3.0,16.912472452436173,20.425805500575475,26.08047812325614,9.25
2015-06-14,0.0,2.0,11.856836114610944,15.432997839791437,19.346373421805247,70.0
2015-06-21,0.0,2.0,14.794084003993444,17.77351556505476,21.88291249956404,2.0
2015-06-28,0.0,4.0,15.3074038369315,18.410329818725582,22.4210147857666,2.625
2015-07-05,0.0,3.0,14.747240883963448,17.53312042781285,20.909127916608536,51.875
2015-07-12,0.0,10.0,16.251053673880442,18.537244524274552,21.47434752328056,55.875
2015-07-19,0.0,5.0,15.094523566109794,17.461851528712682,20.4813654763358,102.4375
2015-07-26,0.0,0.0,15.27121353149414,19.014280319213867,23.906254632132395,0.0
2015-08-02,0.0,7.0,17.920427867344447,20.961668014526367,25.32466942923409,0.0
2015-08-09,0.0,3.0,19.6856198992048,21.53168433053153,24.694538388933456,1.25
2015-08-16,0.0,4.0,17.31782763344901,20.05471202305385,23.54743930271693,7.625
2015-08-23,0.0,4.0,16.076792989458358,18.749181747436523,22.243425914219447,21.875
2015-08-30,0.0,9.0,15.799718039376396,18.469160624912806,22.73661422729492,11.125
2015-09-06,0.0,3.0,15.29530906677246,18.21045044490269,21.507928030831472,38.375
2015-09-13,0.0,6.0,17.00993061065674,20.049810818263463,23.98810468401228,34.25
2015-09-20,0.0,4.0,19.99815368652344,21.93376295907157,25.623014177594865,15.75
2015-09-27,0.0,5.0,17.570145470755442,19.84497288295201,22.81172779628209,98.5
2015-10-04,0.0,10.0,17.087772505623953,19.29559407915388,22.06239754813058,53.625
2015-10-11,0.0,4.0,18.14431517464774,20.034236907958984,23.145675659179688,110.875
2015-10-18,0.0,3.0,17.37975869859968,19.670175279889783,22.92062268938337,71.25
2015-10-25,0.0,0.0,18.9868392944336,20.70892143249512,23.03998156956264,58.0
2015-11-01,0.0,2.0,17.731866564069474,19.312702996390207,21.530447006225582,77.375
2015-11-08,0.0,2.0,20.50247246878488,23.02230453491211,26.12278720310756,4.625
2015-11-15,0.0,7.0,19.88994761875697,22.717180524553573,26.243083953857425,13.375
2015-11-22,0.0,5.0,20.18802125113351,22.16033608572824,24.49114390781948,34.8125
2015-11-29,0.0,2.0,19.3584839957101,21.79838235037668,24.89919662475586,16.625
2015-12-06,0.0,4.0,20.575774874006,22.969541004725865,25.972140993390763,21.25
2015-12-13,0.0,4.0,22.50914110456194,25.39915575299944,29.77204840523856,11.875
2015-12-20,0.0,3.0,22.207655225481307,24.39297866821289,27.92909567696708,71.9375
2015-12-27,0.0,0.0,23.687920434134348,25.784055164882115,29.12719018118722,53.25
2016-01-03,0.0,2.0,22.479989188058035,24.94631222316197,28.30336788722447,26.75
2016-01-10,0.0,7.0,22.600565229143417,25.53835024152483,29.136064256940568,71.3125
2016-01-17,0.0,13.0,20.9216376713344,25.471040180751256,29.85336167471749,0.6875
2016-01-24,0.0,12.0,22.480817249843053,25.47551645551409,29.499291011265345,122.0
2016-01-31,0.0,23.0,22.14920152936663,24.23311587742397,27.453384399414062,68.3125
2016-02-07,1.0,18.0,23.01321956089565,26.18024608067104,29.61166845049177,13.625
2016-02-14,1.0,24.0,23.663502284458705,26.51075226919992,30.61332375662668,31.3125
2016-02-21,0.0,29.0,23.38869994027274,26.773257664271764,31.695716312953405,75.5
