DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Santa Catarina
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
UF F.infecção: 42 Santa Catarina
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2023
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"420010 ABELARDO LUZ";-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"420050 AGUAS DE CHAPECO";-;-;-;-;-;-;-;-;-;-;-;4;7;8;18;14;20;22;41;22;12;10;9;1;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"420055 AGUAS FRIAS";-;-;-;-;-;-;-;-;-;-;-;-;6;2;6;7;4;13;7;4;2;4;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
"420060 AGUAS MORNAS";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420070 ALFREDO WAGNER";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420110 ANITAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420120 ANTONIO CARLOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;3;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;14
"420125 APIUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;13;3;7;13;13;13;9;8;10;1;-;94
"420127 ARABUTA";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"420130 ARAQUARI";1;-;-;-;-;5;5;5;15;9;32;25;39;51;80;115;140;127;139;149;103;66;56;66;37;26;36;22;19;17;14;5;9;4;1;5;5;5;7;3;4;5;2;4;4;6;5;11;4;13;13;11;1525
"420170 ASCURRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420200 BALNEARIO CAMBORIU";1;2;-;-;-;1;2;4;14;14;34;74;190;250;343;421;476;465;541;407;245;230;141;124;39;24;19;12;5;1;2;-;-;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4086
"420205 BALNEARIO BARRA DO SUL";1;-;-;-;-;1;-;-;-;-;-;9;12;18;13;13;6;5;5;6;3;3;1;1;3;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104
"420210 BARRA VELHA";-;1;-;1;-;-;-;-;3;5;11;24;35;71;68;77;89;101;133;130;96;67;71;54;25;25;27;5;7;2;3;4;3;1;3;-;-;-;-;-;1;1;-;-;-;-;-;1;2;-;2;-;1149
"420215 BELMONTE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420230 BIGUACU";-;-;-;-;-;1;1;3;8;13;11;18;8;41;47;105;92;123;128;143;80;43;41;40;13;6;6;5;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;978
"420240 BLUMENAU";-;-;-;-;1;5;9;6;5;6;26;60;102;146;135;183;174;197;211;155;101;83;92;96;51;38;36;28;23;17;19;13;8;9;9;3;15;14;6;14;6;5;5;7;2;10;8;8;14;7;7;6;2181
"420245 BOMBINHAS";-;-;-;-;-;1;2;5;1;3;10;21;24;54;26;49;53;43;49;49;34;25;18;19;18;3;3;4;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;517
"420270 BOTUVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420280 BRACO DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;2;3;1;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
